"Name","Total_Population","Male_Population","Female_Population","White_Population","Black_or_African_American_Population","American_Indian_or_Alaskan_Native","Asian","Native_Hawaiian_or_Pacific_Islander","Some_other_Race","Two_or_more_Races","White_Not_Hispanic_or_Latino","Hispanic_or_Latino","Entered_2010_or_later","Entered_2000_T_2009","Entered_1990_T_1999","Entered_before_1990","STATEFP","COUNTYFP","STATE_FIPS","Born_in_US","Year"
"Morgan County, Tennessee","21538","11736","9802","19813","1301","127","19","4","70","204","19615","297","37","26","39","57","47","129","47129","21379","2020"
"Perry County, Tennessee","8020","3993","4027","7437","65","72","195","0","28","223","7342","212","13","0","152","26","47","135","47135","7829","2020"
"Putnam County, Tennessee","78542","38839","39703","72710","1885","240","1010","0","816","1881","68963","5008","834","1308","688","1097","47","141","47141","74615","2020"
"Robertson County, Tennessee","70982","35176","35806","61056","5149","223","462","39","2142","1911","58524","5040","737","1115","666","1019","47","147","47147","67445","2020"
"Sevier County, Tennessee","98007","48485","49522","92118","860","319","800","44","765","3101","87761","6211","1821","2106","732","1123","47","155","47155","92225","2020"
"Stewart County, Tennessee","13553","6572","6981","12685","49","70","71","111","89","478","12397","433","19","66","122","449","47","161","47161","12897","2020"
"Tipton County, Tennessee","61562","30377","31185","47387","11415","151","431","0","574","1604","46216","1733","287","215","260","688","47","167","47167","60112","2020"
"Union County, Tennessee","19678","9652","10026","19089","91","0","29","19","4","446","18905","345","3","5","71","145","47","173","47173","19454","2020"
"Washington County, Tennessee","128874","62803","66071","116359","5199","373","2229","20","1067","3627","113489","4647","1946","1769","690","1453","47","179","47179","123016","2020"
"White County, Tennessee","27087","13010","14077","25711","507","36","63","21","58","691","25229","711","57","104","88","122","47","185","47185","26716","2020"
"Anderson County, Tennessee","76513","37354","39159","68913","2755","357","1146","74","723","2545","67828","2345","783","686","568","1013","47","001","47001","73463","2020"
"Benton County, Tennessee","16133","7958","8175","15760","146","19","26","0","0","182","15386","388","5","137","45","144","47","005","47005","15802","2020"
"Bledsoe County, Tennessee","14961","8958","6003","13459","1091","62","27","0","70","252","13127","395","186","55","105","98","47","007","47007","14517","2020"
"Bradley County, Tennessee","106924","51990","54934","95039","5217","341","1232","32","2098","2965","91087","6847","1887","1867","1262","1526","47","011","47011","100382","2020"
"Campbell County, Tennessee","39818","19548","20270","38646","97","68","171","0","172","664","38333","584","158","108","92","147","47","013","47013","39313","2020"
"Carroll County, Tennessee","27841","13776","14065","24009","2780","69","34","23","197","729","23504","779","41","19","286","243","47","017","47017","27252","2020"
"Carter County, Tennessee","56452","27603","28849","54036","962","138","303","22","153","838","53348","1115","291","372","101","416","47","019","47019","55272","2020"
"Chester County, Tennessee","17260","8287","8973","14877","1658","7","87","0","304","327","14706","474","84","58","137","103","47","023","47023","16878","2020"
"Claiborne County, Tennessee","31827","15464","16363","30607","274","65","248","36","13","584","30277","425","307","63","46","95","47","025","47025","31316","2020"
"Cocke County, Tennessee","35797","17485","18312","33892","672","257","336","39","10","591","33295","919","124","83","184","247","47","029","47029","35159","2020"
"Coffee County, Tennessee","56024","27521","28503","50488","2322","12","677","13","919","1593","49213","2571","700","484","264","719","47","031","47031","53857","2020"
"Cumberland County, Tennessee","60016","29334","30682","57823","602","310","213","0","282","786","56586","1801","383","114","163","1069","47","035","47035","58287","2020"
"Davidson County, Tennessee","690540","332527","358013","433926","185758","1042","24936","403","19269","25206","386782","70926","35466","28943","18688","14875","47","037","47037","592568","2020"
"DeKalb County, Tennessee","20104","10147","9957","18549","364","53","77","0","657","404","17655","1643","175","567","251","164","47","041","47041","18947","2020"
"Dickson County, Tennessee","53289","26246","27043","49054","2214","150","239","0","220","1412","47624","1982","162","398","330","497","47","043","47043","51902","2020"
"Dyer County, Tennessee","37201","18032","19169","30153","4618","184","244","58","448","1496","29603","1297","53","414","26","301","47","045","47045","36407","2020"
"Fayette County, Tennessee","40612","20059","20553","27935","11173","280","311","0","329","584","27373","1144","227","248","188","280","47","047","47047","39669","2020"
"Fentress County, Tennessee","18405","9216","9189","17854","67","37","34","0","50","363","17719","291","44","21","2","56","47","049","47049","18282","2020"
"Franklin County, Tennessee","41999","20560","21439","37980","2083","15","183","24","501","1213","37070","1465","638","379","183","239","47","051","47051","40560","2020"
"Gibson County, Tennessee","49193","23598","25595","38080","8305","203","194","41","297","2073","37411","1371","242","242","224","189","47","053","47053","48296","2020"
"Giles County, Tennessee","29403","14408","14995","25160","3052","65","20","0","307","799","24671","837","270","31","154","208","47","055","47055","28740","2020"
"Grainger County, Tennessee","23268","11373","11895","22590","45","117","41","118","1","356","21830","796","72","177","343","238","47","057","47057","22438","2020"
"Greene County, Tennessee","69077","33836","35241","65131","1735","106","293","107","474","1231","64106","2066","372","356","117","470","47","059","47059","67762","2020"
"Grundy County, Tennessee","13371","6615","6756","11805","90","133","61","0","11","1271","11628","180","10","56","5","93","47","061","47061","13207","2020"
"Hamblen County, Tennessee","64479","31609","32870","56790","2576","208","566","268","1645","2426","52507","7591","816","1598","890","1045","47","063","47063","60130","2020"
"Hamilton County, Tennessee","364718","176194","188524","271254","68559","530","7721","157","5100","11397","258213","21081","6931","6136","4473","5906","47","065","47065","341272","2020"
"Hancock County, Tennessee","6568","3266","3302","6460","37","0","38","0","9","24","6340","120","0","10","54","58","47","067","47067","6446","2020"
"Hardeman County, Tennessee","25247","13903","11344","13828","10696","67","185","8","105","358","13669","463","76","113","129","133","47","069","47069","24796","2020"
"Hardin County, Tennessee","25665","12487","13178","24107","988","75","116","0","30","349","23572","634","2","211","48","71","47","071","47071","25333","2020"
"Hawkins County, Tennessee","56735","27758","28977","54503","802","81","258","71","54","966","53866","897","206","127","163","248","47","073","47073","55991","2020"
"Haywood County, Tennessee","17391","8205","9186","7899","8836","6","11","6","440","193","7593","754","55","194","99","209","47","075","47075","16834","2020"
"Henderson County, Tennessee","27956","13816","14140","25037","2361","0","35","14","50","459","24378","694","0","140","135","174","47","077","47077","27507","2020"
"Henry County, Tennessee","32251","15369","16882","28360","2653","103","79","0","253","803","28006","834","48","124","216","180","47","079","47079","31683","2020"
"Hickman County, Tennessee","25017","13206","11811","23034","1306","274","103","9","48","243","22564","643","56","113","80","122","47","081","47081","24646","2020"
"Houston County, Tennessee","8201","4119","4082","7644","391","22","13","20","0","111","7521","124","31","25","0","121","47","083","47083","8024","2020"
"Humphreys County, Tennessee","18528","9113","9415","17119","385","148","137","9","186","544","16915","469","54","130","35","125","47","085","47085","18184","2020"
"Jefferson County, Tennessee","54162","26637","27525","51434","977","14","325","28","141","1243","49904","1971","482","253","378","604","47","089","47089","52445","2020"
"Johnson County, Tennessee","17755","9541","8214","16585","556","125","54","0","36","399","16406","371","139","71","39","161","47","091","47091","17345","2020"
"Lake County, Tennessee","7273","4667","2606","4877","2024","38","16","12","92","214","4864","180","58","7","128","32","47","095","47095","7048","2020"
"Lauderdale County, Tennessee","25689","13160","12529","16063","8692","146","81","0","53","654","15493","662","23","274","203","66","47","097","47097","25123","2020"
"Lewis County, Tennessee","12131","5986","6145","11480","157","0","239","0","65","190","11298","291","103","125","0","103","47","101","47101","11800","2020"
"Lincoln County, Tennessee","34158","16912","17246","30256","2338","58","225","0","198","1083","29437","1223","330","383","124","170","47","103","47103","33151","2020"
"McMinn County, Tennessee","53392","25889","27503","48920","1854","219","439","30","397","1533","47349","2240","497","542","208","453","47","107","47107","51692","2020"
"McNairy County, Tennessee","25814","12577","13237","23558","1503","55","65","0","137","496","23132","573","121","25","49","121","47","109","47109","25498","2020"
"Madison County, Tennessee","97838","46248","51590","56168","36310","108","1034","0","1755","2463","54208","3891","1195","1041","622","787","47","113","47113","94193","2020"
"Marion County, Tennessee","28639","14032","14607","26659","1099","12","134","0","91","644","26239","530","42","141","37","149","47","115","47115","28270","2020"
"Maury County, Tennessee","94615","45700","48915","78266","10598","145","948","17","768","3873","74705","5790","815","1354","764","1180","47","119","47119","90502","2020"
"Anderson County, Tennessee","74257","36070","38187","68795","3096","251","754","0","370","991","67521","1656","986","778","255","607","47","001","47001","71631","2010"
"Bedford County, Tennessee","44172","21834","22338","37089","3536","46","238","5","2296","962","34865","4761","2133","1126","148","214","47","003","47003","40551","2010"
"Benton County, Tennessee","16456","8100","8356","15813","378","35","11","0","32","187","15591","254","114","33","18","96","47","005","47005","16195","2010"
"Bledsoe County, Tennessee","12946","7052","5894","12059","459","32","15","0","192","189","12058","261","32","194","22","113","47","007","47007","12585","2010"
"Blount County, Tennessee","121140","58715","62425","112623","3485","362","807","0","2249","1614","111784","3092","1810","869","485","950","47","009","47009","117026","2010"
"Bradley County, Tennessee","97192","47287","49905","89467","4151","365","790","244","1298","877","86659","4161","2016","1101","572","949","47","011","47011","92554","2010"
"Campbell County, Tennessee","40623","19824","20799","39775","162","34","117","0","118","417","39453","453","49","194","124","169","47","013","47013","40087","2010"
"Cannon County, Tennessee","13631","6812","6819","13149","104","69","0","0","15","294","13037","112","75","41","17","31","47","015","47015","13467","2010"
"Carroll County, Tennessee","28644","13757","14887","24977","2923","73","48","0","139","484","24645","548","27","81","70","95","47","017","47017","28371","2010"
"Carter County, Tennessee","57710","28260","29450","55682","704","64","64","0","244","952","55239","915","182","56","83","312","47","019","47019","57077","2010"
"Cheatham County, Tennessee","38809","19482","19327","37288","599","34","195","47","240","406","36701","897","445","339","107","229","47","021","47021","37689","2010"
"Chester County, Tennessee","16793","8111","8682","14802","1547","47","51","24","16","306","14585","296","36","50","110","64","47","023","47023","16533","2010"
"Claiborne County, Tennessee","31901","15636","16265","31049","274","68","161","0","46","303","30837","290","157","55","107","81","47","025","47025","31501","2010"
"Clay County, Tennessee","7888","3830","4058","7735","140","0","13","0","0","0","7691","44","13","48","19","39","47","027","47027","7769","2010"
"Cocke County, Tennessee","35473","17257","18216","33554","638","82","127","0","545","527","33458","621","213","298","64","195","47","029","47029","34703","2010"
"Coffee County, Tennessee","52344","25408","26936","48266","1392","96","495","45","765","1285","47378","1929","667","593","486","470","47","031","47031","50128","2010"
"Crockett County, Tennessee","14524","6993","7531","11883","2099","14","15","0","342","171","11223","1154","258","112","78","88","47","033","47033","13988","2010"
"Cumberland County, Tennessee","54977","26729","28248","53592","203","63","217","0","203","699","52851","1195","610","238","79","448","47","035","47035","53602","2010"
"Davidson County, Tennessee","612884","297135","315749","393147","170730","1630","19102","377","18090","9808","358845","54859","35901","24538","8831","6883","47","037","47037","536731","2010"
"Decatur County, Tennessee","11716","5708","6008","11014","277","39","21","0","193","172","10927","280","35","55","23","13","47","039","47039","11590","2010"
"DeKalb County, Tennessee","18569","9184","9385","17607","294","35","48","0","416","169","16955","1068","561","252","41","200","47","041","47041","17515","2010"
"Dickson County, Tennessee","48712","23915","24797","45040","1982","30","213","12","580","855","44164","1413","613","355","127","314","47","043","47043","47303","2010"
"Dyer County, Tennessee","38174","18467","19707","31432","5540","30","77","42","349","704","31129","952","53","184","72","236","47","045","47045","37629","2010"
"Fayette County, Tennessee","37458","18549","18909","26073","10782","48","199","3","108","245","25456","838","311","143","154","315","47","047","47047","36535","2010"
"Fentress County, Tennessee","17777","8785","8992","17520","10","61","19","0","9","158","17380","164","17","69","37","28","47","049","47049","17626","2010"
"Franklin County, Tennessee","41054","20067","20987","37180","1351","68","183","65","758","1449","36976","1026","379","312","134","236","47","051","47051","39993","2010"
