Region,State,Num_of_Stations,Data_Date,Road_Type,Milage,Units
West,Idaho,78,7/1/2022,urban,555,vehicle-miles (millions)
West,Idaho,78,7/1/2021,urban,570,vehicle-miles (millions)
West,Montana,14,8/1/2022,urban,237,vehicle-miles (millions)
West,Montana,14,8/1/2021,urban,230,vehicle-miles (millions)
West,Montana,14,7/1/2022,urban,233,vehicle-miles (millions)
West,Montana,14,7/1/2021,urban,242,vehicle-miles (millions)
West,Nevada,38,8/1/2022,urban,1360,vehicle-miles (millions)
West,Nevada,38,8/1/2021,urban,1328,vehicle-miles (millions)
West,Nevada,38,7/1/2022,urban,1301,vehicle-miles (millions)
West,Nevada,38,7/1/2021,urban,1343,vehicle-miles (millions)
West,New Mexico,6,8/1/2022,urban,747,vehicle-miles (millions)
West,New Mexico,6,8/1/2021,urban,770,vehicle-miles (millions)
West,New Mexico,6,7/1/2022,urban,789,vehicle-miles (millions)
West,New Mexico,6,7/1/2021,urban,792,vehicle-miles (millions)
West,Oregon,40,8/1/2022,urban,1568,vehicle-miles (millions)
West,Oregon,40,8/1/2021,urban,1564,vehicle-miles (millions)
West,Oregon,40,7/1/2022,urban,1543,vehicle-miles (millions)
West,Oregon,40,7/1/2021,urban,1608,vehicle-miles (millions)
West,Utah,77,8/1/2022,urban,1607,vehicle-miles (millions)
West,Utah,77,8/1/2021,urban,1566,vehicle-miles (millions)
West,Utah,77,7/1/2022,urban,1517,vehicle-miles (millions)
West,Utah,77,7/1/2021,urban,1570,vehicle-miles (millions)
West,Washington,86,8/1/2022,urban,3421,vehicle-miles (millions)
West,Washington,86,8/1/2021,urban,3354,vehicle-miles (millions)
West,Washington,86,7/1/2022,urban,3378,vehicle-miles (millions)
West,Washington,86,7/1/2021,urban,3464,vehicle-miles (millions)
West,Wyoming,25,8/1/2022,urban,177,vehicle-miles (millions)
West,Wyoming,25,8/1/2021,urban,180,vehicle-miles (millions)
West,Wyoming,25,7/1/2022,urban,173,vehicle-miles (millions)
West,Wyoming,25,7/1/2021,urban,181,vehicle-miles (millions)
