"Name","Car_Truck_or_Van_Drove_Alone","Car_Truck_or_Van_Carpooled","Public_Transportation","Bicycle","Walked","Taxicab_Motorcycle_or_other_means","Worked_From_Home","Depart_12am_to_4_59am","Depart_5am_to_5_29am","Depart_5_30am_to_6am","Depart_6am_to_6_29am","Depart_6_30am_to_6_59am","Depart_7am_to_7_29am","Depart_7_30am_to_7_59am","Depart_8am_to_8_29am","Depart_8_30am_to_8_59am","Depart_9am_to_9_59am","Depart_10am_to_10_59am","Depart_11am_to_11_59am","Depart_12pm_to_3_59pm","Depart_4pm_to_11_59pm","No_Vehicles_Availible","Vehicle_Availible_1","Vehicles_Availible_2","Vehicles_Availible_3","Vehicles_Availible_4","Vehicles_Availible_5_or_More","Aggregate_Num_of_Vehicles_Used_in_Commuting","Travel_Time_to_Work_LT_5_Min","Travel_Time_to_Work_5_T_9_Min","Travel_Time_to_Work_10_T_14_Min","Travel_Time_to_Work_15_T_19_Min","Travel_Time_to_Work_20_T_24_Min","Travel_Time_to_Work_25_T_29_Min","Travel_Time_to_Work_30_T_34_Min","Travel_Time_to_Work_35_T_39_Min","Travel_Time_to_Work_40_T_44_Min","Travel_Time_to_Work_45_T_59_Min","Travel_Time_to_Work_60_T_89_Min","Travel_Time_to_Work_GE_90_Min","STATEFP","COUNTYFP","STATE_FIPS","Year"
"Shelby County, Tennessee","333666","44784","7158","598","6968","4139","10900","13204","11841","13703","35193","42678","63693","51929","42885","20402","24729","10213","4968","29764","32111","14723","109896","169717","75540","25220","9752","353820","8346","34911","55365","70052","78329","32312","66147","10575","10026","19033","8051","4166","47","157","47157","2010"
"Smith County, Tennessee","6654","797","8","0","165","104","265","703","417","495","937","772","1442","1010","248","95","175","96","90","568","680","55","945","3164","2341","892","596","7030","434","846","793","1079","987","526","931","236","188","796","707","205","47","159","47159","2010"
"Stewart County, Tennessee","3843","665","0","0","43","156","164","294","491","309","482","498","725","424","256","63","159","72","44","562","328","83","733","1858","1358","588","251","4165","204","453","427","679","343","276","522","114","332","627","531","199","47","161","47161","2010"
"Sullivan County, Tennessee","57769","5494","72","16","749","487","1705","1849","1618","3548","5410","6093","10579","10475","6908","2992","3526","1420","696","4349","5124","845","10498","27352","17446","6391","3259","60330","1863","7836","12720","13074","10443","3949","7715","1162","1580","2253","976","1016","47","163","47163","2010"
"Sumner County, Tennessee","59287","7954","251","77","557","607","3510","2973","2538","4046","7739","9509","11074","7512","5734","2688","3173","1452","759","4753","4783","707","12334","29849","19394","6823","3136","62920","1910","6569","9266","7606","8170","4554","10690","2795","3928","7807","4230","1208","47","165","47165","2010"
"Tipton County, Tennessee","22360","2506","84","0","268","245","444","1126","1244","1674","3261","3658","4719","2238","1455","937","898","467","423","1693","1670","255","3960","9902","7368","2817","1605","23520","758","2154","2536","3081","2579","1041","2192","1162","1301","5221","2928","510","47","167","47167","2010"
"Trousdale County, Tennessee","2829","426","14","0","53","54","106","202","243","240","378","569","567","285","254","80","66","51","29","284","128","46","572","1150","964","454","296","3035","169","475","221","237","200","180","565","214","137","312","576","90","47","169","47169","2010"
"Unicoi County, Tennessee","6378","536","91","0","105","122","309","189","131","475","547","609","1681","867","801","180","365","96","11","678","602","102","1318","2627","2158","825","436","6610","463","964","1253","1193","888","397","935","212","105","406","251","165","47","171","47171","2010"
"Union County, Tennessee","6131","833","18","0","70","45","263","427","268","417","1006","966","1141","738","550","245","292","185","100","399","363","89","1222","2555","1942","1116","436","6525","55","689","648","811","509","298","1238","225","514","1214","741","155","47","173","47173","2010"
"Van Buren County, Tennessee","1814","166","8","0","35","32","61","52","101","199","456","218","229","235","60","12","92","23","19","217","142","54","341","618","699","404","0","1895","118","235","230","533","197","78","358","28","66","142","27","43","47","175","47175","2010"
"Warren County, Tennessee","13632","1282","12","0","232","76","661","1220","698","1142","1780","2083","2007","1596","1259","384","423","109","98","1084","1351","190","2785","6483","3665","1917","732","14195","624","2137","2523","2591","2237","829","1424","156","310","1117","709","577","47","177","47177","2010"
"Washington County, Tennessee","46064","3991","144","30","682","511","1840","1098","1377","2134","3165","4106","10084","6811","7237","2224","2484","1374","802","3846","4680","774","10423","23257","11475","4387","2035","47890","1726","6702","10161","10029","8119","4105","5617","1028","742","1544","810","839","47","179","47179","2010"
"Wayne County, Tennessee","4678","1006","29","0","91","5","111","442","402","311","745","856","1169","589","199","34","118","158","51","398","337","80","651","2171","1541","1085","392","5120","429","835","681","762","692","210","730","165","293","437","371","204","47","181","47181","2010"
"Weakley County, Tennessee","12226","1125","42","21","409","188","364","465","561","1013","1532","1663","1855","2046","1081","385","462","192","127","1480","1149","198","2541","6398","3316","1154","359","12740","690","2499","2336","2223","2262","748","1351","249","241","476","658","278","47","183","47183","2010"
"White County, Tennessee","8601","1311","18","0","78","97","535","507","433","519","1200","1657","1429","1132","686","124","342","171","53","1044","808","147","1841","4297","2767","1048","540","9225","264","1074","1884","1863","1689","560","1488","287","82","254","312","348","47","185","47185","2010"
"Williamson County, Tennessee","66146","8519","319","43","538","821","6577","1565","1590","2895","6774","9787","14700","10702","10150","4503","4925","1691","420","3619","3065","659","8928","41792","21967","7296","2321","69960","1425","5747","9028","9769","10902","6020","13893","3400","4671","8050","2183","1298","47","187","47187","2010"
"Wilson County, Tennessee","44365","4920","356","69","350","542","2170","2188","2434","3320","6471","7892","8524","5015","3746","1625","1870","928","527","2598","3464","797","6601","23263","14621","4655","2765","46635","677","3844","6297","6325","6796","3816","8374","1979","2486","6807","2421","780","47","189","47189","2010"
