"Name","Car_Truck_or_Van_Drove_Alone","Car_Truck_or_Van_Carpooled","Public_Transportation","Bicycle","Walked","Taxicab_Motorcycle_or_other_means","Worked_From_Home","Depart_12am_to_4_59am","Depart_5am_to_5_29am","Depart_5_30am_to_6am","Depart_6am_to_6_29am","Depart_6_30am_to_6_59am","Depart_7am_to_7_29am","Depart_7_30am_to_7_59am","Depart_8am_to_8_29am","Depart_8_30am_to_8_59am","Depart_9am_to_9_59am","Depart_10am_to_10_59am","Depart_11am_to_11_59am","Depart_12pm_to_3_59pm","Depart_4pm_to_11_59pm","No_Vehicles_Availible","Vehicle_Availible_1","Vehicles_Availible_2","Vehicles_Availible_3","Vehicles_Availible_4","Vehicles_Availible_5_or_More","Aggregate_Num_of_Vehicles_Used_in_Commuting","Travel_Time_to_Work_LT_5_Min","Travel_Time_to_Work_5_T_9_Min","Travel_Time_to_Work_10_T_14_Min","Travel_Time_to_Work_15_T_19_Min","Travel_Time_to_Work_20_T_24_Min","Travel_Time_to_Work_25_T_29_Min","Travel_Time_to_Work_30_T_34_Min","Travel_Time_to_Work_35_T_39_Min","Travel_Time_to_Work_40_T_44_Min","Travel_Time_to_Work_45_T_59_Min","Travel_Time_to_Work_60_T_89_Min","Travel_Time_to_Work_GE_90_Min","STATEFP","COUNTYFP","STATE_FIPS","Year"
"Cannon County, Tennessee","4601","520","14","0","45","67","302","597","456","289","730","525","893","447","315","47","46","86","75","372","369","67","671","2010","1830","711","260","4845","331","308","270","241","310","452","966","444","321","765","705","134","47","015","47015","2010"
"Carroll County, Tennessee","10176","1091","18","6","113","108","176","628","586","831","1309","1357","1455","1648","584","307","414","181","120","1272","820","127","2247","4203","3144","1382","495","10665","996","1639","1567","1564","1265","490","1185","324","333","1311","510","328","47","017","47017","2010"
"Carter County, Tennessee","19386","2007","105","11","344","222","1100","854","799","1294","1847","2410","3513","2982","1967","810","765","487","361","2062","1924","457","3691","9152","5484","2468","1563","20330","965","2416","3220","4193","3187","1862","2985","542","699","1137","551","318","47","019","47019","2010"
"Cheatham County, Tennessee","14493","2538","59","8","112","220","1043","600","1082","1437","2335","2345","3320","1360","1152","667","656","276","178","1006","1016","175","2520","7658","5035","2386","699","15665","338","918","1188","1387","1433","1166","3936","1281","1464","3094","722","503","47","021","47021","2010"
"Chester County, Tennessee","5320","1060","0","30","192","12","330","274","234","294","937","998","1361","818","216","189","142","84","87","397","583","36","1190","2735","1670","836","100","5825","489","784","1178","564","530","443","852","407","268","682","218","199","47","023","47023","2010"
"Claiborne County, Tennessee","9852","1191","0","0","89","218","317","505","687","631","1452","1261","1599","1662","1068","422","321","156","89","883","614","304","1889","5051","2840","882","586","10395","316","1265","1776","2598","1374","532","1138","142","202","920","700","387","47","025","47025","2010"
"Clay County, Tennessee","2593","212","27","0","82","25","127","87","98","155","445","428","898","275","81","115","14","0","0","101","242","4","316","1661","828","221","36","2680","207","278","260","186","256","177","661","49","90","350","377","48","47","027","47027","2010"
"Cocke County, Tennessee","10837","1874","2","0","220","64","215","518","524","682","999","1412","1549","1832","1127","751","652","201","163","1321","1266","270","2057","5320","3408","1507","650","11725","323","1427","1974","1851","1741","619","1259","442","365","1972","745","279","47","029","47029","2010"
"Coffee County, Tennessee","18471","1954","78","40","274","160","641","977","1154","1445","1992","2642","2938","2996","1060","833","680","382","243","1777","1858","401","3759","8810","5129","2540","979","19370","888","3496","3903","2998","2654","1359","1653","492","488","1431","1088","527","47","031","47031","2010"
"Crockett County, Tennessee","5367","610","43","16","102","25","118","341","284","163","678","712","1228","845","454","128","238","89","29","510","464","134","1123","3042","1312","566","104","5655","255","959","899","653","1180","383","935","169","174","277","153","126","47","033","47033","2010"
