Region,State,Num_of_Stations,Road_Type,Units,Date_1,Date_1_Milage,Date_2,Date_2_Milage,Date_3,Date_3_Milage,Date_4,Date_4_Milage
West,Utah,34,rural,vehicle-miles (millions),8/1/2022,666,8/1/2021,670,7/1/2022,708,7/1/2021,739
West,Washington,74,rural,vehicle-miles (millions),8/1/2022,1157,8/1/2021,1133,7/1/2022,1132,7/1/2021,1164
West,Wyoming,91,rural,vehicle-miles (millions),8/1/2022,535,8/1/2021,579,7/1/2022,563,7/1/2021,619
Northeast,Connecticut,18,urban,vehicle-miles (millions),8/1/2022,2284,8/1/2021,2252,7/1/2022,2255,7/1/2021,2249
Northeast,Maine,22,urban,vehicle-miles (millions),8/1/2022,290,8/1/2021,289,7/1/2022,285,7/1/2021,287
Northeast,Massachusetts,204,urban,vehicle-miles (millions),8/1/2022,4130,8/1/2021,4075,7/1/2022,3957,7/1/2021,3977
Northeast,New Hampshire,68,urban,vehicle-miles (millions),8/1/2022,612,8/1/2021,609,7/1/2022,609,7/1/2021,605
Northeast,New Jersey,63,urban,vehicle-miles (millions),8/1/2022,5137,8/1/2021,5043,7/1/2022,5107,7/1/2021,5105
Northeast,New York,59,urban,vehicle-miles (millions),8/1/2022,6118,8/1/2021,6080,7/1/2022,6034,7/1/2021,6165
Northeast,Pennsylvania,35,urban,vehicle-miles (millions),8/1/2022,4310,8/1/2021,4348,7/1/2022,4183,7/1/2021,4355
Northeast,Rhode Island,26,urban,vehicle-miles (millions),8/1/2022,563,8/1/2021,517,7/1/2022,507,7/1/2021,493
Northeast,Vermont,18,urban,vehicle-miles (millions),8/1/2022,126,8/1/2021,128,7/1/2022,123,7/1/2021,126
South Atlantic,Delaware,12,urban,vehicle-miles (millions),8/1/2022,433,8/1/2021,431,7/1/2022,390,7/1/2021,413
South Atlantic,District of Columbia,2,urban,vehicle-miles (millions),8/1/2022,191,8/1/2021,201,7/1/2022,189,7/1/2021,207
South Atlantic,Florida,138,urban,vehicle-miles (millions),8/1/2022,11163,8/1/2021,10678,7/1/2022,10979,7/1/2021,11033
South Atlantic,Georgia,118,urban,vehicle-miles (millions),8/1/2022,5912,8/1/2021,5748,7/1/2022,5641,7/1/2021,5793
South Atlantic,Maryland,36,urban,vehicle-miles (millions),8/1/2022,3322,8/1/2021,3310,7/1/2022,3243,7/1/2021,3337
South Atlantic,North Carolina,42,urban,vehicle-miles (millions),8/1/2022,4824,8/1/2021,4828,7/1/2022,4655,7/1/2021,4830
South Atlantic,South Carolina,47,urban,vehicle-miles (millions),8/1/2022,2276,8/1/2021,2224,7/1/2022,2226,7/1/2021,2288
South Atlantic,Virginia,360,urban,vehicle-miles (millions),8/1/2022,4020,8/1/2021,3969,7/1/2022,3885,7/1/2021,4044
South Atlantic,West Virginia,9,urban,vehicle-miles (millions),8/1/2022,598,8/1/2021,612,7/1/2022,587,7/1/2021,639
North Central,Illinois,53,urban,vehicle-miles (millions),8/1/2022,5120,8/1/2021,5089,7/1/2022,4950,7/1/2021,5084
North Central,Indiana,36,urban,vehicle-miles (millions),8/1/2022,2775,8/1/2021,2789,7/1/2022,2712,7/1/2021,2813
North Central,Iowa,32,urban,vehicle-miles (millions),8/1/2022,952,8/1/2021,956,7/1/2022,924,7/1/2021,945
North Central,Kansas,16,urban,vehicle-miles (millions),8/1/2022,952,8/1/2021,955,7/1/2022,910,7/1/2021,952
North Central,Michigan,44,urban,vehicle-miles (millions),8/1/2022,5015,8/1/2021,4989,7/1/2022,4905,7/1/2021,4974
North Central,Minnesota,9,urban,vehicle-miles (millions),8/1/2022,2179,8/1/2021,2249,7/1/2022,2207,7/1/2021,2328
North Central,Missouri,63,urban,vehicle-miles (millions),8/1/2022,2869,8/1/2021,2830,7/1/2022,2793,7/1/2021,2890
North Central,Nebraska,12,urban,vehicle-miles (millions),8/1/2022,648,8/1/2021,655,7/1/2022,607,7/1/2021,648
North Central,North Dakota,10,urban,vehicle-miles (millions),8/1/2022,182,8/1/2021,187,7/1/2022,177,7/1/2021,187
North Central,Ohio,92,urban,vehicle-miles (millions),8/1/2022,5133,8/1/2021,5065,7/1/2022,4932,7/1/2021,5076
North Central,South Dakota,4,urban,vehicle-miles (millions),8/1/2022,234,8/1/2021,248,7/1/2022,226,7/1/2021,250
North Central,Wisconsin,125,urban,vehicle-miles (millions),8/1/2022,2440,8/1/2021,2410,7/1/2022,2377,7/1/2021,2435
South Gulf,Alabama,115,urban,vehicle-miles (millions),8/1/2022,2342,8/1/2021,2340,7/1/2022,2335,7/1/2021,2443
South Gulf,Arkansas,3,urban,vehicle-miles (millions),8/1/2022,1237,8/1/2021,1271,7/1/2022,1247,7/1/2021,1287
South Gulf,Kentucky,23,urban,vehicle-miles (millions),8/1/2022,1642,8/1/2021,1613,7/1/2022,1563,7/1/2021,1660
South Gulf,Louisiana,14,urban,vehicle-miles (millions),8/1/2022,2096,8/1/2021,2040,7/1/2022,2002,7/1/2021,2102
South Gulf,Mississippi,28,urban,vehicle-miles (millions),8/1/2022,1120,8/1/2021,1129,7/1/2022,1109,7/1/2021,1180
South Gulf,Oklahoma,34,urban,vehicle-miles (millions),8/1/2022,1625,8/1/2021,1630,7/1/2022,1591,7/1/2021,1690
South Gulf,Tennessee,29,urban,vehicle-miles (millions),8/1/2022,3649,8/1/2021,3528,7/1/2022,3383,7/1/2021,3436
South Gulf,Texas,84,urban,vehicle-miles (millions),8/1/2022,14477,8/1/2021,14184,7/1/2022,14231,7/1/2021,14413
West,Alaska,50,urban,vehicle-miles (millions),8/1/2022,207,8/1/2021,211,7/1/2022,201,7/1/2021,212
West,Arizona,85,urban,vehicle-miles (millions),8/1/2022,3562,8/1/2021,3453,7/1/2022,3495,7/1/2021,3367
West,California,56,urban,vehicle-miles (millions),8/1/2022,20513,8/1/2021,20431,7/1/2022,20874,7/1/2021,21913
West,Colorado,40,urban,vehicle-miles (millions),8/1/2022,2878,8/1/2021,2871,7/1/2022,2738,7/1/2021,2870
West,Hawaii,54,urban,vehicle-miles (millions),8/1/2022,481,8/1/2021,461,7/1/2022,471,7/1/2021,477
West,Idaho,78,urban,vehicle-miles (millions),8/1/2022,569,8/1/2021,550,7/1/2022,555,7/1/2021,570
West,Montana,14,urban,vehicle-miles (millions),8/1/2022,237,8/1/2021,230,7/1/2022,233,7/1/2021,242
West,Nevada,38,urban,vehicle-miles (millions),8/1/2022,1360,8/1/2021,1328,7/1/2022,1301,7/1/2021,1343
West,New Mexico,6,urban,vehicle-miles (millions),8/1/2022,747,8/1/2021,770,7/1/2022,789,7/1/2021,792
West,Oregon,40,urban,vehicle-miles (millions),8/1/2022,1568,8/1/2021,1564,7/1/2022,1543,7/1/2021,1608
West,Utah,77,urban,vehicle-miles (millions),8/1/2022,1607,8/1/2021,1566,7/1/2022,1517,7/1/2021,1570
West,Washington,86,urban,vehicle-miles (millions),8/1/2022,3421,8/1/2021,3354,7/1/2022,3378,7/1/2021,3464
West,Wyoming,25,urban,vehicle-miles (millions),8/1/2022,177,8/1/2021,180,7/1/2022,173,7/1/2021,181
