State,Trade_Type,Domestic_Mode,Unit,Year,Units_Within,Units_In,Units_Out
California,Domestic Only,Rail,million ton-miles,2012,2452.6386,66751.1264,21711.0094
California,Domestic Only,Truck,million ton-miles,2012,74774.59099,87385.85165,89413.60284
California,Domestic Only,Water,million ton-miles,2012,464.5714,73902.9665,430.3502
California,Export,Air (include truck-air),million ton-miles,2012,36.688045,126.286503,300.105611
California,Export,Multiple modes & mail,million ton-miles,2012,308.395103,25206.37623,1168.631234
California,Export,Other and unknown,million ton-miles,2012,6.756541,83.922471,217.0904
California,Export,Pipeline,million ton-miles,2012,126.221301,1404.554162,0.1301
California,Export,Rail,million ton-miles,2012,187.879607,11513.00558,2562.734299
California,Export,Truck,million ton-miles,2012,3348.038457,20548.62676,10929.89993
California,Export,Water,million ton-miles,2012,1022.26483,73.239048,104.466751
California,Import,Air (include truck-air),million ton-miles,2012,30.117319,425.949157,216.558104
California,Import,Multiple modes & mail,million ton-miles,2012,622.118396,10297.08252,40838.35253
California,Import,No domestic mode,million ton-miles,2012,0,0,0
California,Import,Other and unknown,million ton-miles,2012,160.96608,99.253255,119.865955
California,Import,Pipeline,million ton-miles,2012,490.702404,61.35201,920.477414
California,Import,Rail,million ton-miles,2012,98.975699,14565.05588,3228.955016
California,Import,Truck,million ton-miles,2012,3725.51683,7665.589805,4096.580199
California,Import,Water,million ton-miles,2012,3476.450937,35.055704,15.780506
Colorado,Domestic Only,Air (include truck-air),million ton-miles,2012,0,31.969037,46.627758
Colorado,Domestic Only,Multiple modes & mail,million ton-miles,2012,411.116619,3266.21378,2325.058607
Colorado,Domestic Only,Pipeline,million ton-miles,2012,3036.0468,18444.3066,26310.1964
Colorado,Domestic Only,Rail,million ton-miles,2012,2457.1011,16037.6606,17998.7972
Colorado,Domestic Only,Truck,million ton-miles,2012,7690.857641,17785.56631,21390.8173
Colorado,Export,Air (include truck-air),million ton-miles,2012,0.062771,1.329012,31.058772
Colorado,Export,Multiple modes & mail,million ton-miles,2012,0,0,366.782852
Colorado,Export,Other and unknown,million ton-miles,2012,0.002808,0,1.67148
Colorado,Export,Pipeline,million ton-miles,2012,0,0,26.606526
Colorado,Export,Rail,million ton-miles,2012,0,0,945.086307
Colorado,Export,Truck,million ton-miles,2012,0.110365,0,950.327539
Colorado,Import,Air (include truck-air),million ton-miles,2012,0.116681,31.125163,3.524807
Colorado,Import,Multiple modes & mail,million ton-miles,2012,0.000016,865.589522,0
Colorado,Import,Other and unknown,million ton-miles,2012,0.508362,4.2676,1.155648
Colorado,Import,Pipeline,million ton-miles,2012,0,771.1448,0
