"Name","Total","No_Schooling_Completed","Nursery_School","Kindergarten","1st_Grade","2nd_Grade","3rd_Grade","4th_Grade","5th_Grade","6th_Grade","7th_Grade","8th_Grade","9th_Grade","10th_Grade","11th_Grade","12th_Grade_No_Diploma","Regular_High_School_Diploma","GED_or_alternative_credential","Some_College_less_than_1_year","Some_College_1_year_or_more","Associates_Degree","Bachelors_Degree","Masters_Degree","Professional_School_Degree","Doctorate_Degree","STATEFP","COUNTYFP","STATE_FIPS","Year","No_Highschool_Diploma","Some_College"
"Hickman County, Tennessee","17684","163","0","19","0","0","81","4","44","234","71","368","560","806","464","455","6621","1760","878","2317","1171","1162","434","21","51","47","081","47081","2020","3269","3195"
"Houston County, Tennessee","5807","44","0","0","0","0","76","7","0","108","49","112","99","341","187","139","2028","455","427","476","481","486","213","34","45","47","083","47083","2020","1162","903"
"Humphreys County, Tennessee","13030","128","0","0","0","0","0","15","0","15","28","293","192","388","725","273","5057","1050","738","1419","787","1171","509","137","105","47","085","47085","2020","2057","2157"
"Jefferson County, Tennessee","38691","397","0","0","9","11","44","46","121","382","154","880","738","1099","777","673","11930","2871","2593","6075","3101","4244","1662","509","375","47","089","47089","2020","5331","8668"
"Johnson County, Tennessee","13516","206","0","12","0","0","0","15","23","83","151","401","325","534","679","199","4135","1403","1073","1702","963","1095","417","72","28","47","091","47091","2020","2628","2775"
"Lake County, Tennessee","5630","111","21","0","0","1","10","11","17","36","128","201","95","272","417","170","1325","1111","246","682","206","366","167","20","17","47","095","47095","2020","1490","928"
"Lauderdale County, Tennessee","17642","248","0","0","4","0","36","0","40","44","213","453","740","870","745","489","5688","2137","1009","2161","1069","1070","506","91","29","47","097","47097","2020","3882","3170"
"Lewis County, Tennessee","8565","131","0","0","0","6","20","45","0","36","62","101","407","268","170","189","2915","881","764","990","713","578","176","70","43","47","101","47101","2020","1435","1754"
"Lincoln County, Tennessee","23981","306","0","0","0","99","0","18","41","172","58","347","553","876","791","368","8633","1327","1399","2742","1659","2802","1418","238","134","47","103","47103","2020","3629","4141"
"McMinn County, Tennessee","37863","398","0","0","0","7","104","28","116","291","270","744","583","1425","947","755","10720","3818","2737","5215","3275","4183","1449","536","262","47","107","47107","2020","5668","7952"
"McNairy County, Tennessee","18304","158","2","0","0","34","16","9","25","35","130","475","415","566","655","330","6866","1477","1139","2126","1454","1416","815","93","68","47","109","47109","2020","2850","3265"
"Madison County, Tennessee","65529","711","0","0","9","19","85","26","120","221","248","833","824","1329","1818","1308","18526","3992","5435","8816","4214","10515","4514","1260","706","47","113","47113","2020","7551","14251"
"Marion County, Tennessee","20482","240","8","7","0","9","58","79","70","129","212","651","620","735","565","518","6940","1295","1555","2628","1607","1703","654","137","62","47","115","47115","2020","3901","4183"
"Maury County, Tennessee","65657","833","0","0","28","0","44","0","51","573","232","532","935","1277","1084","746","19199","3660","4351","9159","7218","10510","4009","842","374","47","119","47119","2020","6335","13510"
