"Name","Male_Unemployed_16_T_19","Female_Unemployed_16_T_19","Male_Unemployed_20_T_21","Female_Unemployed_20_T_21","Male_Unemployed_22_T_24","Female_Unemployed_22_T_24","Male_Unemployed_25_T_29","Female_Unemployed_25_T_29","Male_Unemployed_30_T_34","Female_Unemployed_30_T_34","Male_Unemployed_35_T_44","Female_Unemployed_35_T_44","Male_Unemployed_45_T_54","Female_Unemployed_45_T_54","Male_Unemployed_55_T_59","Female_Unemployed_55_T_59","Male_Unemployed_60_T_61","Female_Unemployed_60_T_61","Male_Unemployed_62_T_64","Female_Unemployed_62_T_64","Male_Unemployed_65_T_69","Female_Unemployed_65_T_69","Male_Unemployed_70_T_74","Female_Unemployed_70_T_74","Male_Unemployed_75_or_more","Female_Unemployed_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","Unemployed_16_T_19","Unemployed_20_T_21","Unemployed_22_T_24","Unemployed_25_T_29","Unemployed_30_T_34","Unemployed_35_T_44","Unemployed_45_T_54","Unemployed_55_T_59","Unemployed_60_T_61","Unemployed_62_T_64","Unemployed_65_T_69","Unemployed_70_T_74","Unemployed_75_or_more","Year"
"Unicoi County, Tennessee","0","25","81","0","69","20","0","37","0","0","102","56","23","57","0","14","0","0","0","10","0","0","0","0","0","0","47","171","47171","25","81","89","37","0","158","80","14","0","10","0","0","0","2020"
"Van Buren County, Tennessee","12","31","0","18","0","0","34","0","3","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47","175","47175","43","18","0","34","3","29","0","0","0","0","0","0","0","2020"
"Warren County, Tennessee","74","33","22","59","34","10","18","71","35","0","71","125","28","73","0","23","0","0","0","0","0","8","0","16","5","0","47","177","47177","107","81","44","89","35","196","101","23","0","0","8","16","5","2020"
"Wayne County, Tennessee","9","19","12","40","3","15","19","13","13","3","81","98","0","25","0","0","0","0","1","0","6","37","0","0","0","0","47","181","47181","28","52","18","32","16","179","25","0","0","1","43","0","0","2020"
"Weakley County, Tennessee","87","71","56","14","71","52","40","57","9","10","20","38","36","106","13","0","0","0","7","3","0","0","5","7","0","0","47","183","47183","158","70","123","97","19","58","142","13","0","10","0","12","0","2020"
"Williamson County, Tennessee","254","147","80","0","231","103","323","190","86","85","146","233","247","410","192","55","38","48","34","24","16","0","12","19","4","0","47","187","47187","401","80","334","513","171","379","657","247","86","58","16","31","4","2020"
"Wilson County, Tennessee","152","196","136","72","105","228","224","86","161","134","273","215","33","353","42","28","13","16","0","0","37","23","0","33","0","0","47","189","47189","348","208","333","310","295","488","386","70","29","0","60","33","0","2020"
"Bedford County, Tennessee","127","98","37","43","0","50","49","151","16","23","36","97","65","80","28","22","0","29","15","0","74","0","0","0","0","0","47","003","47003","225","80","50","200","39","133","145","50","29","15","74","0","0","2020"
"Blount County, Tennessee","191","123","374","224","96","104","101","132","137","120","214","419","135","263","135","123","60","16","20","34","3","15","14","31","0","1","47","009","47009","314","598","200","233","257","633","398","258","76","54","18","45","1","2020"
"Cannon County, Tennessee","5","8","15","0","0","14","37","58","11","22","17","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","47","015","47015","13","15","14","95","33","17","2","0","0","7","0","0","0","2020"
"Cheatham County, Tennessee","120","40","0","45","35","39","45","68","59","19","13","80","110","101","21","5","17","11","15","6","6","40","12","0","0","0","47","021","47021","160","45","74","113","78","93","211","26","28","21","46","12","0","2020"
"Clay County, Tennessee","0","0","9","0","18","0","0","14","0","0","18","0","31","31","0","0","0","0","0","0","0","30","0","0","0","0","47","027","47027","0","9","18","14","0","18","62","0","0","0","30","0","0","2020"
"Crockett County, Tennessee","38","56","4","0","43","13","22","13","12","20","1","36","6","2","3","6","0","0","0","0","0","0","0","0","0","0","47","033","47033","94","4","56","35","32","37","8","9","0","0","0","0","0","2020"
"Decatur County, Tennessee","52","18","17","0","74","42","29","17","0","5","17","24","20","22","15","0","0","0","6","0","5","0","0","16","0","0","47","039","47039","70","17","116","46","5","41","42","15","0","6","5","16","0","2020"
"Jackson County, Tennessee","41","0","43","40","65","0","41","12","10","3","17","0","17","83","0","6","0","0","5","0","0","0","0","0","0","0","47","087","47087","41","83","65","53","13","17","100","6","0","5","0","0","0","2020"
"Knox County, Tennessee","648","627","636","473","499","471","483","655","426","499","929","1093","826","827","365","291","59","51","59","77","38","69","62","143","0","15","47","093","47093","1275","1109","970","1138","925","2022","1653","656","110","136","107","205","15","2020"
"Lawrence County, Tennessee","97","117","25","30","80","20","52","80","230","79","109","220","58","149","15","82","3","0","51","20","0","0","0","0","0","0","47","099","47099","214","55","100","132","309","329","207","97","3","71","0","0","0","2020"
"Loudon County, Tennessee","21","28","18","48","7","47","60","3","29","122","31","95","48","68","82","86","0","38","0","0","0","16","0","14","0","0","47","105","47105","49","66","54","63","151","126","116","168","38","0","16","14","0","2020"
"Macon County, Tennessee","70","2","0","0","7","32","42","136","9","14","32","67","0","46","0","31","4","0","0","0","0","0","0","0","0","0","47","111","47111","72","0","39","178","23","99","46","31","4","0","0","0","0","2020"
"Marshall County, Tennessee","98","104","21","45","12","64","20","20","56","82","71","170","45","121","0","27","0","17","9","19","11","0","20","0","0","7","47","117","47117","202","66","76","40","138","241","166","27","17","28","11","20","7","2020"
"Monroe County, Tennessee","179","133","93","37","8","0","159","123","32","59","134","75","35","69","60","91","0","15","0","0","11","23","0","0","0","0","47","123","47123","312","130","8","282","91","209","104","151","15","0","34","0","0","2020"
"Morgan County, Tennessee","39","51","9","11","13","23","15","50","49","31","103","70","0","25","0","9","2","0","0","0","101","0","0","0","0","0","47","129","47129","90","20","36","65","80","173","25","9","2","0","101","0","0","2020"
"Perry County, Tennessee","6","0","0","0","0","0","0","74","58","0","43","50","23","0","4","3","13","0","0","0","2","0","0","0","0","0","47","135","47135","6","0","0","74","58","93","23","7","13","0","2","0","0","2020"
"Putnam County, Tennessee","437","283","203","124","234","34","79","100","89","72","111","65","38","97","100","29","14","0","0","0","44","15","0","9","38","9","47","141","47141","720","327","268","179","161","176","135","129","14","0","59","9","47","2020"
"Robertson County, Tennessee","175","68","24","2","53","27","161","190","156","134","134","112","96","92","53","121","11","25","17","8","11","18","3","0","1","16","47","147","47147","243","26","80","351","290","246","188","174","36","25","29","3","17","2020"
"Sevier County, Tennessee","37","204","3","71","147","39","117","234","181","48","325","305","98","125","121","90","14","11","43","16","32","0","39","52","17","0","47","155","47155","241","74","186","351","229","630","223","211","25","59","32","91","17","2020"
"Stewart County, Tennessee","2","17","0","52","46","0","68","15","75","11","44","2","21","0","0","0","0","0","0","0","0","0","9","0","0","0","47","161","47161","19","52","46","83","86","46","21","0","0","0","0","9","0","2020"
"Tipton County, Tennessee","170","98","85","11","119","38","127","112","118","80","58","133","105","68","101","17","53","0","6","0","7","12","7","0","0","0","47","167","47167","268","96","157","239","198","191","173","118","53","6","19","7","0","2020"
"Union County, Tennessee","0","12","8","11","44","16","52","45","10","42","63","92","35","34","0","0","0","5","0","10","12","14","0","0","9","45","47","173","47173","12","19","60","97","52","155","69","0","5","10","26","0","54","2020"
"Washington County, Tennessee","182","273","204","56","185","189","324","25","104","259","136","107","213","234","196","185","53","0","25","0","16","34","0","0","0","53","47","179","47179","455","260","374","349","363","243","447","381","53","25","50","0","53","2020"
"White County, Tennessee","34","44","13","0","72","34","0","0","19","37","13","181","10","62","0","24","0","0","7","0","0","0","2","0","8","0","47","185","47185","78","13","106","0","56","194","72","24","0","7","0","2","8","2020"
"Anderson County, Tennessee","141","55","108","49","208","81","136","237","168","55","147","71","96","130","21","54","0","12","24","50","4","38","7","0","0","0","47","001","47001","196","157","289","373","223","218","226","75","12","74","42","7","0","2020"
"Benton County, Tennessee","20","4","11","74","0","0","21","34","50","9","10","14","62","44","25","37","0","9","0","4","0","5","7","0","0","0","47","005","47005","24","85","0","55","59","24","106","62","9","4","5","7","0","2020"
"Bledsoe County, Tennessee","14","16","0","0","56","25","163","0","53","39","9","31","13","0","17","0","10","0","0","0","11","0","0","0","0","26","47","007","47007","30","0","81","163","92","40","13","17","10","0","11","0","26","2020"
"Bradley County, Tennessee","327","180","95","13","79","56","262","163","176","106","192","234","93","396","66","128","0","15","51","0","18","86","0","6","80","20","47","011","47011","507","108","135","425","282","426","489","194","15","51","104","6","100","2020"
"Campbell County, Tennessee","181","25","44","25","110","77","105","100","96","62","216","203","95","268","115","11","5","0","0","0","7","33","0","0","0","0","47","013","47013","206","69","187","205","158","419","363","126","5","0","40","0","0","2020"
"Carroll County, Tennessee","56","91","0","0","7","13","0","22","14","55","22","14","25","135","7","5","3","3","0","0","0","9","0","0","0","0","47","017","47017","147","0","20","22","69","36","160","12","6","0","9","0","0","2020"
"Carter County, Tennessee","65","19","58","37","40","15","166","120","159","34","158","60","33","253","15","21","32","0","13","24","102","17","9","0","0","0","47","019","47019","84","95","55","286","193","218","286","36","32","37","119","9","0","2020"
"Chester County, Tennessee","80","72","64","0","40","0","33","40","0","62","22","34","49","12","0","0","0","0","0","0","0","8","0","0","0","0","47","023","47023","152","64","40","73","62","56","61","0","0","0","8","0","0","2020"
"Claiborne County, Tennessee","26","17","11","65","40","26","114","105","47","69","158","89","120","9","0","36","0","11","8","19","0","9","0","0","0","0","47","025","47025","43","76","66","219","116","247","129","36","11","27","9","0","0","2020"
"Cocke County, Tennessee","147","33","18","33","97","68","12","160","36","37","85","170","54","191","52","20","16","43","28","0","9","11","0","0","0","0","47","029","47029","180","51","165","172","73","255","245","72","59","28","20","0","0","2020"
"Coffee County, Tennessee","47","114","0","21","64","57","142","48","36","119","129","186","71","40","17","11","0","14","0","5","15","15","0","0","0","23","47","031","47031","161","21","121","190","155","315","111","28","14","5","30","0","23","2020"
"Cumberland County, Tennessee","73","56","91","44","82","37","138","152","13","135","152","78","90","90","44","25","2","22","20","6","33","10","20","13","18","9","47","035","47035","129","135","119","290","148","230","180","69","24","26","43","33","27","2020"
"Davidson County, Tennessee","1245","1100","762","723","1028","1014","1615","1236","1168","1026","990","1781","1316","1219","735","602","175","128","175","78","127","505","58","58","65","0","47","037","47037","2345","1485","2042","2851","2194","2771","2535","1337","303","253","632","116","65","2020"
"DeKalb County, Tennessee","10","21","15","6","53","30","0","101","13","58","3","55","5","0","11","0","14","0","20","0","0","0","0","0","0","0","47","041","47041","31","21","83","101","71","58","5","11","14","20","0","0","0","2020"
"Dickson County, Tennessee","15","94","36","34","0","36","64","49","68","184","15","105","76","13","24","30","0","0","0","0","0","10","13","0","0","20","47","043","47043","109","70","36","113","252","120","89","54","0","0","10","13","20","2020"
"Dyer County, Tennessee","91","143","54","0","11","41","35","71","68","27","81","146","99","142","14","0","0","0","0","17","0","39","0","6","0","0","47","045","47045","234","54","52","106","95","227","241","14","0","17","39","6","0","2020"
"Fayette County, Tennessee","54","70","35","34","61","80","121","251","85","75","46","84","47","68","26","19","5","5","3","0","30","0","12","0","6","0","47","047","47047","124","69","141","372","160","130","115","45","10","3","30","12","6","2020"
"Fentress County, Tennessee","83","35","0","0","4","64","4","5","98","7","154","18","0","0","0","0","6","0","0","0","0","0","0","0","0","0","47","049","47049","118","0","68","9","105","172","0","0","6","0","0","0","0","2020"
"Franklin County, Tennessee","109","0","14","35","14","12","21","12","53","39","34","113","63","68","87","53","0","0","12","8","0","9","14","0","0","0","47","051","47051","109","49","26","33","92","147","131","140","0","20","9","14","0","2020"
"Gibson County, Tennessee","61","20","110","39","38","67","151","32","24","26","179","87","177","75","89","35","0","0","0","6","17","0","0","0","5","0","47","053","47053","81","149","105","183","50","266","252","124","0","6","17","0","5","2020"
"Giles County, Tennessee","43","46","0","16","14","69","57","20","28","35","27","61","89","59","16","86","48","0","3","0","0","10","0","3","0","0","47","055","47055","89","16","83","77","63","88","148","102","48","3","10","3","0","2020"
"Grainger County, Tennessee","20","32","18","18","16","24","29","2","37","50","0","12","142","88","29","0","0","0","0","0","0","0","4","0","0","20","47","057","47057","52","36","40","31","87","12","230","29","0","0","0","4","20","2020"
"Greene County, Tennessee","73","63","14","12","22","28","170","33","125","162","243","103","45","184","73","72","0","11","25","0","0","0","0","0","12","0","47","059","47059","136","26","50","203","287","346","229","145","11","25","0","0","12","2020"
"Grundy County, Tennessee","45","14","28","3","3","2","25","34","90","29","92","23","20","11","32","4","7","4","0","0","0","0","0","0","0","5","47","061","47061","59","31","5","59","119","115","31","36","11","0","0","0","5","2020"
"Hamblen County, Tennessee","225","84","66","135","130","195","150","171","43","195","365","137","113","105","62","27","0","39","0","0","1","5","0","0","0","0","47","063","47063","309","201","325","321","238","502","218","89","39","0","6","0","0","2020"
"Hamilton County, Tennessee","567","719","200","325","386","209","405","715","659","610","520","564","583","553","387","202","186","66","238","86","54","120","8","31","75","1","47","065","47065","1286","525","595","1120","1269","1084","1136","589","252","324","174","39","76","2020"
"Hancock County, Tennessee","31","0","4","0","6","9","8","89","39","9","23","9","0","0","0","9","0","0","14","0","20","15","0","0","0","0","47","067","47067","31","4","15","97","48","32","0","9","0","14","35","0","0","2020"
"Hardeman County, Tennessee","111","102","79","50","132","4","163","114","95","27","36","146","7","49","47","0","22","6","0","0","0","69","0","0","0","0","47","069","47069","213","129","136","277","122","182","56","47","28","0","69","0","0","2020"
"Hardin County, Tennessee","2","0","9","21","23","29","23","115","44","50","8","52","46","12","24","0","0","0","0","0","9","11","0","0","0","0","47","071","47071","2","30","52","138","94","60","58","24","0","0","20","0","0","2020"
"Hawkins County, Tennessee","159","56","132","40","147","85","311","57","42","84","206","92","68","169","53","48","11","22","13","15","0","0","0","0","3","0","47","073","47073","215","172","232","368","126","298","237","101","33","28","0","0","3","2020"
"Haywood County, Tennessee","56","45","40","25","0","16","0","55","5","26","38","46","36","28","0","0","12","24","6","0","11","3","0","0","0","0","47","075","47075","101","65","16","55","31","84","64","0","36","6","14","0","0","2020"
"Henderson County, Tennessee","48","0","31","157","61","17","0","153","5","21","169","49","45","91","17","61","0","0","0","0","0","15","0","0","0","0","47","077","47077","48","188","78","153","26","218","136","78","0","0","15","0","0","2020"
"Henry County, Tennessee","6","36","32","25","110","14","53","41","56","66","66","38","3","2","5","17","18","0","0","2","0","12","11","0","0","0","47","079","47079","42","57","124","94","122","104","5","22","18","2","12","11","0","2020"
"Hickman County, Tennessee","29","0","48","11","24","33","16","30","19","5","88","0","19","0","0","13","0","7","5","0","0","7","0","0","0","0","47","081","47081","29","59","57","46","24","88","19","13","7","5","7","0","0","2020"
"Houston County, Tennessee","15","0","20","13","22","0","1","0","11","0","13","0","18","0","0","37","27","0","0","0","0","14","5","0","0","0","47","083","47083","15","33","22","1","11","13","18","37","27","0","14","5","0","2020"
"Humphreys County, Tennessee","19","42","54","26","64","31","38","214","59","0","16","8","0","76","0","82","0","0","0","21","0","0","0","0","0","3","47","085","47085","61","80","95","252","59","24","76","82","0","21","0","0","3","2020"
"Jefferson County, Tennessee","53","80","32","46","88","93","92","50","0","111","97","284","133","139","42","57","11","71","0","69","2","11","0","7","0","0","47","089","47089","133","78","181","142","111","381","272","99","82","69","13","7","0","2020"
"Johnson County, Tennessee","0","0","0","0","0","0","4","25","54","41","14","35","0","0","0","0","0","2","0","5","0","0","0","0","0","0","47","091","47091","0","0","0","29","95","49","0","0","2","5","0","0","0","2020"
"Lake County, Tennessee","28","15","21","17","5","3","69","27","3","0","0","16","3","36","0","0","0","0","0","0","0","0","0","0","0","0","47","095","47095","43","38","8","96","3","16","39","0","0","0","0","0","0","2020"
"Lauderdale County, Tennessee","46","24","61","8","28","34","62","71","11","63","49","77","53","33","0","47","8","13","0","4","5","0","0","0","0","0","47","097","47097","70","69","62","133","74","126","86","47","21","4","5","0","0","2020"
"Lewis County, Tennessee","8","34","28","0","0","10","0","48","0","0","14","0","17","66","0","0","0","0","0","0","0","0","0","0","0","0","47","101","47101","42","28","10","48","0","14","83","0","0","0","0","0","0","2020"
"Lincoln County, Tennessee","54","25","33","19","33","54","21","32","19","14","38","50","46","72","0","30","0","0","56","0","7","0","8","0","7","0","47","103","47103","79","52","87","53","33","88","118","30","0","56","7","8","7","2020"
"McMinn County, Tennessee","184","65","149","9","24","221","120","82","48","37","33","162","163","60","75","0","0","0","0","0","10","6","0","0","10","0","47","107","47107","249","158","245","202","85","195","223","75","0","0","16","0","10","2020"
"McNairy County, Tennessee","80","7","5","20","75","62","62","48","37","36","127","45","58","9","24","6","5","0","0","0","3","0","0","2","0","0","47","109","47109","87","25","137","110","73","172","67","30","5","0","3","2","0","2020"
"Madison County, Tennessee","127","171","131","85","177","98","268","163","64","208","281","528","147","235","44","107","0","38","33","76","38","0","8","6","29","0","47","113","47113","298","216","275","431","272","809","382","151","38","109","38","14","29","2020"
"Marion County, Tennessee","12","93","11","67","19","10","31","112","7","75","55","35","96","12","3","0","0","0","6","0","0","0","0","22","0","3","47","115","47115","105","78","29","143","82","90","108","3","0","6","0","22","3","2020"
"Maury County, Tennessee","54","27","54","11","54","93","102","170","38","134","113","241","152","145","0","208","32","0","49","0","0","40","13","18","23","44","47","119","47119","81","65","147","272","172","354","297","208","32","49","40","31","67","2020"
"Anderson County, Tennessee","159","181","67","26","133","134","196","188","192","132","245","113","169","264","147","129","29","10","0","29","0","0","0","0","0","10","47","001","47001","340","93","267","384","324","358","433","276","39","29","0","0","10","2010"
"Bedford County, Tennessee","105","144","98","85","85","109","93","316","83","125","204","140","117","200","28","71","53","0","10","35","13","4","36","8","0","0","47","003","47003","249","183","194","409","208","344","317","99","53","45","17","44","0","2010"
"Benton County, Tennessee","45","28","0","0","23","93","57","85","45","27","38","47","116","16","23","19","12","7","0","20","11","0","0","0","0","0","47","005","47005","73","0","116","142","72","85","132","42","19","20","11","0","0","2010"
"Bledsoe County, Tennessee","50","50","62","38","68","7","6","0","22","24","11","38","54","46","0","11","12","13","0","0","15","0","0","0","0","0","47","007","47007","100","100","75","6","46","49","100","11","25","0","15","0","0","2010"
"Blount County, Tennessee","307","273","107","112","304","191","218","262","255","214","533","388","595","453","118","55","54","17","54","27","46","39","51","16","11","29","47","009","47009","580","219","495","480","469","921","1048","173","71","81","85","67","40","2010"
"Bradley County, Tennessee","368","253","95","196","254","118","245","292","145","138","413","574","365","308","172","34","75","7","55","44","38","37","12","0","0","0","47","011","47011","621","291","372","537","283","987","673","206","82","99","75","12","0","2010"
"Campbell County, Tennessee","108","85","80","35","57","37","295","107","62","83","298","96","101","103","24","14","13","19","0","0","0","20","0","0","7","0","47","013","47013","193","115","94","402","145","394","204","38","32","0","20","0","7","2010"
"Cannon County, Tennessee","46","21","15","23","7","25","11","25","6","25","39","19","82","36","4","0","4","17","17","11","0","0","12","0","0","0","47","015","47015","67","38","32","36","31","58","118","4","21","28","0","12","0","2010"
"Carroll County, Tennessee","85","76","15","25","89","42","99","130","54","72","234","93","161","36","35","37","11","2","24","27","0","41","2","10","0","10","47","017","47017","161","40","131","229","126","327","197","72","13","51","41","12","10","2010"
"Carter County, Tennessee","96","90","25","74","66","153","247","138","134","124","268","181","297","241","60","51","26","28","29","52","9","0","0","0","0","0","47","019","47019","186","99","219","385","258","449","538","111","54","81","9","0","0","2010"
"Cheatham County, Tennessee","139","99","22","0","40","6","65","113","48","90","119","144","149","110","49","36","0","0","0","0","0","0","0","0","0","0","47","021","47021","238","22","46","178","138","263","259","85","0","0","0","0","0","2010"
"Chester County, Tennessee","133","0","32","25","129","7","40","0","19","102","19","74","33","76","0","53","0","0","16","0","6","19","0","0","0","0","47","023","47023","133","57","136","40","121","93","109","53","0","16","25","0","0","2010"
"Claiborne County, Tennessee","138","74","28","78","74","39","66","114","10","24","177","49","91","97","34","31","0","0","22","14","0","0","6","0","0","0","47","025","47025","212","106","113","180","34","226","188","65","0","36","0","6","0","2010"
"Clay County, Tennessee","16","0","0","0","10","0","0","53","30","10","15","47","44","55","0","0","0","0","0","0","0","0","0","0","0","0","47","027","47027","16","0","10","53","40","62","99","0","0","0","0","0","0","2010"
