"Name","Male_Unemployed_16_T_19","Female_Unemployed_16_T_19","Male_Unemployed_20_T_21","Female_Unemployed_20_T_21","Male_Unemployed_22_T_24","Female_Unemployed_22_T_24","Male_Unemployed_25_T_29","Female_Unemployed_25_T_29","Male_Unemployed_30_T_34","Female_Unemployed_30_T_34","Male_Unemployed_35_T_44","Female_Unemployed_35_T_44","Male_Unemployed_45_T_54","Female_Unemployed_45_T_54","Male_Unemployed_55_T_59","Female_Unemployed_55_T_59","Male_Unemployed_60_T_61","Female_Unemployed_60_T_61","Male_Unemployed_62_T_64","Female_Unemployed_62_T_64","Male_Unemployed_65_T_69","Female_Unemployed_65_T_69","Male_Unemployed_70_T_74","Female_Unemployed_70_T_74","Male_Unemployed_75_or_more","Female_Unemployed_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","Unemployed_16_T_19","Unemployed_20_T_21","Unemployed_22_T_24","Unemployed_25_T_29","Unemployed_30_T_34","Unemployed_35_T_44","Unemployed_45_T_54","Unemployed_55_T_59","Unemployed_60_T_61","Unemployed_62_T_64","Unemployed_65_T_69","Unemployed_70_T_74","Unemployed_75_or_more","Year"
"Henry County, Tennessee","95","31","51","0","74","17","96","101","161","74","133","81","152","258","60","60","0","55","57","11","3","0","10","0","0","0","47","079","47079","126","51","91","197","235","214","410","120","55","68","3","10","0","2010"
"Hickman County, Tennessee","117","54","25","20","52","0","69","32","57","11","61","110","63","36","33","15","10","3","13","8","0","0","11","16","0","0","47","081","47081","171","45","52","101","68","171","99","48","13","21","0","27","0","2010"
"Houston County, Tennessee","65","29","19","4","5","19","85","21","7","16","9","63","13","12","0","2","0","0","0","0","0","0","0","0","0","0","47","083","47083","94","23","24","106","23","72","25","2","0","0","0","0","0","2010"
"Humphreys County, Tennessee","24","3","79","0","37","6","136","22","14","54","76","27","48","45","61","31","40","0","8","6","7","0","0","0","10","0","47","085","47085","27","79","43","158","68","103","93","92","40","14","7","0","10","2010"
"Jackson County, Tennessee","4","18","22","69","2","0","69","11","11","10","79","19","48","9","47","19","0","0","0","0","0","0","0","0","0","0","47","087","47087","22","91","2","80","21","98","57","66","0","0","0","0","0","2010"
"Jefferson County, Tennessee","198","103","64","105","40","94","156","128","139","141","179","136","298","123","84","75","11","23","7","10","43","21","3","6","29","0","47","089","47089","301","169","134","284","280","315","421","159","34","17","64","9","29","2010"
"Johnson County, Tennessee","126","36","28","79","31","45","26","61","45","46","79","13","53","104","43","9","21","0","0","0","0","0","36","0","0","0","47","091","47091","162","107","76","87","91","92","157","52","21","0","0","36","0","2010"
"Knox County, Tennessee","1060","571","460","463","858","649","637","748","736","564","986","1118","1119","918","456","326","115","121","98","43","119","85","39","26","44","63","47","093","47093","1631","923","1507","1385","1300","2104","2037","782","236","141","204","65","107","2010"
"Lake County, Tennessee","14","4","22","2","5","11","24","2","29","14","22","6","85","71","0","10","17","0","0","0","7","0","0","6","0","0","47","095","47095","18","24","16","26","43","28","156","10","17","0","7","6","0","2010"
"Lauderdale County, Tennessee","56","110","57","52","35","107","32","65","166","93","119","210","102","74","14","23","9","0","0","12","17","0","5","0","0","0","47","097","47097","166","109","142","97","259","329","176","37","9","12","17","5","0","2010"
