"Year","Field","Value","Units"
"1990","total carbon dioxide emissions from all sectors Tennessee","105.299523","million metric tons of co2"
"1991","total carbon dioxide emissions from all sectors Tennessee","100.612087","million metric tons of co2"
"1992","total carbon dioxide emissions from all sectors Tennessee","106.363194","million metric tons of co2"
"2017","total carbon dioxide emissions from all sectors Tennessee","97.407671","million metric tons of co2"
"2000","total carbon dioxide emissions from all sectors Tennessee","128.727078","million metric tons of co2"
"1993","total carbon dioxide emissions from all sectors Tennessee","117.072985","million metric tons of co2"
"1994","total carbon dioxide emissions from all sectors Tennessee","111.687302","million metric tons of co2"
"1995","total carbon dioxide emissions from all sectors Tennessee","118.565143","million metric tons of co2"
"1996","total carbon dioxide emissions from all sectors Tennessee","119.622179","million metric tons of co2"
"1997","total carbon dioxide emissions from all sectors Tennessee","122.787316","million metric tons of co2"
"1998","total carbon dioxide emissions from all sectors Tennessee","122.030267","million metric tons of co2"
"1999","total carbon dioxide emissions from all sectors Tennessee","122.851218","million metric tons of co2"
"1970","total carbon dioxide emissions from all sectors Tennessee","77.901472","million metric tons of co2"
"1971","total carbon dioxide emissions from all sectors Tennessee","76.331326","million metric tons of co2"
"1972","total carbon dioxide emissions from all sectors Tennessee","86.988554","million metric tons of co2"
"1973","total carbon dioxide emissions from all sectors Tennessee","98.646675","million metric tons of co2"
"1974","total carbon dioxide emissions from all sectors Tennessee","90.295826","million metric tons of co2"
"1975","total carbon dioxide emissions from all sectors Tennessee","89.69407","million metric tons of co2"
"1976","total carbon dioxide emissions from all sectors Tennessee","101.987939","million metric tons of co2"
"1977","total carbon dioxide emissions from all sectors Tennessee","102.4575","million metric tons of co2"
"2001","total carbon dioxide emissions from all sectors Tennessee","127.217065","million metric tons of co2"
"2002","total carbon dioxide emissions from all sectors Tennessee","126.363851","million metric tons of co2"
"2003","total carbon dioxide emissions from all sectors Tennessee","125.144951","million metric tons of co2"
"2004","total carbon dioxide emissions from all sectors Tennessee","127.160971","million metric tons of co2"
"2005","total carbon dioxide emissions from all sectors Tennessee","128.30816","million metric tons of co2"
"2006","total carbon dioxide emissions from all sectors Tennessee","129.929299","million metric tons of co2"
"2007","total carbon dioxide emissions from all sectors Tennessee","129.054697","million metric tons of co2"
"2008","total carbon dioxide emissions from all sectors Tennessee","122.500746","million metric tons of co2"
"1978","total carbon dioxide emissions from all sectors Tennessee","104.217412","million metric tons of co2"
"1979","total carbon dioxide emissions from all sectors Tennessee","101.762393","million metric tons of co2"
"1980","total carbon dioxide emissions from all sectors Tennessee","100.798396","million metric tons of co2"
"1981","total carbon dioxide emissions from all sectors Tennessee","99.420314","million metric tons of co2"
"1982","total carbon dioxide emissions from all sectors Tennessee","88.207201","million metric tons of co2"
"2009","total carbon dioxide emissions from all sectors Tennessee","101.947285","million metric tons of co2"
"2010","total carbon dioxide emissions from all sectors Tennessee","109.266641","million metric tons of co2"
"2011","total carbon dioxide emissions from all sectors Tennessee","105.502607","million metric tons of co2"
"2012","total carbon dioxide emissions from all sectors Tennessee","99.025285","million metric tons of co2"
"1983","total carbon dioxide emissions from all sectors Tennessee","94.800647","million metric tons of co2"
"1984","total carbon dioxide emissions from all sectors Tennessee","98.819691","million metric tons of co2"
"1985","total carbon dioxide emissions from all sectors Tennessee","103.198138","million metric tons of co2"
"2013","total carbon dioxide emissions from all sectors Tennessee","97.268004","million metric tons of co2"
"2014","total carbon dioxide emissions from all sectors Tennessee","102.519792","million metric tons of co2"
"2015","total carbon dioxide emissions from all sectors Tennessee","98.703926","million metric tons of co2"
"2016","total carbon dioxide emissions from all sectors Tennessee","101.354803","million metric tons of co2"
"1994","total carbon dioxide emissions from all sectors United States","5240.787912","million metric tons of co2"
"1995","total carbon dioxide emissions from all sectors United States","5305.115449","million metric tons of co2"
"1996","total carbon dioxide emissions from all sectors United States","5502.989405","million metric tons of co2"
"1997","total carbon dioxide emissions from all sectors United States","5576.233039","million metric tons of co2"
"1998","total carbon dioxide emissions from all sectors United States","5612.718839","million metric tons of co2"
"2015","total carbon dioxide emissions from all sectors United States","5267.153266","million metric tons of co2"
"2016","total carbon dioxide emissions from all sectors United States","5179.518477","million metric tons of co2"
"2017","total carbon dioxide emissions from all sectors United States","5143.397894","million metric tons of co2"
"2018","total carbon dioxide emissions from all sectors United States","5294.801156","million metric tons of co2"
"2019","total carbon dioxide emissions from all sectors United States","5158.825482","million metric tons of co2"
"2020","total carbon dioxide emissions from all sectors United States","4592.430592","million metric tons of co2"
"1984","total carbon dioxide emissions from all sectors United States","4597.924337","million metric tons of co2"
"1985","total carbon dioxide emissions from all sectors United States","4602.26976","million metric tons of co2"
"1986","total carbon dioxide emissions from all sectors United States","4605.185998","million metric tons of co2"
"1987","total carbon dioxide emissions from all sectors United States","4756.479787","million metric tons of co2"
"1988","total carbon dioxide emissions from all sectors United States","4984.844879","million metric tons of co2"
"1989","total carbon dioxide emissions from all sectors United States","5060.822087","million metric tons of co2"
"1990","total carbon dioxide emissions from all sectors United States","5021.700918","million metric tons of co2"
"1991","total carbon dioxide emissions from all sectors United States","4973.008063","million metric tons of co2"
"1992","total carbon dioxide emissions from all sectors United States","5067.658071","million metric tons of co2"
"1993","total carbon dioxide emissions from all sectors United States","5168.854484","million metric tons of co2"
"1999","total carbon dioxide emissions from all sectors United States","5676.090732","million metric tons of co2"
"2000","total carbon dioxide emissions from all sectors United States","5864.819401","million metric tons of co2"
"2001","total carbon dioxide emissions from all sectors United States","5755.347199","million metric tons of co2"
"2002","total carbon dioxide emissions from all sectors United States","5793.663165","million metric tons of co2"
"2003","total carbon dioxide emissions from all sectors United States","5865.094399","million metric tons of co2"
"2004","total carbon dioxide emissions from all sectors United States","5963.655076","million metric tons of co2"
"2005","total carbon dioxide emissions from all sectors United States","5989.038873","million metric tons of co2"
"2006","total carbon dioxide emissions from all sectors United States","5906.012564","million metric tons of co2"
"2007","total carbon dioxide emissions from all sectors United States","5996.27883","million metric tons of co2"
"2008","total carbon dioxide emissions from all sectors United States","5803.468943","million metric tons of co2"
"2009","total carbon dioxide emissions from all sectors United States","5395.708733","million metric tons of co2"
"2010","total carbon dioxide emissions from all sectors United States","5585.028026","million metric tons of co2"
"2011","total carbon dioxide emissions from all sectors United States","5449.740994","million metric tons of co2"
"2012","total carbon dioxide emissions from all sectors United States","5229.432959","million metric tons of co2"
"2013","total carbon dioxide emissions from all sectors United States","5360.902992","million metric tons of co2"
"2014","total carbon dioxide emissions from all sectors United States","5417.082551","million metric tons of co2"
