State,Commodity,Unit,Year,Units_Within,Units_In,Units_Out
Florida,Nonmetal min. prods.,million ton-miles,2012,4650.69197,13312.4125,7272.295869
Florida,Gravel,million ton-miles,2012,3878.418208,10905.3877,7268.910262
Florida,Gasoline,million ton-miles,2012,3774.253321,8375.353102,3355.761146
Florida,Other ag prods.,million ton-miles,2012,3063.402336,7228.0048,2368.326832
Florida,Mixed freight,million ton-miles,2012,2166.151466,4300.674292,2338.959869
Florida,Other foodstuffs,million ton-miles,2012,1992.63642,4277.018209,1527.139631
Florida,Nonmetallic minerals,million ton-miles,2012,1695.340208,4106.504434,1494.536794
Florida,Wood prods.,million ton-miles,2012,1367.415452,3518.011854,1389.494068
Florida,Fuel oils,million ton-miles,2012,1226.437026,3247.891058,1373.538056
Georgia,Logs,million ton-miles,2012,2239.237951,24184.79437,5156.866612
Georgia,Gravel,million ton-miles,2012,1484.865936,10670.06714,4847.811697
Georgia,Other ag prods.,million ton-miles,2012,1087.092249,8627.79985,4754.038005
Georgia,Gasoline,million ton-miles,2012,1013.540636,5800.3374,4418.452556
Georgia,Textiles/leather,million ton-miles,2012,620.534876,5643.513017,4119.743612
Georgia,Wood prods.,million ton-miles,2012,582.300543,5215.307777,3433.427942
Georgia,Waste/scrap,million ton-miles,2012,580.311146,3637.090755,2939.287861
Georgia,Nonmetallic minerals,million ton-miles,2012,564.095415,3579.531297,2913.571102
Georgia,Nonmetal min. prods.,million ton-miles,2012,501.370355,3214.849305,2807.499189
Georgia,Mixed freight,million ton-miles,2012,481.726052,2945.381078,2781.910401
Hawaii,Gravel,million ton-miles,2012,271.914822,4792.0911,1954.8885
Hawaii,Gasoline,million ton-miles,2012,187.132406,821.7213,116.802895
Hawaii,Fuel oils,million ton-miles,2012,158.6363,687.816871,115.893561
Hawaii,Waste/scrap,million ton-miles,2012,132.1559,608.370124,89.632493
Hawaii,Nonmetal min. prods.,million ton-miles,2012,98.538237,568.8215,84.994903
Hawaii,Coal,million ton-miles,2012,84.4174,530.5959,51.94507
Hawaii,Other foodstuffs,million ton-miles,2012,53.553281,395.9503,48.920401
Hawaii,Fertilizers,million ton-miles,2012,31.8026,385.8697,46.503338
Hawaii,Natural sands,million ton-miles,2012,26.0664,349.5509,37.385803
Hawaii,Coal-n.e.c.,million ton-miles,2012,25.987372,332.4857,35.393691
Idaho,Coal-n.e.c.,million ton-miles,2012,2672.01698,2058.151529,6597.387051
Idaho,Logs,million ton-miles,2012,1678.253806,1973.8396,5029.322668
Idaho,Other foodstuffs,million ton-miles,2012,650.259824,1838.109503,4888.593296
Idaho,Animal feed,million ton-miles,2012,506.3478,1417.762939,3616.3765
Idaho,Other ag prods.,million ton-miles,2012,465.300673,1262.196374,2818.478175
Idaho,Wood prods.,million ton-miles,2012,439.9428,977.091829,2764.76184
Idaho,Gasoline,million ton-miles,2012,405.89,945.968245,2699.974953
Idaho,Cereal grains,million ton-miles,2012,231.3042,929.328472,2519.0186
Idaho,Fertilizers,million ton-miles,2012,200.6525,794.771819,1142.40001
Idaho,Natural sands,million ton-miles,2012,154.088,785.3445,1041.029751
Illinois,Cereal grains,million ton-miles,2012,3562.744964,64595.61335,18173.55822
Illinois,Gasoline,million ton-miles,2012,3561.367325,36402.7024,15520.25479
Illinois,Gravel,million ton-miles,2012,2751.442638,27587.41642,14716.24019
Illinois,Other ag prods.,million ton-miles,2012,2565.837246,10613.19324,12923.07945
Illinois,Fuel oils,million ton-miles,2012,1511.695193,9477.605548,11503.5791
Illinois,Other foodstuffs,million ton-miles,2012,1453.121723,8317.522467,10744.65039
Illinois,Natural sands,million ton-miles,2012,934.981712,7207.0947,9916.839435
Illinois,Nonmetal min. prods.,million ton-miles,2012,730.415465,6259.276344,9575.339995
Illinois,Mixed freight,million ton-miles,2012,559.500551,5213.326931,9092.448662
Illinois,Coal-n.e.c.,million ton-miles,2012,548.839955,5201.640996,8938.925944
Indiana,Cereal grains,million ton-miles,2012,2015.8992,25262.6518,11775.69342
Indiana,Coal,million ton-miles,2012,1967.0406,20197.3308,10022.56752
Indiana,Base metals,million ton-miles,2012,879.976768,12880.41123,6659.526571
Indiana,Gasoline,million ton-miles,2012,821.5819,7182.834021,6403.045648
Indiana,Nonmetal min. prods.,million ton-miles,2012,819.322426,6083.400542,5261.646165
Indiana,Fuel oils,million ton-miles,2012,799.5421,3952.280323,4557.451947
Indiana,Gravel,million ton-miles,2012,751.0068,3284.779442,3226.659226
Indiana,Other foodstuffs,million ton-miles,2012,716.289188,3104.477615,2508.179774
Indiana,Other ag prods.,million ton-miles,2012,705.147827,2676.922593,2480.5236
Indiana,Mixed freight,million ton-miles,2012,399.038781,2674.970295,2375.208844
Iowa,Animal feed,million ton-miles,2012,4581.555522,23361.7656,15837.39905
Iowa,Cereal grains,million ton-miles,2012,1014.977738,18949.1189,13086.5146
Iowa,Other foodstuffs,million ton-miles,2012,700.892753,9041.835132,11891.83439
Iowa,Gravel,million ton-miles,2012,596.860642,3169.431819,11199.53529
Iowa,Natural sands,million ton-miles,2012,399.546189,2868.432,9320.3348
Iowa,Coal-n.e.c.,million ton-miles,2012,361.127597,2737.395806,7013.7198
Iowa,Other ag prods.,million ton-miles,2012,277.171496,1975.67886,6776.3631
Iowa,Fertilizers,million ton-miles,2012,170.729977,1972.240824,3433.573403
Iowa,Nonmetal min. prods.,million ton-miles,2012,157.4675,1967.287367,2852.318632
Iowa,Milled grain prods.,million ton-miles,2012,130.710751,1625.742632,2141.293465
Kansas,Cereal grains,million ton-miles,2012,3091.7546,17770.71139,34152.5269
Kansas,Coal-n.e.c.,million ton-miles,2012,1547.7024,15329.5607,11995.91495
Kansas,Fuel oils,million ton-miles,2012,1296.0313,6914.5007,3907.088137
Kansas,Gravel,million ton-miles,2012,1290.5364,4146.9867,3092.713988
Kansas,Mixed freight,million ton-miles,2012,853.887781,2547.5912,2249.375505
Kansas,Other ag prods.,million ton-miles,2012,709.537322,2251.8205,2217.855146
Kansas,Nonmetal min. prods.,million ton-miles,2012,518.242324,2247.979052,1841.252255
Kansas,Animal feed,million ton-miles,2012,379.6958,1585.105638,1688.5651
Kansas,Natural sands,million ton-miles,2012,324.4109,1486.512373,1473.553479
Kansas,Other foodstuffs,million ton-miles,2012,301.15462,1319.7977,1393.704856
Kentucky,Coal,million ton-miles,2012,6545.1462,23367.6607,44852.3843
Kentucky,Coal-n.e.c.,million ton-miles,2012,1277.011432,10620.09783,13054.87518
Kentucky,Gravel,million ton-miles,2012,1218.0342,8648.4181,5074.636314
Kentucky,Base metals,million ton-miles,2012,574.373026,5845.806762,4522.92714
Kentucky,Animal feed,million ton-miles,2012,421.463542,3576.37847,4186.203991
Kentucky,Other foodstuffs,million ton-miles,2012,384.653659,3377.515704,3892.567253
Kentucky,Basic chemicals,million ton-miles,2012,327.055934,2610.524,2244.200922
Kentucky,Waste/scrap,million ton-miles,2012,239.32895,2195.128154,2054.231182
Kentucky,Fuel oils,million ton-miles,2012,204.0344,2179.564318,1633.366956
Kentucky,Natural sands,million ton-miles,2012,203.147,1839.062405,1621.674285
Louisiana,Coal-n.e.c.,million ton-miles,2012,9369.876261,42780.45051,50071.15857
Louisiana,Coal,million ton-miles,2012,3963.668898,39466.5925,28264.96876
Louisiana,Fuel oils,million ton-miles,2012,2719.163778,35187.59608,16611.6892
Louisiana,Gasoline,million ton-miles,2012,2489.6445,20836.2369,15188.85377
Louisiana,Crude petroleum,million ton-miles,2012,2176.6652,20358.70048,7737.946725
Louisiana,Basic chemicals,million ton-miles,2012,1895.988836,8529.328,7711.383587
Louisiana,Other ag prods.,million ton-miles,2012,1536.134758,5315.617404,7681.687544
Louisiana,Cereal grains,million ton-miles,2012,1022.658102,2638.304303,5841.751668
Louisiana,Animal feed,million ton-miles,2012,706.809778,2447.511373,4531.275512
Louisiana,Gravel,million ton-miles,2012,650.0467,2024.247448,4132.733583
Maine,Coal-n.e.c.,million ton-miles,2012,481.02043,965.028104,3623.347901
Maine,Misc. mfg. prods.,million ton-miles,2012,276.754071,680.626228,3349.676327
Maine,Logs,million ton-miles,2012,192.603101,525.396312,964.6268
Maine,Nonmetal min. prods.,million ton-miles,2012,110.071318,419.385702,706.8745
Maine,Wood prods.,million ton-miles,2012,107.1434,401.781676,590.1332
Maine,Newsprint/paper,million ton-miles,2012,94.3214,379.121272,397.094956
Maine,Basic chemicals,million ton-miles,2012,93.4621,325.8727,389.705979
Maine,Fuel oils,million ton-miles,2012,92.8024,323.1261,317.006463
Maine,Gravel,million ton-miles,2012,68.3837,295.379874,251.0265
Maine,Gasoline,million ton-miles,2012,57.4795,286.370909,248.0649
Maryland,Gravel,million ton-miles,2012,724.3853,13694.5922,2152.862001
Maryland,Gasoline,million ton-miles,2012,377.2458,3110.857112,1970.993032
Maryland,Natural sands,million ton-miles,2012,333.806538,2328.95795,1620.369319
Maryland,Nonmetal min. prods.,million ton-miles,2012,295.671595,2118.721779,1569.374417
Maryland,Coal,million ton-miles,2012,243.8469,1548.74477,1189.196396
Maryland,Coal-n.e.c.,million ton-miles,2012,204.720057,1328.283189,839.9884
Maryland,Other foodstuffs,million ton-miles,2012,171.574924,1296.644246,829.8414
Maryland,Waste/scrap,million ton-miles,2012,147.765046,1233.989182,752.237041
Maryland,Other ag prods.,million ton-miles,2012,127.683595,1106.502626,749.765783
Maryland,Mixed freight,million ton-miles,2012,112.506835,1091.794377,735.403287
Massachusetts,Nonmetal min. prods.,million ton-miles,2012,506.712638,3482.510603,2002.1113
Massachusetts,Gasoline,million ton-miles,2012,441.8217,2782.350087,1639.131437
