"Name","Enrolled_in_School","Not_Enrolled_in_School","Below_Poverty_Status","Median_Income","Male_Employee_of_a_Private_Company","Female_Employee_of_a_Private_Company","Male_Self_employed_in_own_incorporated_business","Female_Self_employed_in_own_incorporated_business","Male_Private_not_for_profit_wage_and_salary","Female_Private_not_for_profit_wage_and_salary","Male_Local_Government","Female_Local_Government","Male_State_Government","Female_State_Government","Male_Federal_Government","Female_Federal_Government","Male_Self_employed_in_own_not_incorporated_business","Female_Self_employed_in_own_not_incorporated_business","Male_Unpaid_family","Female_Unpaid_family","Male_35_hours_or_more","Female_35_hours_or_more","Male_15_T_34_hours","Female_15_T_34_hours","Male_1_T_14_hours","Female_1_T_14_hours","Male_No_Hours","Female_No_Hours","STATEFP","COUNTYFP","STATE_FIPS","Employee_of_a_Private_Company","Self_employed_in_own_incorporated_business","Private_not_for_profit_wage_and_salary","Local_Government","State_Government","Federal_Government","Self_employed_in_own_not_incorporated_business","Unpaid_family","Worked_35_hours_or_more","Worked_15_T_34_hours","Worked_1_T_14_hours","Worked_No_Hours","Year"
"Lake County, Tennessee","1354","6279","1609","13089","632","501","0","8","45","17","69","171","142","174","0","14","81","62","0","3","1299","776","326","232","37","56","2176","728","47","095","47095","1133","8","62","240","316","14","143","3","2075","558","93","2904","2010"
"Lauderdale County, Tennessee","6504","20088","5965","18880","3647","3511","111","34","61","111","167","606","352","347","35","47","545","265","0","0","5215","4375","849","951","130","192","3756","2863","47","097","47097","7158","145","172","773","699","82","810","0","9590","1800","322","6619","2010"
"Lawrence County, Tennessee","9969","29606","7120","19166","5995","5276","284","72","179","358","660","811","291","508","214","140","1393","526","9","22","8377","6270","1164","2040","238","384","2788","4145","47","099","47099","11271","356","537","1471","799","354","1919","31","14647","3204","622","6933","2010"
"Lewis County, Tennessee","2661","8905","2157","18559","1366","1339","48","12","96","243","209","262","72","70","7","14","512","182","34","22","2382","2005","433","437","86","61","838","1252","47","101","47101","2705","60","339","471","142","21","694","56","4387","870","147","2090","2010"
"Lincoln County, Tennessee","7472","24159","5086","23550","5427","4261","167","101","209","500","481","734","110","376","253","237","1271","411","32","69","7098","5149","1120","1800","100","350","1770","3107","47","103","47103","9688","268","709","1215","486","490","1682","101","12247","2920","450","4877","2010"
"Loudon County, Tennessee","8842","36693","6467","22977","7747","6731","402","96","430","791","630","857","160","191","422","195","931","518","12","9","9612","7266","1642","2370","236","619","2980","4492","47","105","47105","14478","498","1221","1487","351","617","1449","21","16878","4012","855","7472","2010"
"McMinn County, Tennessee","11340","38977","8801","20420","8445","7190","281","155","416","516","691","887","228","271","288","123","1455","693","28","26","11244","7623","1206","3014","258","655","3365","5590","47","107","47107","15635","436","932","1578","499","411","2148","54","18867","4220","913","8955","2010"
"McNairy County, Tennessee","5896","18922","5386","18399","3719","2819","169","137","135","283","337","447","152","504","116","33","566","271","2","17","4990","3522","635","1162","152","306","2118","3169","47","109","47109","6538","306","418","784","656","149","837","19","8512","1797","458","5287","2010"
"Macon County, Tennessee","5126","15797","5109","17910","3410","2652","134","116","110","321","207","381","166","164","39","21","709","255","15","13","4609","3343","488","858","204","140","1745","2726","47","111","47111","6062","250","431","588","330","60","964","28","7952","1346","344","4471","2010"
"Madison County, Tennessee","26002","67259","17608","21777","15403","13589","864","235","1510","2992","1635","2098","688","1218","446","285","1733","1142","38","100","20707","17217","3314","5578","737","1204","5758","9425","47","113","47113","28992","1099","4502","3733","1906","731","2875","138","37924","8892","1941","15183","2010"
"Marion County, Tennessee","6153","20926","5245","21463","4238","3447","185","105","237","422","430","453","116","303","205","142","800","421","4","13","5799","4394","653","1301","135","343","2483","3218","47","115","47115","7685","290","659","883","419","347","1221","17","10193","1954","478","5701","2010"
"Marshall County, Tennessee","6669","21883","4847","21806","4722","4387","199","144","220","226","505","679","269","225","106","84","1091","384","14","26","6648","5411","1128","1494","77","206","1667","2815","47","117","47117","9109","343","446","1184","494","190","1475","40","12059","2622","283","4482","2010"
"Maury County, Tennessee","18360","56847","10287","24663","13588","12595","810","236","748","1514","1317","1509","370","608","341","173","1875","1238","82","16","17990","14204","2170","4867","502","774","4689","6817","47","119","47119","26183","1046","2262","2826","978","514","3113","98","32194","7037","1276","11506","2010"
"Meigs County, Tennessee","2384","8725","2856","19168","1839","1059","52","47","33","87","116","282","52","124","156","86","340","138","0","0","2487","1688","298","401","79","103","919","1582","47","121","47121","2898","99","120","398","176","242","478","0","4175","699","182","2501","2010"
"Monroe County, Tennessee","9502","33046","8152","19140","7285","5623","308","124","279","556","540","887","105","257","100","123","974","471","21","12","8750","6634","1486","2166","291","551","3494","4681","47","123","47123","12908","432","835","1427","362","223","1445","33","15384","3652","842","8175","2010"
"Montgomery County, Tennessee","47924","106942","23215","25014","22475","20543","721","305","998","2334","1926","3559","1255","1421","3828","3152","2622","1469","0","52","39458","28389","5366","9384","930","1878","7817","16070","47","125","47125","43018","1026","3332","5485","2676","6980","4091","52","67847","14750","2808","23887","2010"
"Moore County, Tennessee","1507","4587","886","22017","1097","925","33","14","23","115","64","222","29","46","22","20","281","36","0","0","1411","992","161","450","80","130","334","330","47","127","47127","2022","47","138","286","75","42","317","0","2403","611","210","664","2010"
"Morgan County, Tennessee","4034","16828","3755","19511","3086","2206","33","41","143","332","323","507","390","226","222","100","438","147","14","2","4882","3120","873","794","83","153","2386","2161","47","129","47129","5292","74","475","830","616","322","585","16","8002","1667","236","4547","2010"
"Obion County, Tennessee","7299","23611","4714","21482","5631","4806","185","70","227","367","474","733","313","368","115","88","539","374","13","17","6937","5531","851","1413","266","384","1746","2943","47","131","47131","10437","255","594","1207","681","203","913","30","12468","2264","650","4689","2010"
"Overton County, Tennessee","4605","16439","4092","18034","3151","2787","134","133","140","178","289","528","242","162","49","93","818","217","15","13","4377","3385","606","820","133","161","1712","2538","47","133","47133","5938","267","318","817","404","142","1035","28","7762","1426","294","4250","2010"
"Perry County, Tennessee","1672","5891","1854","18399","828","922","90","0","94","184","123","105","218","44","45","16","187","11","0","0","1513","1033","208","280","0","79","722","1032","47","135","47135","1750","90","278","228","262","61","198","0","2546","488","79","1754","2010"
"Pickett County, Tennessee","947","3930","836","17257","939","541","22","11","14","56","88","172","29","44","27","17","282","79","0","0","1283","741","204","158","10","31","250","459","47","137","47137","1480","33","70","260","73","44","361","0","2024","362","41","709","2010"
"Polk County, Tennessee","3649","12451","3013","17613","2727","1906","72","54","84","122","245","241","81","152","24","25","540","189","15","13","3421","2152","502","933","94","250","1393","1966","47","139","47139","4633","126","206","486","233","49","729","28","5573","1435","344","3359","2010"
"Putnam County, Tennessee","19242","48822","15105","19121","10863","8526","531","173","598","1007","994","1747","905","1327","323","129","2115","703","20","11","13981","9933","3036","4194","829","874","5921","8452","47","141","47141","19389","704","1605","2741","2232","452","2818","31","23914","7230","1703","14373","2010"
"Rhea County, Tennessee","7306","22842","5794","19846","4355","3715","196","69","451","387","362","674","95","267","340","86","787","388","6","60","6234","4667","1076","1530","210","350","2177","3699","47","143","47143","8070","265","838","1036","362","426","1175","66","10901","2606","560","5876","2010"
"Roane County, Tennessee","10475","42014","7138","22326","8412","6946","191","78","600","996","690","1022","453","534","1037","441","947","401","20","48","11469","8586","1422","2474","267","690","4012","5530","47","145","47145","15358","269","1596","1712","987","1478","1348","68","20055","3896","957","9542","2010"
"Robertson County, Tennessee","15549","45931","7650","26522","11970","9146","490","177","501","1518","867","1617","308","488","382","262","1900","634","64","49","15351","11518","1819","3139","418","655","3255","5880","47","147","47147","21116","667","2019","2484","796","644","2534","113","26869","4958","1073","9135","2010"
"Rutherford County, Tennessee","75263","163962","30910","27922","50689","39136","1793","501","2533","5284","3601","5408","2460","3479","1314","1427","5001","2471","102","26","62020","46901","10142","15643","1772","3243","11253","20612","47","149","47149","89825","2294","7817","9009","5939","2741","7472","128","108921","25785","5015","31865","2010"
"Scott County, Tennessee","5151","15941","5364","17094","3138","2325","149","65","126","369","274","499","132","274","216","138","400","192","0","6","4537","3085","546","1021","152","183","1795","2813","47","151","47151","5463","214","495","773","406","354","592","6","7622","1567","335","4608","2010"
"Sequatchie County, Tennessee","3294","9956","2987","19982","2014","1395","58","14","48","155","175","205","267","131","143","19","310","331","0","0","2653","1880","302","649","120","171","1207","1647","47","153","47153","3409","72","203","380","398","162","641","0","4533","951","291","2854","2010"
"Sevier County, Tennessee","18331","66011","11664","21907","15537","14593","1123","470","593","1192","1714","2147","432","662","472","301","2879","1530","18","21","20278","16597","3147","5282","597","922","4305","6484","47","155","47155","30130","1593","1785","3861","1094","773","4409","39","36875","8429","1519","10789","2010"
"Shelby County, Tennessee","262221","619413","178079","25069","152446","138306","6379","2471","11460","22320","14355","22490","4642","8347","5335","6892","14700","7818","145","281","190097","170138","33402","50613","6799","10119","62487","87441","47","157","47157","290752","8850","33780","36845","12989","12227","22518","426","360235","84015","16918","149928","2010"
"Smith County, Tennessee","4516","13758","3349","22367","3051","2676","103","91","141","319","240","474","159","136","70","92","473","239","5","8","3942","3205","561","952","114","274","1512","1861","47","159","47159","5727","194","460","714","295","162","712","13","7147","1513","388","3373","2010"
"Stewart County, Tennessee","3190","9482","2239","20729","1530","1139","63","12","92","195","286","305","152","114","204","125","285","147","13","50","2741","1688","316","510","65","143","1084","1677","47","161","47161","2669","75","287","591","266","329","432","63","4429","826","208","2761","2010"
"Sullivan County, Tennessee","34663","116394","24138","21287","26089","22009","1386","449","1700","3452","2160","2761","561","1193","596","453","3479","1427","30","44","32582","24449","4790","8651","1083","1977","10437","15671","47","163","47163","48098","1835","5152","4921","1754","1049","4906","74","57031","13441","3060","26108","2010"
"Sumner County, Tennessee","38846","110848","15507","27627","28261","23557","1639","475","1603","3048","2353","3591","1122","1168","711","517","4538","1807","22","87","37495","27804","4756","8143","880","1887","6544","13709","47","165","47165","51818","2114","4651","5944","2290","1228","6345","109","65299","12899","2767","20253","2010"
"Tipton County, Tennessee","16074","41339","9703","24110","9898","8121","330","211","489","1150","1115","1349","313","502","577","532","1073","605","75","0","13261","10130","1874","3435","430","552","3822","5830","47","167","47167","18019","541","1639","2464","815","1109","1678","75","23391","5309","982","9652","2010"
"Trousdale County, Tennessee","1970","5579","742","20711","1405","1184","66","36","14","51","176","269","31","109","17","19","179","80","0","0","1672","1400","304","382","50","133","475","647","47","169","47169","2589","102","65","445","140","36","259","0","3072","686","183","1122","2010"
"Unicoi County, Tennessee","3821","13820","3374","20277","2815","2312","113","11","128","524","340","342","102","181","79","157","437","109","0","8","3525","3258","589","501","57","137","1585","1863","47","171","47171","5127","124","652","682","283","236","546","8","6783","1090","194","3448","2010"
"Union County, Tennessee","4155","14249","4145","18555","2961","2432","71","44","98","155","279","285","174","119","98","56","573","239","5","6","3797","2568","601","897","134","185","1797","2669","47","173","47173","5393","115","253","564","293","154","812","11","6365","1498","319","4466","2010"
"Van Buren County, Tennessee","1134","4178","1312","16229","743","681","47","4","13","31","92","93","165","117","0","23","91","70","0","0","1150","852","75","178","30","71","567","673","47","175","47175","1424","51","44","185","282","23","161","0","2002","253","101","1240","2010"
"Warren County, Tennessee","8753","29091","8265","19377","6489","4836","175","83","306","371","573","885","191","211","85","79","1409","571","10","20","8364","5456","1236","2087","155","258","2866","4687","47","177","47177","11325","258","677","1458","402","164","1980","30","13820","3323","413","7553","2010"
"Washington County, Tennessee","30925","84951","19672","21635","20044","16157","972","159","1796","3544","1375","1945","1461","1896","786","840","2504","1392","26","32","26049","19583","4521","7912","843","1659","8391","11286","47","179","47179","36201","1131","5340","3320","3357","1626","3896","58","45632","12433","2502","19677","2010"
"Wayne County, Tennessee","3476","12984","2298","16859","2224","1940","42","0","52","157","171","362","364","282","85","9","255","80","0","0","3599","2377","713","655","104","104","2358","1704","47","181","47181","4164","42","209","533","646","94","335","0","5976","1368","208","4062","2010"
"Weakley County, Tennessee","10169","23138","7024","17078","5238","4481","93","39","300","445","466","761","707","801","74","148","745","356","3","0","7302","5240","1462","2232","321","629","2446","3569","47","183","47183","9719","132","745","1227","1508","222","1101","3","12542","3694","950","6015","2010"
"White County, Tennessee","5464","19150","4854","19369","3913","3517","203","135","39","269","461","500","102","242","68","63","950","344","20","14","5313","3936","778","1136","193","315","1688","2643","47","185","47185","7430","338","308","961","344","131","1294","34","9249","1914","508","4331","2010"
"Williamson County, Tennessee","50735","116645","9010","41128","30940","23328","4270","1230","2818","4837","2018","3517","1219","1165","600","608","5018","3372","68","202","43128","27368","5322","11305","1400","3821","5075","15491","47","187","47187","54268","5500","7655","5535","2384","1208","8390","270","70496","16627","5221","20566","2010"
"Wilson County, Tennessee","27625","77700","8212","30316","19920","17429","1206","489","1468","2192","1497","2240","740","1263","575","347","3116","1344","29","70","26609","19958","3271","5946","908","1481","4813","9441","47","189","47189","37349","1695","3660","3737","2003","922","4460","99","46567","9217","2389","14254","2010"
