State,Trade_Type,Domestic_Mode,Field,Value,Unit,Year
Alaska,Domestic Only,Water,tons_out,25260.7894,thousand tons,2012
Alaska,Domestic Only,Water,tons_in,745.0246,thousand tons,2012
Alaska,Export,Air (include truck-air),tons_within,3.2515,thousand tons,2012
Alaska,Export,Air (include truck-air),tons_out,0.371806,thousand tons,2012
Alaska,Export,Air (include truck-air),tons_in,83.024552,thousand tons,2012
Alaska,Export,Multiple modes & mail,tons_within,5.1548,thousand tons,2012
Alaska,Export,Multiple modes & mail,tons_out,180.100693,thousand tons,2012
Alaska,Export,Multiple modes & mail,tons_in,108.819847,thousand tons,2012
Alaska,Export,Other and unknown,tons_within,0.024,thousand tons,2012
Alaska,Export,Other and unknown,tons_out,0.0025,thousand tons,2012
Alaska,Export,Other and unknown,tons_in,0,thousand tons,2012
Alaska,Export,Pipeline,tons_within,211.4534,thousand tons,2012
Alaska,Export,Pipeline,tons_out,0,thousand tons,2012
Alaska,Export,Pipeline,tons_in,0,thousand tons,2012
Alaska,Export,Rail,tons_within,887.82,thousand tons,2012
Alaska,Export,Rail,tons_out,0.048394,thousand tons,2012
Alaska,Export,Rail,tons_in,0,thousand tons,2012
Alaska,Export,Truck,tons_within,1606.5969,thousand tons,2012
Alaska,Export,Truck,tons_out,0,thousand tons,2012
Alaska,Export,Truck,tons_in,0,thousand tons,2012
Alaska,Export,Water,tons_within,1542.0032,thousand tons,2012
Alaska,Export,Water,tons_out,0.000003,thousand tons,2012
Alaska,Export,Water,tons_in,107.068902,thousand tons,2012
Alaska,Import,Air (include truck-air),tons_within,0.664453,thousand tons,2012
Alaska,Import,Air (include truck-air),tons_out,58.707303,thousand tons,2012
Alaska,Import,Air (include truck-air),tons_in,0.760501,thousand tons,2012
Alaska,Import,Multiple modes & mail,tons_within,12.3034,thousand tons,2012
Alaska,Import,Multiple modes & mail,tons_out,6.972558,thousand tons,2012
Alaska,Import,Multiple modes & mail,tons_in,120.007361,thousand tons,2012
Alaska,Import,Other and unknown,tons_within,1.3411,thousand tons,2012
Alaska,Import,Other and unknown,tons_out,9.5966,thousand tons,2012
Alaska,Import,Other and unknown,tons_in,0.4722,thousand tons,2012
Alaska,Import,Pipeline,tons_within,527.0336,thousand tons,2012
Alaska,Import,Pipeline,tons_out,0,thousand tons,2012
Alaska,Import,Pipeline,tons_in,0,thousand tons,2012
Alaska,Import,Rail,tons_within,148.073,thousand tons,2012
Alaska,Import,Rail,tons_out,0,thousand tons,2012
Alaska,Import,Rail,tons_in,0,thousand tons,2012
Alaska,Import,Truck,tons_within,541.79478,thousand tons,2012
Alaska,Import,Truck,tons_out,0,thousand tons,2012
Alaska,Import,Truck,tons_in,0,thousand tons,2012
Alaska,Import,Water,tons_within,414.1928,thousand tons,2012
Alaska,Import,Water,tons_out,4.9546,thousand tons,2012
Alaska,Import,Water,tons_in,0.00056,thousand tons,2012
Arizona,Domestic Only,Air (include truck-air),tons_within,0,thousand tons,2012
Arizona,Domestic Only,Air (include truck-air),tons_out,29.407102,thousand tons,2012
Arizona,Domestic Only,Air (include truck-air),tons_in,34.630302,thousand tons,2012
Arizona,Domestic Only,Multiple modes & mail,tons_within,220.9931,thousand tons,2012
Arizona,Domestic Only,Multiple modes & mail,tons_out,485.467183,thousand tons,2012
Arizona,Domestic Only,Multiple modes & mail,tons_in,2534.802074,thousand tons,2012
Arizona,Domestic Only,Pipeline,tons_within,1.3413,thousand tons,2012
Arizona,Domestic Only,Pipeline,tons_out,17731.5154,thousand tons,2012
Arizona,Domestic Only,Pipeline,tons_in,24978.4952,thousand tons,2012
Arizona,Domestic Only,Rail,tons_within,7967.2663,thousand tons,2012
Arizona,Domestic Only,Rail,tons_out,895.8251,thousand tons,2012
Arizona,Domestic Only,Rail,tons_in,12506.699,thousand tons,2012
Arizona,Domestic Only,Truck,tons_within,116069.1077,thousand tons,2012
Arizona,Domestic Only,Truck,tons_out,14141.46182,thousand tons,2012
Arizona,Domestic Only,Truck,tons_in,20254.61218,thousand tons,2012
Arizona,Export,Air (include truck-air),tons_within,1.058989,thousand tons,2012
Arizona,Export,Air (include truck-air),tons_out,34.79238,thousand tons,2012
Arizona,Export,Air (include truck-air),tons_in,0.943448,thousand tons,2012
Arizona,Export,Multiple modes & mail,tons_within,0,thousand tons,2012
Arizona,Export,Multiple modes & mail,tons_out,384.975136,thousand tons,2012
Arizona,Export,Multiple modes & mail,tons_in,5.4369,thousand tons,2012
Arizona,Export,Other and unknown,tons_within,6.490375,thousand tons,2012
Arizona,Export,Other and unknown,tons_out,3.1349,thousand tons,2012
Arizona,Export,Other and unknown,tons_in,4.0862,thousand tons,2012
Arizona,Export,Pipeline,tons_within,488.8601,thousand tons,2012
Arizona,Export,Pipeline,tons_out,1183.3111,thousand tons,2012
Arizona,Export,Pipeline,tons_in,564.29496,thousand tons,2012
Arizona,Export,Rail,tons_within,4186.998261,thousand tons,2012
Arizona,Export,Rail,tons_out,75.160287,thousand tons,2012
Arizona,Export,Rail,tons_in,566.20822,thousand tons,2012
Arizona,Export,Truck,tons_within,3685.189756,thousand tons,2012
Arizona,Export,Truck,tons_out,1062.909113,thousand tons,2012
Arizona,Export,Truck,tons_in,1295.553972,thousand tons,2012
Arizona,Import,Air (include truck-air),tons_within,1.120746,thousand tons,2012
Arizona,Import,Air (include truck-air),tons_out,1.0924,thousand tons,2012
Arizona,Import,Air (include truck-air),tons_in,30.410095,thousand tons,2012
Arizona,Import,Multiple modes & mail,tons_within,0.122604,thousand tons,2012
Arizona,Import,Multiple modes & mail,tons_out,0.000357,thousand tons,2012
Arizona,Import,Multiple modes & mail,tons_in,469.872627,thousand tons,2012
Arizona,Import,Other and unknown,tons_within,18.0184,thousand tons,2012
Arizona,Import,Other and unknown,tons_out,22.6085,thousand tons,2012
Arizona,Import,Other and unknown,tons_in,8.3728,thousand tons,2012
Arizona,Import,Pipeline,tons_within,0,thousand tons,2012
Arizona,Import,Pipeline,tons_out,0,thousand tons,2012
Arizona,Import,Pipeline,tons_in,25.967777,thousand tons,2012
Arizona,Import,Rail,tons_within,329.5505,thousand tons,2012
Arizona,Import,Rail,tons_out,890.9463,thousand tons,2012
Arizona,Import,Rail,tons_in,494.488049,thousand tons,2012
Arizona,Import,Truck,tons_within,2700.175008,thousand tons,2012
Arizona,Import,Truck,tons_out,1349.622457,thousand tons,2012
Arizona,Import,Truck,tons_in,952.202388,thousand tons,2012
Arkansas,Domestic Only,Air (include truck-air),tons_within,0,thousand tons,2012
Arkansas,Domestic Only,Air (include truck-air),tons_out,5.1899,thousand tons,2012
Arkansas,Domestic Only,Air (include truck-air),tons_in,9.345002,thousand tons,2012
Arkansas,Domestic Only,Multiple modes & mail,tons_within,3113.6866,thousand tons,2012
Arkansas,Domestic Only,Multiple modes & mail,tons_out,4437.53134,thousand tons,2012
Arkansas,Domestic Only,Multiple modes & mail,tons_in,1726.637444,thousand tons,2012
Arkansas,Domestic Only,Pipeline,tons_within,21236.5684,thousand tons,2012
Arkansas,Domestic Only,Pipeline,tons_out,48329.4009,thousand tons,2012
Arkansas,Domestic Only,Pipeline,tons_in,32616.3468,thousand tons,2012
Arkansas,Domestic Only,Rail,tons_within,4125.3542,thousand tons,2012
Arkansas,Domestic Only,Rail,tons_out,8324.0181,thousand tons,2012
Arkansas,Domestic Only,Rail,tons_in,19495.9191,thousand tons,2012
Arkansas,Domestic Only,Truck,tons_within,118852.855,thousand tons,2012
Arkansas,Domestic Only,Truck,tons_out,32849.24323,thousand tons,2012
Arkansas,Domestic Only,Truck,tons_in,37387.47266,thousand tons,2012
Arkansas,Domestic Only,Water,tons_within,761.9066,thousand tons,2012
Arkansas,Domestic Only,Water,tons_out,163.3808,thousand tons,2012
Arkansas,Domestic Only,Water,tons_in,3062.5701,thousand tons,2012
Arkansas,Export,Air (include truck-air),tons_within,0,thousand tons,2012
Arkansas,Export,Air (include truck-air),tons_out,12.164871,thousand tons,2012
Arkansas,Export,Air (include truck-air),tons_in,0.0201,thousand tons,2012
Arkansas,Export,Multiple modes & mail,tons_within,0,thousand tons,2012
Arkansas,Export,Multiple modes & mail,tons_out,619.41772,thousand tons,2012
Arkansas,Export,Multiple modes & mail,tons_in,0,thousand tons,2012
Arkansas,Export,Other and unknown,tons_within,32.6842,thousand tons,2012
Arkansas,Export,Other and unknown,tons_out,5.6212,thousand tons,2012
Arkansas,Export,Other and unknown,tons_in,0,thousand tons,2012
Arkansas,Export,Rail,tons_within,0,thousand tons,2012
Arkansas,Export,Rail,tons_out,1146.882242,thousand tons,2012
Arkansas,Export,Rail,tons_in,0,thousand tons,2012
Arkansas,Export,Truck,tons_within,0.1673,thousand tons,2012
Arkansas,Export,Truck,tons_out,1202.689861,thousand tons,2012
Arkansas,Export,Truck,tons_in,0,thousand tons,2012
Arkansas,Export,Water,tons_within,0,thousand tons,2012
Arkansas,Export,Water,tons_out,2.561419,thousand tons,2012
Arkansas,Export,Water,tons_in,0,thousand tons,2012
Arkansas,Import,Air (include truck-air),tons_within,0,thousand tons,2012
Arkansas,Import,Air (include truck-air),tons_out,0.0507,thousand tons,2012
Arkansas,Import,Air (include truck-air),tons_in,8.050955,thousand tons,2012
Arkansas,Import,Multiple modes & mail,tons_within,0,thousand tons,2012
Arkansas,Import,Multiple modes & mail,tons_out,0,thousand tons,2012
Arkansas,Import,Multiple modes & mail,tons_in,262.121495,thousand tons,2012
Arkansas,Import,Other and unknown,tons_within,54.4446,thousand tons,2012
Arkansas,Import,Other and unknown,tons_out,0,thousand tons,2012
Arkansas,Import,Other and unknown,tons_in,91.329,thousand tons,2012
Arkansas,Import,Pipeline,tons_within,0,thousand tons,2012
Arkansas,Import,Pipeline,tons_out,0,thousand tons,2012
Arkansas,Import,Pipeline,tons_in,42.0676,thousand tons,2012
Arkansas,Import,Rail,tons_within,0,thousand tons,2012
Arkansas,Import,Rail,tons_out,0,thousand tons,2012
Arkansas,Import,Rail,tons_in,616.945144,thousand tons,2012
Arkansas,Import,Truck,tons_within,0.2575,thousand tons,2012
Arkansas,Import,Truck,tons_out,0,thousand tons,2012
Arkansas,Import,Truck,tons_in,785.858112,thousand tons,2012
Arkansas,Import,Water,tons_within,0,thousand tons,2012
Arkansas,Import,Water,tons_out,0,thousand tons,2012
Arkansas,Import,Water,tons_in,275.045226,thousand tons,2012
California,Domestic Only,Air (include truck-air),tons_within,8.9699,thousand tons,2012
California,Domestic Only,Air (include truck-air),tons_out,215.476105,thousand tons,2012
California,Domestic Only,Air (include truck-air),tons_in,164.350306,thousand tons,2012
California,Domestic Only,Multiple modes & mail,tons_within,5258.75214,thousand tons,2012
California,Domestic Only,Multiple modes & mail,tons_out,8557.209252,thousand tons,2012
California,Domestic Only,Multiple modes & mail,tons_in,17061.43339,thousand tons,2012
California,Domestic Only,Pipeline,tons_within,87095.7229,thousand tons,2012
California,Domestic Only,Pipeline,tons_out,4976.2661,thousand tons,2012
California,Domestic Only,Pipeline,tons_in,43648.7782,thousand tons,2012
California,Domestic Only,Rail,tons_within,11199.2511,thousand tons,2012
California,Domestic Only,Rail,tons_out,10962.3837,thousand tons,2012
California,Domestic Only,Rail,tons_in,37722.1133,thousand tons,2012
California,Domestic Only,Truck,tons_within,742073.5711,thousand tons,2012
California,Domestic Only,Truck,tons_out,65096.63653,thousand tons,2012
California,Domestic Only,Truck,tons_in,58042.42995,thousand tons,2012
California,Domestic Only,Water,tons_within,10805.4177,thousand tons,2012
California,Domestic Only,Water,tons_out,190.7937,thousand tons,2012
California,Domestic Only,Water,tons_in,17638.4785,thousand tons,2012
California,Export,Air (include truck-air),tons_within,108.841438,thousand tons,2012
California,Export,Air (include truck-air),tons_out,153.160249,thousand tons,2012
California,Export,Air (include truck-air),tons_in,120.705273,thousand tons,2012
California,Export,Multiple modes & mail,tons_within,730.586052,thousand tons,2012
California,Export,Multiple modes & mail,tons_out,477.837979,thousand tons,2012
California,Export,Multiple modes & mail,tons_in,12286.10677,thousand tons,2012
California,Export,Other and unknown,tons_within,23.6417,thousand tons,2012
California,Export,Other and unknown,tons_out,72.8025,thousand tons,2012
California,Export,Other and unknown,tons_in,45.739236,thousand tons,2012
California,Export,Pipeline,tons_within,1612.841192,thousand tons,2012
California,Export,Pipeline,tons_out,0.0923,thousand tons,2012
California,Export,Pipeline,tons_in,3689.714635,thousand tons,2012
California,Export,Rail,tons_within,1104.181784,thousand tons,2012
California,Export,Rail,tons_out,1235.057879,thousand tons,2012
California,Export,Rail,tons_in,5594.755308,thousand tons,2012
California,Export,Truck,tons_within,40026.93227,thousand tons,2012
California,Export,Truck,tons_out,6103.226296,thousand tons,2012
California,Export,Truck,tons_in,12022.48135,thousand tons,2012
California,Export,Water,tons_within,2431.586719,thousand tons,2012
California,Export,Water,tons_out,79.949188,thousand tons,2012
California,Export,Water,tons_in,64.261014,thousand tons,2012
California,Import,Air (include truck-air),tons_within,89.588861,thousand tons,2012
California,Import,Air (include truck-air),tons_out,144.147371,thousand tons,2012
California,Import,Air (include truck-air),tons_in,217.668564,thousand tons,2012
California,Import,Multiple modes & mail,tons_within,1950.665711,thousand tons,2012
California,Import,Multiple modes & mail,tons_out,18364.13927,thousand tons,2012
