"Name","Male_in_Labor_Force_16_T_19","Female_in_Labor_Force_16_T_19","Male_in_Labor_Force_20_T_21","Female_in_Labor_Force_20_T_21","Male_in_Labor_Force_22_T_24","Female_in_Labor_Force_22_T_24","Male_in_Labor_Force_25_T_29","Female_in_Labor_Force_25_T_29","Male_in_Labor_Force_30_T_34","Female_in_Labor_Force_30_T_34","Male_in_Labor_Force_35_T_44","Female_in_Labor_Force_35_T_44","Male_in_Labor_Force_45_T_54","Female_in_Labor_Force_45_T_54","Male_in_Labor_Force_55_T_59","Female_in_Labor_Force_55_T_59","Male_in_Labor_Force_60_T_61","Female_in_Labor_Force_60_T_61","Male_in_Labor_Force_62_T_64","Female_in_Labor_Force_62_T_64","Male_in_Labor_Force_65_T_69","Female_in_Labor_Force_65_T_69","Male_in_Labor_Force_70_T_74","Female_in_Labor_Force_70_T_74","Male_in_Labor_Force_75_or_more","Female_in_Labor_Force_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","In_Labor_Force_16_T_19","In_Labor_Force_20_T_21","In_Labor_Force_22_T_24","In_Labor_Force_25_T_29","In_Labor_Force_30_T_34","In_Labor_Force_35_T_44","In_Labor_Force_45_T_54","In_Labor_Force_55_T_59","In_Labor_Force_60_T_61","In_Labor_Force_62_T_64","In_Labor_Force_65_T_69","In_Labor_Force_70_T_74","In_Labor_Force_75_or_more","Year"
"Marion County, Tennessee","326","243","158","221","357","325","714","567","740","460","1608","1429","1745","1400","555","604","239","240","195","88","151","79","91","76","73","54","47","115","47115","569","379","682","1281","1200","3037","3145","1159","479","283","230","167","127","2010"
"Marshall County, Tennessee","415","395","204","215","444","373","749","573","990","649","1741","1806","1961","1645","716","560","227","187","223","240","198","164","131","12","52","46","47","117","47117","810","419","817","1322","1639","3547","3606","1276","414","463","362","143","98","2010"
"Maury County, Tennessee","890","961","731","832","1161","1006","2273","2255","2325","2069","4445","4218","5082","4751","2086","1683","613","513","413","388","537","485","159","123","83","185","47","119","47119","1851","1563","2167","4528","4394","8663","9833","3769","1126","801","1022","282","268","2010"
"Meigs County, Tennessee","101","117","89","61","165","41","253","204","288","129","698","580","673","546","389","221","117","64","52","135","112","20","0","26","0","12","47","121","47121","218","150","206","457","417","1278","1219","610","181","187","132","26","12","2010"
"Monroe County, Tennessee","634","495","439","295","654","535","1056","955","1081","913","2442","2330","2258","2042","1144","829","370","215","225","154","280","263","84","85","57","89","47","123","47123","1129","734","1189","2011","1994","4772","4300","1973","585","379","543","169","146","2010"
"Montgomery County, Tennessee","2127","1810","2351","1984","3964","3224","6648","5457","5665","4385","10198","8591","8335","7415","3172","2357","905","574","681","816","551","433","230","181","218","109","47","125","47125","3937","4335","7188","12105","10050","18789","15750","5529","1479","1497","984","411","327","2010"
"Moore County, Tennessee","76","171","142","67","0","0","100","71","149","192","443","363","398","397","99","82","77","77","106","106","47","7","24","10","44","21","47","127","47127","247","209","0","171","341","806","795","181","154","212","54","34","65","2010"
"Morgan County, Tennessee","243","202","214","125","263","169","523","339","468","366","1288","1045","1128","920","540","357","122","123","88","82","96","98","108","40","15","0","47","129","47129","445","339","432","862","834","2333","2048","897","245","170","194","148","15","2010"
"Obion County, Tennessee","284","378","340","203","314","369","776","775","799","841","1871","1728","1923","1662","767","546","262","268","331","217","210","242","96","92","38","53","47","131","47131","662","543","683","1551","1640","3599","3585","1313","530","548","452","188","91","2010"
"Overton County, Tennessee","276","220","157","126","216","255","512","532","466","455","1261","1075","1133","969","547","279","125","161","89","161","174","163","129","30","32","31","47","133","47133","496","283","471","1044","921","2336","2102","826","286","250","337","159","63","2010"
"Perry County, Tennessee","49","61","93","76","114","43","138","114","162","179","376","288","439","332","208","163","58","20","65","62","38","69","3","38","22","30","47","135","47135","110","169","157","252","341","664","771","371","78","127","107","41","52","2010"
"Pickett County, Tennessee","99","30","70","28","32","62","265","37","149","143","327","282","292","175","147","111","63","17","22","30","17","18","13","0","9","44","47","137","47137","129","98","94","302","292","609","467","258","80","52","35","13","53","2010"
"Polk County, Tennessee","218","162","204","197","168","111","419","177","461","374","1053","814","893","722","405","203","130","55","63","186","130","109","62","41","30","11","47","139","47139","380","401","279","596","835","1867","1615","608","185","249","239","103","41","2010"
"Putnam County, Tennessee","594","789","1111","836","1747","1150","1995","1370","1968","1480","3659","3193","3503","3205","1317","1402","367","382","512","289","490","346","189","93","56","129","47","141","47141","1383","1947","2897","3365","3448","6852","6708","2719","749","801","836","282","185","2010"
"Rhea County, Tennessee","378","383","410","219","365","564","744","680","670","700","1649","1305","1769","1414","811","467","270","282","227","333","150","195","80","76","59","17","47","143","47143","761","629","929","1424","1370","2954","3183","1278","552","560","345","156","76","2010"
"Roane County, Tennessee","615","598","266","355","767","542","1122","949","1282","1059","3031","2402","3244","2926","1438","1327","463","321","496","486","623","254","151","84","42","82","47","145","47145","1213","621","1309","2071","2341","5433","6170","2765","784","982","877","235","124","2010"
"Robertson County, Tennessee","726","626","512","508","1132","789","1755","1563","1984","1449","4290","3646","4285","3712","1598","1391","372","405","479","313","413","280","134","160","147","104","47","147","47147","1352","1020","1921","3318","3433","7936","7997","2989","777","792","693","294","251","2010"
"Rutherford County, Tennessee","3592","3349","3990","3241","5118","4469","9858","8786","8711","7628","17545","15000","14914","12839","4871","3925","1498","1438","1433","1399","1027","857","432","291","267","110","47","149","47149","6941","7231","9587","18644","16339","32545","27753","8796","2936","2832","1884","723","377","2010"
"Scott County, Tennessee","187","108","207","181","278","232","626","491","681","546","1239","1041","1150","861","361","332","258","140","129","190","28","52","32","78","38","15","47","151","47151","295","388","510","1117","1227","2280","2011","693","398","319","80","110","53","2010"
"Sequatchie County, Tennessee","53","170","111","118","278","75","356","273","304","241","552","477","823","619","345","243","187","143","54","154","197","46","14","39","13","0","47","153","47153","223","229","353","629","545","1029","1442","588","330","208","243","53","13","2010"
"Sevier County, Tennessee","1449","1262","853","534","1506","1388","2303","1936","2205","1890","5683","5418","5580","5268","2391","2546","731","697","530","575","782","523","423","203","248","196","47","155","47155","2711","1387","2894","4239","4095","11101","10848","4937","1428","1105","1305","626","444","2010"
"Shelby County, Tennessee","11142","10688","10213","8590","14483","15779","27474","27989","26249","24740","53753","52140","51137","53527","19720","20315","6324","5571","6005","6036","4818","4122","2546","2069","1831","1264","47","157","47157","21830","18803","30262","55463","50989","105893","104664","40035","11895","12041","8940","4615","3095","2010"
"Smith County, Tennessee","214","225","172","120","269","300","517","398","456","414","1036","1117","1103","1061","397","403","190","92","75","100","104","35","118","58","19","24","47","159","47159","439","292","569","915","870","2153","2164","800","282","175","139","176","43","2010"
"Stewart County, Tennessee","214","91","174","139","139","110","241","164","359","239","765","557","769","727","285","210","109","26","55","76","43","93","44","26","14","2","47","161","47161","305","313","249","405","598","1322","1496","495","135","131","136","70","16","2010"
"Sullivan County, Tennessee","1957","1704","1177","1061","1947","1652","3647","3147","3833","3396","9365","8137","9217","8446","3829","3376","1143","922","1197","1178","1147","759","364","354","413","199","47","163","47163","3661","2238","3599","6794","7229","17502","17663","7205","2065","2375","1906","718","612","2010"
"Sumner County, Tennessee","2191","1714","1543","1445","2124","2048","4125","3555","4444","3857","10626","9065","10261","9271","4198","3297","1294","868","1324","794","920","779","436","382","260","259","47","165","47165","3905","2988","4172","7680","8301","19691","19532","7495","2162","2118","1699","818","519","2010"
"Tipton County, Tennessee","813","891","661","689","1104","678","1506","1299","1422","1305","3861","3441","3665","3358","1461","1194","382","395","447","415","296","254","135","126","176","4","47","167","47167","1704","1350","1782","2805","2727","7302","7023","2655","777","862","550","261","180","2010"
"Trousdale County, Tennessee","286","146","88","42","0","145","247","174","166","164","453","389","460","441","161","194","38","9","126","91","82","39","0","0","5","0","47","169","47169","432","130","145","421","330","842","901","355","47","217","121","0","5","2010"
"Unicoi County, Tennessee","139","135","135","36","204","242","346","323","442","432","1071","1022","1016","887","528","358","115","189","36","153","172","57","34","0","49","0","47","171","47171","274","171","446","669","874","2093","1903","886","304","189","229","34","49","2010"
"Union County, Tennessee","247","208","208","267","234","127","509","288","549","464","1035","755","1134","898","408","242","90","48","137","128","66","83","67","11","7","19","47","173","47173","455","475","361","797","1013","1790","2032","650","138","265","149","78","26","2010"
"Van Buren County, Tennessee","42","91","39","83","67","55","51","36","172","44","306","202","292","323","121","186","67","40","47","20","42","9","0","9","0","8","47","175","47175","133","122","122","87","216","508","615","307","107","67","51","9","8","2010"
"Warren County, Tennessee","477","283","437","299","490","431","1011","628","1178","511","2450","1745","2310","2068","827","682","276","253","335","257","284","206","77","103","80","59","47","177","47177","760","736","921","1639","1689","4195","4378","1509","529","592","490","180","139","2010"
"Washington County, Tennessee","1394","1707","1338","1312","2016","2158","3064","2915","3440","2674","7335","5946","6922","6333","2666","2445","835","760","756","651","885","520","300","268","213","129","47","179","47179","3101","2650","4174","5979","6114","13281","13255","5111","1595","1407","1405","568","342","2010"
"Wayne County, Tennessee","187","259","185","118","134","165","301","223","407","346","891","794","786","801","339","232","155","88","91","87","146","71","31","23","15","6","47","181","47181","446","303","299","524","753","1685","1587","571","243","178","217","54","21","2010"
"Weakley County, Tennessee","372","491","419","641","808","718","793","619","843","707","1809","1387","1832","1705","692","756","246","123","277","261","119","181","163","168","102","67","47","183","47183","863","1060","1526","1412","1550","3196","3537","1448","369","538","300","331","169","2010"
"White County, Tennessee","321","298","229","188","340","291","684","442","540","420","1448","1228","1521","1383","573","537","286","151","221","244","150","141","123","73","74","82","47","185","47185","619","417","631","1126","960","2676","2904","1110","437","465","291","196","156","2010"
"Williamson County, Tennessee","1919","1929","1218","720","1525","1727","3431","3130","4421","3770","13331","10356","13615","11286","4589","3637","1803","1071","1680","1190","1086","783","447","356","267","162","47","187","47187","3848","1938","3252","6561","8191","23687","24901","8226","2874","2870","1869","803","429","2010"
"Wilson County, Tennessee","1241","1460","834","1058","1265","947","2607","2395","3062","2795","8007","6802","7923","6647","2884","2532","843","674","896","606","771","472","303","266","113","247","47","189","47189","2701","1892","2212","5002","5857","14809","14570","5416","1517","1502","1243","569","360","2010"
