"Name","Male_in_Labor_Force_16_T_19","Female_in_Labor_Force_16_T_19","Male_in_Labor_Force_20_T_21","Female_in_Labor_Force_20_T_21","Male_in_Labor_Force_22_T_24","Female_in_Labor_Force_22_T_24","Male_in_Labor_Force_25_T_29","Female_in_Labor_Force_25_T_29","Male_in_Labor_Force_30_T_34","Female_in_Labor_Force_30_T_34","Male_in_Labor_Force_35_T_44","Female_in_Labor_Force_35_T_44","Male_in_Labor_Force_45_T_54","Female_in_Labor_Force_45_T_54","Male_in_Labor_Force_55_T_59","Female_in_Labor_Force_55_T_59","Male_in_Labor_Force_60_T_61","Female_in_Labor_Force_60_T_61","Male_in_Labor_Force_62_T_64","Female_in_Labor_Force_62_T_64","Male_in_Labor_Force_65_T_69","Female_in_Labor_Force_65_T_69","Male_in_Labor_Force_70_T_74","Female_in_Labor_Force_70_T_74","Male_in_Labor_Force_75_or_more","Female_in_Labor_Force_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","In_Labor_Force_16_T_19","In_Labor_Force_20_T_21","In_Labor_Force_22_T_24","In_Labor_Force_25_T_29","In_Labor_Force_30_T_34","In_Labor_Force_35_T_44","In_Labor_Force_45_T_54","In_Labor_Force_55_T_59","In_Labor_Force_60_T_61","In_Labor_Force_62_T_64","In_Labor_Force_65_T_69","In_Labor_Force_70_T_74","In_Labor_Force_75_or_more","Year"
"Jefferson County, Tennessee","670","788","306","600","882","764","1406","1080","1191","963","2565","2499","2903","2734","1727","1180","345","392","457","308","374","514","438","163","142","107","47","089","47089","1458","906","1646","2486","2154","5064","5637","2907","737","765","888","601","249","2020"
"Johnson County, Tennessee","77","64","132","55","160","77","270","185","487","226","610","710","811","669","198","370","102","136","50","105","159","64","141","36","21","10","47","091","47091","141","187","237","455","713","1320","1480","568","238","155","223","177","31","2020"
"Lake County, Tennessee","70","36","61","33","34","21","194","130","18","93","116","181","152","261","109","164","30","27","22","12","60","63","27","15","32","8","47","095","47095","106","94","55","324","111","297","413","273","57","34","123","42","40","2020"
"Lauderdale County, Tennessee","214","151","364","129","308","388","722","592","407","373","989","1144","987","872","542","529","164","178","178","156","195","206","51","30","54","49","47","097","47097","365","493","696","1314","780","2133","1859","1071","342","334","401","81","103","2020"
"Lewis County, Tennessee","178","91","63","91","166","122","327","317","223","273","497","425","416","498","221","294","149","109","67","163","187","57","7","35","39","14","47","101","47101","269","154","288","644","496","922","914","515","258","230","244","42","53","2020"
"Lincoln County, Tennessee","357","292","331","179","509","375","757","842","789","719","1896","1528","1804","1613","873","825","315","245","407","276","565","198","104","214","110","53","47","103","47103","649","510","884","1599","1508","3424","3417","1698","560","683","763","318","163","2020"
"McMinn County, Tennessee","570","535","395","372","594","809","1343","1067","1369","1034","2478","2139","2905","2072","1179","1313","660","319","408","454","451","619","168","223","97","64","47","107","47107","1105","767","1403","2410","2403","4617","4977","2492","979","862","1070","391","161","2020"
"McNairy County, Tennessee","219","152","136","195","373","208","708","507","493","272","1180","1223","1331","903","537","547","144","180","275","141","78","239","94","55","85","27","47","109","47109","371","331","581","1215","765","2403","2234","1084","324","416","317","149","112","2020"
"Madison County, Tennessee","998","1096","758","1031","1382","1401","2564","2321","2127","2318","4423","4471","4550","4998","2076","2315","852","873","909","972","994","933","545","366","324","176","47","113","47113","2094","1789","2783","4885","4445","8894","9548","4391","1725","1881","1927","911","500","2020"
"Marion County, Tennessee","230","342","122","269","563","291","706","650","665","573","1512","1121","1561","1249","739","601","249","189","192","245","286","109","179","134","151","58","47","115","47115","572","391","854","1356","1238","2633","2810","1340","438","437","395","313","209","2020"
