"Ownership","Year","Month","Value"
"Private","2014","march","383"
"Private","2014","february","377"
"Private","2014","january","374"
"Private","2013","december","353"
"Private","2013","november","349"
"Private","2013","october","341"
"Private","2013","september","328"
"Private","2013","august","332"
"Private","2013","july","331"
"Private","2013","june","332"
"Private","2013","may","335"
"Private","2013","april","332"
"Private","2013","march","336"
"Private","2013","february","336"
"Private","2013","january","335"
"Private","2012","december","343"
"Private","2012","november","339"
"Private","2012","october","343"
"Private","2012","september","342"
"Private","2012","august","341"
"Private","2012","july","341"
"Private","2012","june","350"
"Private","2012","may","361"
"Private","2012","april","357"
"Private","2012","march","360"
"Private","2012","february","354"
"Private","2012","january","355"
"Private","2011","december","355"
"Private","2011","november","352"
"Private","2011","october","352"
"Private","2011","september","350"
"Private","2011","august","352"
"Private","2011","july","350"
"Private","2011","june","352"
"Private","2011","may","350"
"Private","2011","april","351"
"Private","2011","march","348"
"Private","2011","february","347"
"Private","2011","january","350"
