"Name","Male_Employed_16_T_19","Female_Employed_16_T_19","Male_Employed_20_T_21","Female_Employed_20_T_21","Male_Employed_22_T_24","Female_Employed_22_T_24","Male_Employed_25_T_29","Female_Employed_25_T_29","Male_Employed_30_T_34","Female_Employed_30_T_34","Male_Employed_35_T_44","Female_Employed_35_T_44","Male_Employed_45_T_54","Female_Employed_45_T_54","Male_Employed_55_T_59","Female_Employed_55_T_59","Male_Employed_60_T_61","Female_Employed_60_T_61","Male_Employed_62_T_64","Female_Employed_62_T_64","Male_Employed_65_T_69","Female_Employed_65_T_69","Male_Employed_70_T_74","Female_Employed_70_T_74","Male_Employed_75_or_more","Female_Employed_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","Employed_16_T_19","Employed_20_T_21","Employed_22_T_24","Employed_25_T_29","Employed_30_T_34","Employed_35_T_44","Employed_45_T_54","Employed_55_T_59","Employed_60_T_61","Employed_62_T_64","Employed_65_T_69","Employed_70_T_74","Employed_75_or_more","Year"
"Rhea County, Tennessee","231","198","234","121","283","429","670","593","590","453","1488","1186","1600","1344","768","439","223","282","216","333","150","175","80","76","59","17","47","143","47143","429","355","712","1263","1043","2674","2944","1207","505","549","325","156","76","2010"
"Roane County, Tennessee","466","407","205","344","651","474","1018","875","1163","985","2902","2255","2943","2655","1339","1283","425","310","489","472","556","240","151","84","42","82","47","145","47145","873","549","1125","1893","2148","5157","5598","2622","735","961","796","235","124","2010"
"Robertson County, Tennessee","563","544","400","460","918","771","1692","1450","1882","1373","4098","3371","3982","3412","1487","1290","345","401","428","287","406","268","134","160","147","104","47","147","47147","1107","860","1689","3142","3255","7469","7394","2777","746","715","674","294","251","2010"
"Rutherford County, Tennessee","2674","2612","3174","2710","4421","3904","9214","8020","8113","6936","16706","14016","14117","12002","4642","3682","1411","1310","1345","1363","1022","776","396","291","258","110","47","149","47149","5286","5884","8325","17234","15049","30722","26119","8324","2721","2708","1798","687","368","2010"
"Scott County, Tennessee","145","104","164","163","184","218","440","378","601","492","1074","942","1052","789","361","315","238","140","78","182","28","52","32","78","38","15","47","151","47151","249","327","402","818","1093","2016","1841","676","378","260","80","110","53","2010"
"Sequatchie County, Tennessee","53","98","94","85","278","53","356","273","304","206","552","418","615","557","322","208","163","143","54","144","197","26","14","39","13","0","47","153","47153","151","179","331","629","510","970","1172","530","306","198","223","53","13","2010"
"Sevier County, Tennessee","1151","993","765","469","1342","1247","2096","1777","2136","1778","5392","5136","5230","5043","2278","2355","614","681","530","545","657","512","340","199","237","181","47","155","47155","2144","1234","2589","3873","3914","10528","10273","4633","1295","1075","1169","539","418","2010"
"Shelby County, Tennessee","7204","7459","7844","6494","11422","13126","24477","24569","23578","22181","49058","47723","46767","49875","18823","19390","6018","5263","5643","5723","4532","3916","2369","2019","1727","1187","47","157","47157","14663","14338","24548","49046","45759","96781","96642","38213","11281","11366","8448","4388","2914","2010"
"Smith County, Tennessee","175","167","91","120","226","270","472","377","436","378","941","1027","1035","1012","360","383","190","92","75","92","104","35","118","58","19","24","47","159","47159","342","211","496","849","814","1968","2047","743","282","167","139","176","43","2010"
"Stewart County, Tennessee","143","88","144","104","107","68","144","137","236","182","591","479","720","649","285","167","109","26","45","66","43","93","44","26","14","2","47","161","47161","231","248","175","281","418","1070","1369","452","135","111","136","70","16","2010"
"Sullivan County, Tennessee","1417","1392","931","847","1665","1418","3393","2767","3448","3076","8858","7685","8612","8116","3642","3282","1105","860","1119","1063","1092","729","315","354","404","199","47","163","47163","2809","1778","3083","6160","6524","16543","16728","6924","1965","2182","1821","669","603","2010"
