"Name","Male_Employed_16_T_19","Female_Employed_16_T_19","Male_Employed_20_T_21","Female_Employed_20_T_21","Male_Employed_22_T_24","Female_Employed_22_T_24","Male_Employed_25_T_29","Female_Employed_25_T_29","Male_Employed_30_T_34","Female_Employed_30_T_34","Male_Employed_35_T_44","Female_Employed_35_T_44","Male_Employed_45_T_54","Female_Employed_45_T_54","Male_Employed_55_T_59","Female_Employed_55_T_59","Male_Employed_60_T_61","Female_Employed_60_T_61","Male_Employed_62_T_64","Female_Employed_62_T_64","Male_Employed_65_T_69","Female_Employed_65_T_69","Male_Employed_70_T_74","Female_Employed_70_T_74","Male_Employed_75_or_more","Female_Employed_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","Employed_16_T_19","Employed_20_T_21","Employed_22_T_24","Employed_25_T_29","Employed_30_T_34","Employed_35_T_44","Employed_45_T_54","Employed_55_T_59","Employed_60_T_61","Employed_62_T_64","Employed_65_T_69","Employed_70_T_74","Employed_75_or_more","Year"
"White County, Tennessee","198","106","186","72","277","335","661","634","631","512","1116","1045","1416","1230","396","414","202","180","148","482","133","253","101","77","69","40","47","185","47185","304","258","612","1295","1143","2161","2646","810","382","630","386","178","109","2020"
"Anderson County, Tennessee","496","402","405","605","1066","917","2123","1563","1876","1773","3411","2934","3731","3245","1699","1421","1018","539","614","546","429","640","356","296","275","40","47","001","47001","898","1010","1983","3686","3649","6345","6976","3120","1557","1160","1069","652","315","2020"
"Benton County, Tennessee","91","39","146","153","104","172","325","292","230","180","664","504","699","551","358","199","131","104","72","153","200","76","36","90","44","32","47","005","47005","130","299","276","617","410","1168","1250","557","235","225","276","126","76","2020"
"Bledsoe County, Tennessee","92","48","173","83","127","41","937","206","363","109","809","319","831","542","384","157","56","70","140","96","149","121","12","36","41","21","47","007","47007","140","256","168","1143","472","1128","1373","541","126","236","270","48","62","2020"
"Bradley County, Tennessee","1100","1294","1067","1205","1506","1267","2636","2643","2444","2318","5597","4652","5987","4701","2439","2534","923","730","857","869","644","1103","651","252","247","300","47","011","47011","2394","2272","2773","5279","4762","10249","10688","4973","1653","1726","1747","903","547","2020"
"Campbell County, Tennessee","224","393","104","231","669","421","1031","663","803","693","1735","1493","1938","1622","847","752","176","186","197","403","185","330","250","184","75","82","47","013","47013","617","335","1090","1694","1496","3228","3560","1599","362","600","515","434","157","2020"
"Carroll County, Tennessee","189","251","257","214","333","283","677","568","572","536","1125","1057","1499","1163","860","497","216","206","115","220","184","171","136","82","95","38","47","017","47017","440","471","616","1245","1108","2182","2662","1357","422","335","355","218","133","2020"
"Carter County, Tennessee","391","375","336","379","661","598","1307","1055","1262","1357","2057","1890","3118","2377","1220","1131","320","359","507","765","597","417","187","219","167","114","47","019","47019","766","715","1259","2362","2619","3947","5495","2351","679","1272","1014","406","281","2020"
"Chester County, Tennessee","105","76","79","146","120","194","360","258","437","370","729","737","630","742","280","347","198","81","140","208","91","123","11","10","24","26","47","023","47023","181","225","314","618","807","1466","1372","627","279","348","214","21","50","2020"
"Claiborne County, Tennessee","263","323","299","249","358","262","739","688","742","536","1278","1119","1497","1444","781","476","157","233","221","197","248","219","124","134","27","48","47","025","47025","586","548","620","1427","1278","2397","2941","1257","390","418","467","258","75","2020"
"Cocke County, Tennessee","228","372","205","161","350","326","763","713","710","657","1514","1324","1636","1501","731","790","191","209","312","324","212","241","106","315","97","43","47","029","47029","600","366","676","1476","1367","2838","3137","1521","400","636","453","421","140","2020"
"Coffee County, Tennessee","476","571","422","587","802","655","1501","1345","1385","1201","2854","2365","2808","2706","1366","1438","606","249","527","480","526","324","98","104","185","98","47","031","47031","1047","1009","1457","2846","2586","5219","5514","2804","855","1007","850","202","283","2020"
"Cumberland County, Tennessee","439","286","362","458","689","402","1240","965","1126","985","2184","1912","2741","1904","1574","1152","398","494","460","460","363","362","292","183","298","121","47","035","47035","725","820","1091","2205","2111","4096","4645","2726","892","920","725","475","419","2020"
"Davidson County, Tennessee","6202","6225","4750","5653","12542","13275","30503","31769","29413","27275","41362","36862","33686","31022","14625","16430","5180","5170","6025","5523","6062","5797","2670","2144","1838","1441","47","037","47037","12427","10403","25817","62272","56688","78224","64708","31055","10350","11548","11859","4814","3279","2020"
"DeKalb County, Tennessee","69","123","118","34","196","166","528","339","537","222","1010","762","1040","923","407","279","230","130","101","161","166","255","111","32","59","17","47","041","47041","192","152","362","867","759","1772","1963","686","360","262","421","143","76","2020"
"Dickson County, Tennessee","362","470","469","329","666","465","1477","1462","1351","1119","2838","2463","2991","2557","1039","1202","469","336","643","547","514","445","130","60","103","85","47","043","47043","832","798","1131","2939","2470","5301","5548","2241","805","1190","959","190","188","2020"
"Dyer County, Tennessee","259","534","411","388","319","568","858","766","851","735","1781","1560","1986","1663","983","790","372","199","201","168","267","365","96","71","55","130","47","045","47045","793","799","887","1624","1586","3341","3649","1773","571","369","632","167","185","2020"
"Fayette County, Tennessee","200","202","230","214","457","364","806","721","831","746","1847","1639","2261","1734","1276","1289","390","343","676","257","482","338","247","104","195","36","47","047","47047","402","444","821","1527","1577","3486","3995","2565","733","933","820","351","231","2020"
"Fentress County, Tennessee","190","175","320","163","115","52","433","360","350","300","760","721","903","744","448","264","79","121","60","151","140","173","25","35","18","2","47","049","47049","365","483","167","793","650","1481","1647","712","200","211","313","60","20","2020"
"Franklin County, Tennessee","367","587","591","415","574","430","932","904","900","765","1857","1658","2013","1649","1071","867","444","293","360","348","319","307","379","91","123","71","47","051","47051","954","1006","1004","1836","1665","3515","3662","1938","737","708","626","470","194","2020"
"Gibson County, Tennessee","367","540","204","205","671","613","956","1139","914","1027","2453","2174","2157","2184","1067","907","422","439","564","196","208","403","204","115","74","33","47","053","47053","907","409","1284","2095","1941","4627","4341","1974","861","760","611","319","107","2020"
"Giles County, Tennessee","218","373","254","142","404","415","674","484","573","556","1457","984","1489","1439","623","623","333","182","351","231","211","267","157","145","39","70","47","055","47055","591","396","819","1158","1129","2441","2928","1246","515","582","478","302","109","2020"
"Grainger County, Tennessee","139","415","276","169","262","203","590","484","437","283","990","751","1172","1142","445","426","215","277","267","245","341","206","30","90","24","17","47","057","47057","554","445","465","1074","720","1741","2314","871","492","512","547","120","41","2020"
"Greene County, Tennessee","539","587","680","512","886","714","1443","1504","1518","1013","2992","2969","3174","3029","1290","1058","445","708","643","572","531","533","188","320","248","122","47","059","47059","1126","1192","1600","2947","2531","5961","6203","2348","1153","1215","1064","508","370","2020"
"Grundy County, Tennessee","41","110","90","129","136","60","307","282","205","196","521","605","688","541","248","242","91","65","150","107","109","213","113","27","73","36","47","061","47061","151","219","196","589","401","1126","1229","490","156","257","322","140","109","2020"
"Hamblen County, Tennessee","535","709","524","553","988","718","1644","1450","1330","1133","2728","2695","3076","2601","1219","1021","425","456","390","692","508","539","171","443","122","259","47","063","47063","1244","1077","1706","3094","2463","5423","5677","2240","881","1082","1047","614","381","2020"
"Hamilton County, Tennessee","2538","3636","3216","3473","4949","4812","11506","10472","10626","9608","19128","17415","18712","17695","8744","7434","2761","3065","4121","3142","3225","2519","1566","990","1074","1004","47","065","47065","6174","6689","9761","21978","20234","36543","36407","16178","5826","7263","5744","2556","2078","2020"
"Hancock County, Tennessee","24","43","21","25","91","70","76","65","81","117","260","238","223","276","94","198","53","5","35","24","51","0","19","0","0","0","47","067","47067","67","46","161","141","198","498","499","292","58","59","51","19","0","2020"
"Hardeman County, Tennessee","190","95","396","194","98","295","403","259","446","448","684","941","780","865","393","455","173","167","128","339","215","63","51","166","71","14","47","069","47069","285","590","393","662","894","1625","1645","848","340","467","278","217","85","2020"
"Hardin County, Tennessee","143","64","118","335","398","195","617","396","432","385","1143","1004","1067","1100","719","501","226","201","48","159","307","140","51","80","111","50","47","071","47071","207","453","593","1013","817","2147","2167","1220","427","207","447","131","161","2020"
"Hawkins County, Tennessee","443","400","495","269","589","665","1219","1182","1231","947","2210","2085","2876","2636","970","1058","418","383","416","353","366","395","137","148","53","57","47","073","47073","843","764","1254","2401","2178","4295","5512","2028","801","769","761","285","110","2020"
"Haywood County, Tennessee","224","117","105","106","216","280","429","359","373","409","763","790","772","757","339","326","222","153","201","301","211","98","30","16","31","5","47","075","47075","341","211","496","788","782","1553","1529","665","375","502","309","46","36","2020"
"Henderson County, Tennessee","129","291","255","158","198","270","576","601","450","511","1296","1156","1353","1232","540","711","91","141","366","158","178","135","155","74","142","71","47","077","47077","420","413","468","1177","961","2452","2585","1251","232","524","313","229","213","2020"
"Henry County, Tennessee","172","247","234","133","223","282","648","523","574","490","1336","1203","1372","1625","755","772","306","205","200","300","406","238","101","20","85","43","47","079","47079","419","367","505","1171","1064","2539","2997","1527","511","500","644","121","128","2020"
"Hickman County, Tennessee","82","226","210","143","343","293","597","563","345","380","1198","1017","1400","1065","671","412","150","231","234","234","213","137","77","171","34","19","47","081","47081","308","353","636","1160","725","2215","2465","1083","381","468","350","248","53","2020"
"Houston County, Tennessee","133","110","34","49","31","69","231","227","149","141","256","253","406","382","186","129","102","45","25","51","0","53","31","33","19","13","47","083","47083","243","83","100","458","290","509","788","315","147","76","53","64","32","2020"
"Humphreys County, Tennessee","118","254","71","67","244","221","469","154","333","429","869","790","1025","764","334","389","160","65","197","87","103","232","71","33","50","17","47","085","47085","372","138","465","623","762","1659","1789","723","225","284","335","104","67","2020"
"Jefferson County, Tennessee","617","708","274","554","794","671","1314","1030","1168","852","2450","2215","2770","2595","1685","1123","334","321","457","239","372","503","438","156","142","107","47","089","47089","1325","828","1465","2344","2020","4665","5365","2808","655","696","875","594","249","2020"
"Johnson County, Tennessee","77","64","132","55","160","77","266","160","433","185","576","675","811","669","198","370","102","134","50","100","159","64","141","36","21","10","47","091","47091","141","187","237","426","618","1251","1480","568","236","150","223","177","31","2020"
"Lake County, Tennessee","42","21","40","16","29","18","110","103","15","93","116","165","149","225","109","164","30","27","22","12","60","63","27","15","32","8","47","095","47095","63","56","47","213","108","281","374","273","57","34","123","42","40","2020"
"Lauderdale County, Tennessee","168","127","303","121","280","354","660","521","396","310","922","1067","919","839","542","482","156","165","178","152","190","206","51","30","54","49","47","097","47097","295","424","634","1181","706","1989","1758","1024","321","330","396","81","103","2020"
"Lewis County, Tennessee","170","57","35","91","166","112","327","269","223","273","483","425","399","432","221","294","149","109","67","163","187","57","7","35","39","14","47","101","47101","227","126","278","596","496","908","831","515","258","230","244","42","53","2020"
"Lincoln County, Tennessee","303","267","298","160","476","321","736","810","770","705","1836","1478","1758","1541","873","795","315","245","351","276","558","198","96","214","103","53","47","103","47103","570","458","797","1546","1475","3314","3299","1668","560","627","756","310","156","2020"
"McMinn County, Tennessee","386","470","246","363","570","588","1207","985","1321","997","2445","1977","2742","2012","1104","1313","660","319","408","454","441","613","168","223","87","64","47","107","47107","856","609","1158","2192","2318","4422","4754","2417","979","862","1054","391","151","2020"
"McNairy County, Tennessee","139","145","131","175","298","146","646","459","456","236","1002","1178","1273","894","513","541","139","180","275","141","75","239","94","53","85","27","47","109","47109","284","306","444","1105","692","2180","2167","1054","319","416","314","147","112","2020"
"Madison County, Tennessee","871","925","627","946","1205","1303","2292","2158","2058","2110","4142","3936","4403","4754","2032","2208","852","835","876","896","956","933","537","360","295","176","47","113","47113","1796","1573","2508","4450","4168","8078","9157","4240","1687","1772","1889","897","471","2020"
"Marion County, Tennessee","218","249","111","202","544","281","675","538","658","498","1457","1086","1465","1237","736","601","249","189","186","245","286","109","179","112","151","55","47","115","47115","467","313","825","1213","1156","2543","2702","1337","438","431","395","291","206","2020"
"Maury County, Tennessee","859","880","789","600","1274","1318","2865","2071","2818","2813","5277","4439","4650","4524","2211","2358","1153","612","927","809","896","829","364","189","212","114","47","119","47119","1739","1389","2592","4936","5631","9716","9174","4569","1765","1736","1725","553","326","2020"
"Anderson County, Tennessee","565","616","385","466","1091","604","1619","1116","1587","1098","3908","3309","4257","3817","1908","1622","532","391","663","527","503","411","153","213","117","86","47","001","47001","1181","851","1695","2735","2685","7217","8074","3530","923","1190","914","366","203","2010"
"Bedford County, Tennessee","332","498","422","280","569","327","1291","586","1276","811","2389","2035","2200","2077","1073","777","218","323","244","195","239","179","144","81","29","59","47","003","47003","830","702","896","1877","2087","4424","4277","1850","541","439","418","225","88","2010"
"Benton County, Tennessee","115","123","145","68","187","87","273","216","273","302","977","648","680","843","395","404","115","81","59","120","95","97","26","39","6","33","47","005","47005","238","213","274","489","575","1625","1523","799","196","179","192","65","39","2010"
"Bledsoe County, Tennessee","134","17","89","84","44","56","198","251","159","207","503","424","625","522","130","152","53","47","12","83","46","70","11","8","0","27","47","007","47007","151","173","100","449","366","927","1147","282","100","95","116","19","27","2010"
"Blount County, Tennessee","1151","1390","756","830","1602","1426","2738","2615","3125","2676","6726","6361","7208","6591","3142","2347","895","872","775","840","750","521","252","274","236","210","47","009","47009","2541","1586","3028","5353","5801","13087","13799","5489","1767","1615","1271","526","446","2010"
"Bradley County, Tennessee","782","856","1068","746","1430","1305","2591","2201","2637","1811","5320","4841","5224","4811","1767","1480","646","523","697","568","591","430","404","205","182","108","47","011","47011","1638","1814","2735","4792","4448","10161","10035","3247","1169","1265","1021","609","290","2010"
"Campbell County, Tennessee","299","242","287","201","379","277","750","544","982","727","1708","1647","1690","1611","736","477","303","164","128","379","160","170","116","81","51","47","47","013","47013","541","488","656","1294","1709","3355","3301","1213","467","507","330","197","98","2010"
"Cannon County, Tennessee","121","93","59","81","270","102","330","139","347","225","693","651","750","669","252","303","91","27","96","71","89","87","16","26","20","17","47","015","47015","214","140","372","469","572","1344","1419","555","118","167","176","42","37","2010"
"Carroll County, Tennessee","377","214","142","278","387","387","586","427","551","590","1445","1226","1428","1306","582","644","212","219","213","218","96","161","64","54","38","22","47","017","47017","591","420","774","1013","1141","2671","2734","1226","431","431","257","118","60","2010"
"Carter County, Tennessee","699","555","508","651","745","683","1066","1095","1177","990","3017","2624","2894","2394","1202","1001","404","360","396","304","275","445","205","86","56","17","47","019","47019","1254","1159","1428","2161","2167","5641","5288","2203","764","700","720","291","73","2010"
"Cheatham County, Tennessee","355","321","222","254","491","364","785","620","1086","806","2834","2465","2734","2331","974","823","296","236","300","215","192","146","71","88","20","37","47","021","47021","676","476","855","1405","1892","5299","5065","1797","532","515","338","159","57","2010"
"Chester County, Tennessee","154","298","129","164","206","58","371","375","399","329","937","705","822","846","349","214","132","59","81","174","104","172","44","7","20","0","47","023","47023","452","293","264","746","728","1642","1668","563","191","255","276","51","20","2010"
"Claiborne County, Tennessee","233","295","226","113","443","415","776","424","765","556","1474","1333","1402","1410","608","509","162","219","187","170","187","94","59","54","27","31","47","025","47025","528","339","858","1200","1321","2807","2812","1117","381","357","281","113","58","2010"
"Clay County, Tennessee","21","90","27","24","96","95","139","114","123","130","416","313","541","259","160","102","74","31","71","80","88","44","64","9","17","7","47","027","47027","111","51","191","253","253","729","800","262","105","151","132","73","24","2010"
"Cocke County, Tennessee","323","325","222","357","347","296","701","603","839","633","1612","1531","1411","1483","790","716","367","150","178","192","228","175","140","98","32","22","47","029","47029","648","579","643","1304","1472","3143","2894","1506","517","370","403","238","54","2010"
"Coffee County, Tennessee","528","607","440","314","550","394","1154","1020","1305","994","2933","2195","3135","2525","1048","980","318","248","310","327","304","173","168","74","122","88","47","031","47031","1135","754","944","2174","2299","5128","5660","2028","566","637","477","242","210","2010"
"Crockett County, Tennessee","195","194","119","143","142","207","284","369","386","287","723","555","752","703","245","195","120","87","112","248","102","81","19","70","43","21","47","033","47033","389","262","349","653","673","1278","1455","440","207","360","183","89","64","2010"
"Cumberland County, Tennessee","281","529","479","335","393","457","898","862","891","898","2458","2278","2741","2476","847","1175","471","431","365","302","365","401","258","158","95","59","47","035","47035","810","814","850","1760","1789","4736","5217","2022","902","667","766","416","154","2010"
"Davidson County, Tennessee","4267","4773","5696","5243","10935","12637","24250","22189","21432","17880","37042","31246","31885","31550","12487","13036","3879","3336","3874","3621","3188","2936","1694","1482","1163","1118","47","037","47037","9040","10939","23572","46439","39312","68288","63435","25523","7215","7495","6124","3176","2281","2010"
"Decatur County, Tennessee","61","152","98","6","212","130","156","172","294","180","568","515","547","459","370","213","36","80","125","23","52","82","4","26","39","36","47","039","47039","213","104","342","328","474","1083","1006","583","116","148","134","30","75","2010"
"DeKalb County, Tennessee","67","145","76","47","163","76","299","352","544","361","1042","826","958","1021","440","283","181","121","142","94","98","172","10","40","53","19","47","041","47041","212","123","239","651","905","1868","1979","723","302","236","270","50","72","2010"
"Dickson County, Tennessee","534","364","369","277","672","521","1230","1034","1395","1111","2955","2502","2961","2539","969","1062","283","208","524","362","206","163","210","117","98","58","47","043","47043","898","646","1193","2264","2506","5457","5500","2031","491","886","369","327","156","2010"
"Dyer County, Tennessee","236","424","145","137","266","425","796","916","805","652","2067","2015","2262","1727","819","614","273","190","223","232","218","294","176","164","53","39","47","045","47045","660","282","691","1712","1457","4082","3989","1433","463","455","512","340","92","2010"
"Fayette County, Tennessee","356","210","255","257","214","262","753","881","899","676","2146","1724","2067","2063","918","1077","360","181","413","313","250","172","110","50","48","9","47","047","47047","566","512","476","1634","1575","3870","4130","1995","541","726","422","160","57","2010"
"Fentress County, Tennessee","89","136","142","67","126","88","335","307","362","224","807","816","899","714","351","393","138","129","117","96","131","60","51","15","41","28","47","049","47049","225","209","214","642","586","1623","1613","744","267","213","191","66","69","2010"
"Franklin County, Tennessee","316","311","460","442","309","360","815","597","897","803","2227","1615","2243","2011","898","805","405","258","303","299","248","233","180","120","80","60","47","051","47051","627","902","669","1412","1700","3842","4254","1703","663","602","481","300","140","2010"
"Gibson County, Tennessee","448","333","425","305","563","516","1014","831","1084","1091","2287","2420","2605","2547","874","899","300","428","202","382","296","224","127","83","58","121","47","053","47053","781","730","1079","1845","2175","4707","5152","1773","728","584","520","210","179","2010"
"Giles County, Tennessee","262","231","146","254","258","283","608","567","635","575","1397","1155","1662","1386","677","487","221","257","175","170","272","196","130","31","30","39","47","055","47055","493","400","541","1175","1210","2552","3048","1164","478","345","468","161","69","2010"
"Grainger County, Tennessee","310","284","254","154","102","217","546","303","592","450","1164","1023","1197","1140","421","340","253","136","49","77","145","49","77","30","19","42","47","057","47057","594","408","319","849","1042","2187","2337","761","389","126","194","107","61","2010"
"Greene County, Tennessee","590","731","543","419","770","557","1693","1227","1398","1239","3772","3275","3367","3392","1376","1332","454","432","340","354","545","365","196","35","159","79","47","059","47059","1321","962","1327","2920","2637","7047","6759","2708","886","694","910","231","238","2010"
"Grundy County, Tennessee","95","93","63","112","72","74","310","201","261","269","544","422","613","574","309","280","92","39","24","105","96","72","98","51","22","28","47","061","47061","188","175","146","511","530","966","1187","589","131","129","168","149","50","2010"
"Hamblen County, Tennessee","627","536","473","467","774","576","1385","1200","1551","1064","3515","2984","3156","2996","1242","1168","528","331","485","474","468","304","180","178","81","28","47","063","47063","1163","940","1350","2585","2615","6499","6152","2410","859","959","772","358","109","2010"
"Hamilton County, Tennessee","3359","3854","3234","2537","4607","5373","8629","8241","8591","7210","18088","15975","18739","17979","7683","7044","2525","2779","2573","2309","2218","1959","1183","918","759","592","47","065","47065","7213","5771","9980","16870","15801","34063","36718","14727","5304","4882","4177","2101","1351","2010"
"Hancock County, Tennessee","62","23","64","75","19","56","73","127","134","109","247","232","294","219","96","78","75","35","34","12","37","48","4","0","0","7","47","067","47067","85","139","75","200","243","479","513","174","110","46","85","4","7","2010"
"Hardeman County, Tennessee","152","151","134","162","243","172","471","514","523","437","1027","917","1235","1203","579","422","176","230","130","187","154","67","16","29","56","35","47","069","47069","303","296","415","985","960","1944","2438","1001","406","317","221","45","91","2010"
"Hardin County, Tennessee","195","260","192","69","247","209","470","443","543","475","1347","964","1285","1091","486","474","105","159","286","124","158","195","55","62","60","41","47","071","47071","455","261","456","913","1018","2311","2376","960","264","410","353","117","101","2010"
"Hawkins County, Tennessee","354","544","272","323","647","455","1190","943","1298","857","3282","2857","3030","2502","1154","1133","376","336","392","274","214","225","145","111","88","38","47","073","47073","898","595","1102","2133","2155","6139","5532","2287","712","666","439","256","126","2010"
"Haywood County, Tennessee","107","177","106","124","287","193","247","394","272","523","913","753","869","1084","453","353","137","148","109","66","157","92","58","23","29","37","47","075","47075","284","230","480","641","795","1666","1953","806","285","175","249","81","66","2010"
"Henderson County, Tennessee","242","262","159","129","278","331","663","410","672","435","1535","1169","1424","1420","654","498","216","233","193","223","115","98","49","61","40","29","47","077","47077","504","288","609","1073","1107","2704","2844","1152","449","416","213","110","69","2010"
"Henry County, Tennessee","203","158","269","75","243","495","553","570","625","614","1572","1456","1614","1449","671","653","338","230","183","241","160","237","62","99","102","92","47","079","47079","361","344","738","1123","1239","3028","3063","1324","568","424","397","161","194","2010"
"Hickman County, Tennessee","146","145","113","181","360","267","559","524","512","416","1461","1055","1381","1191","643","535","165","67","81","124","206","155","75","79","56","71","47","081","47081","291","294","627","1083","928","2516","2572","1178","232","205","361","154","127","2010"
"Houston County, Tennessee","20","13","10","45","92","105","179","104","185","118","418","280","426","307","206","153","98","55","57","16","31","18","33","35","16","0","47","083","47083","33","55","197","283","303","698","733","359","153","73","49","68","16","2010"
"Humphreys County, Tennessee","149","149","106","77","182","229","238","259","425","470","1099","890","1071","752","318","328","101","170","174","134","159","114","59","42","70","30","47","085","47085","298","183","411","497","895","1989","1823","646","271","308","273","101","100","2010"
"Jackson County, Tennessee","144","65","112","50","132","87","198","185","200","202","513","515","553","554","340","185","18","32","40","16","70","65","19","22","0","10","47","087","47087","209","162","219","383","402","1028","1107","525","50","56","135","41","10","2010"
"Jefferson County, Tennessee","633","861","447","333","696","335","1063","1001","1177","990","2750","2489","2622","2300","1131","1009","425","292","339","291","415","286","134","72","166","89","47","089","47089","1494","780","1031","2064","2167","5239","4922","2140","717","630","701","206","255","2010"
"Johnson County, Tennessee","129","131","26","39","282","84","348","331","372","178","913","860","839","713","285","276","73","158","112","143","57","124","6","28","61","28","47","091","47091","260","65","366","679","550","1773","1552","561","231","255","181","34","89","2010"
"Knox County, Tennessee","3944","4000","4436","4418","8407","6943","12278","10906","11783","10277","25227","20769","25131","22527","9206","8959","3362","2870","3538","2937","2298","2206","911","691","879","653","47","093","47093","7944","8854","15350","23184","22060","45996","47658","18165","6232","6475","4504","1602","1532","2010"
