"Name","Male_LT_5","Female_LT_5","Male_5_T_9","Female_5_T_9","Male_10_T_14","Female_10_T_14","Male_15_T_17","Female_15_T_17","Male_18_T_19","Female_18_T_19","Male_20","Female_20","Male_21","Female_21","Male_22_T_24","Female_22_T_24","Male_25_T_29","Female_25_T_29","Male_30_T_34","Female_30_T_34","Male_35_T_39","Female_35_T_39","Male_40_T_44","Female_40_T_44","Male_45_T_49","Female_45_T_49","Male_50_T_54","Female_50_T_54","Male_55_T_59","Female_55_T_59","Male_60_T_61","Female_60_T_61","Male_62_T_64","Female_62_T_64","Male_65_T_66","Female_65_T_66","Male_67_T_69","Female_67_T_69","Male_70_T_74","Female_70_T_74","Male_75_T_79","Female_75_T_79","Male_80_T_84","Female_80_T_84","Male_GE_85","Female_GE_85","STATEFP","COUNTYFP","STATE_FIPS","Year"
"Decatur County, Tennessee","321","316","354","351","386","342","231","226","85","144","115","77","22","26","225","171","281","310","340","295","275","351","440","390","381","395","453","428","532","440","78","221","210","195","190","141","212","185","196","335","201","207","124","263","56","199","47","039","47039","2010"
"DeKalb County, Tennessee","615","525","563","478","715","731","377","316","191","229","80","130","135","41","315","317","474","563","758","587","702","541","543","724","695","681","626","685","649","551","245","264","291","424","174","227","247","284","319","349","234","249","150","260","86","229","47","041","47041","2010"
"Dickson County, Tennessee","1670","1666","2173","1505","1401","1645","1198","1187","610","533","280","368","320","200","813","765","1418","1471","1541","1673","1489","1919","2019","1726","1877","1910","1749","1815","1368","1697","422","534","938","724","398","482","495","511","823","871","447","566","323","564","143","465","47","043","47043","2010"
"Dyer County, Tennessee","1345","1146","1304","1107","1448","1468","1078","837","453","404","239","320","189","97","514","751","1076","1205","990","1289","1088","1253","1517","1382","1455","1495","1289","1332","1177","1212","582","449","541","840","273","384","462","370","665","832","397","700","238","482","147","352","47","045","47045","2010"
"Fayette County, Tennessee","1261","1190","1331","1381","1229","1130","828","692","421","349","261","191","234","241","433","441","1072","1181","1112","1124","1119","1346","1373","1156","1488","1498","1443","1511","1208","1506","552","375","793","723","391","469","570","573","560","652","422","486","298","354","150","340","47","047","47047","2010"
"Fentress County, Tennessee","504","528","706","662","547","441","371","338","225","182","223","68","20","56","210","331","471","460","439","475","606","700","605","559","669","649","634","634","672","762","240","278","343","302","212","202","238","366","412","338","234","184","127","274","77","203","47","049","47049","2010"
"Franklin County, Tennessee","1143","1190","1266","1337","1431","1202","831","743","638","696","310","357","460","423","598","599","1116","1086","1070","1195","1435","959","1318","1589","1411","1483","1411","1545","1295","1414","573","468","707","878","380","507","535","563","868","946","616","865","405","520","250","422","47","051","47051","2010"
"Gibson County, Tennessee","1597","1577","1821","1693","1668","1692","1075","1068","573","552","288","338","225","163","807","840","1292","1499","1347","1518","1385","1478","1679","1794","1755","1875","1682","1676","1478","1634","593","737","711","804","350","576","602","670","882","1000","709","995","455","903","304","655","47","053","47053","2010"
"Giles County, Tennessee","709","927","972","678","1046","1008","786","585","492","407","204","331","104","195","466","371","790","819","743","864","767","806","1021","1090","1073","1212","1288","1083","934","963","389","564","536","493","481","384","391","599","533","472","334","520","196","331","228","373","47","055","47055","2010"
"Grainger County, Tennessee","732","577","832","636","577","697","451","469","283","247","268","149","145","86","166","324","673","588","692","721","681","714","936","903","870","868","795","877","817","721","421","389","297","421","298","224","404","378","347","508","243","269","192","205","73","255","47","057","47057","2010"
"Greene County, Tennessee","2041","1665","2170","2142","2028","1786","1441","1377","847","901","330","370","429","322","1052","1106","2164","1820","1849","1811","2172","2466","2524","2376","2564","2605","2407","2661","2395","2616","977","896","1134","1330","715","976","1075","1026","1372","1550","878","1156","452","975","435","788","47","059","47059","2010"
"Grundy County, Tennessee","439","396","489","418","471","478","328","282","149","145","119","93","79","73","184","201","419","399","378","406","397","355","525","516","506","472","498","485","567","605","198","111","139","266","149","169","150","266","379","285","168","217","110","159","78","194","47","061","47061","2010"
"Hamblen County, Tennessee","2021","1988","2093","2085","2142","1778","1269","1281","741","716","250","424","511","219","1139","1109","1977","1818","2005","1895","2377","2295","1839","1981","2298","2467","1987","2111","1753","2067","805","734","1031","1172","504","660","850","1115","1050","1174","686","905","595","815","272","853","47","063","47063","2010"
"Hamilton County, Tennessee","9994","9777","9876","9502","10366","9584","6678","6098","4679","5340","2621","1947","2312","2270","6315","7250","11135","11321","10139","10101","10745","10820","10676","11420","11822","12474","11792","12959","10827","11583","4243","5297","4769","4771","2638","3193","3865","4400","4706","6176","4076","5489","2137","4348","1852","4577","47","065","47065","2010"
"Hancock County, Tennessee","215","173","131","224","285","152","142","139","65","27","28","104","98","30","51","84","217","177","192","196","176","197","242","234","298","263","276","252","282","255","119","111","101","124","75","90","91","121","125","133","77","95","71","55","44","145","47","067","47067","2010"
"Hardeman County, Tennessee","766","746","752","831","925","816","608","549","359","240","154","113","259","134","792","485","1316","775","1287","714","961","410","1261","1107","1218","953","1035","933","890","821","430","428","408","431","295","228","360","397","359","482","237","342","253","328","122","345","47","069","47069","2010"
"Hardin County, Tennessee","687","754","817","807","815","765","574","555","334","325","133","124","176","185","382","327","648","692","671","691","652","844","1059","934","931","933","947","943","827","1131","336","400","570","400","367","279","490","481","433","612","326","547","226","243","207","415","47","071","47071","2010"
"Hawkins County, Tennessee","1697","1574","1976","1750","1697","1817","1118","1143","659","615","275","275","199","334","898","794","1514","1576","1584","1664","2003","1844","2067","2244","2124","2114","2048","2142","1829","2308","871","605","1101","1118","604","799","764","814","1241","1147","682","908","501","726","215","584","47","073","47073","2010"
"Haywood County, Tennessee","669","614","783","795","691","557","452","433","221","200","28","185","142","78","451","325","484","635","462","606","518","553","585","706","697","769","684","817","606","629","261","294","227","279","172","245","184","279","257","275","158","289","142","273","103","197","47","075","47075","2010"
"Henderson County, Tennessee","920","874","1022","978","866","877","554","524","294","292","140","123","137","73","385","578","882","847","834","891","928","934","1072","996","973","1092","919","1002","931","955","309","330","431","579","272","322","322","314","428","583","476","485","125","257","58","334","47","077","47077","2010"
"Henry County, Tennessee","1000","914","1053","1129","887","923","588","560","318","377","237","41","143","107","405","659","790","797","879","852","970","1044","1026","1011","1149","1213","1090","1208","1214","1202","486","488","521","682","294","539","549","405","825","816","430","716","411","395","160","539","47","079","47079","2010"
"Hickman County, Tennessee","707","599","702","798","1079","719","583","493","323","313","114","186","91","65","517","334","871","714","873","620","1022","779","1043","878","1139","839","1015","838","903","959","358","188","237","362","181","275","306","303","437","402","310","416","138","212","90","175","47","081","47081","2010"
"Houston County, Tennessee","259","229","239","327","347","238","244","143","107","92","22","12","44","46","140","146","264","199","220","212","258","211","234","317","322","289","286","276","264","298","115","134","181","135","82","60","121","154","184","205","136","147","54","111","59","123","47","083","47083","2010"
"Humphreys County, Tennessee","548","507","653","765","512","525","424","438","228","217","139","51","86","80","245","269","453","479","487","619","713","518","500","695","648","630","680","690","674","667","213","312","386","303","226","234","381","300","276","358","285","353","160","240","67","182","47","085","47085","2010"
"Jackson County, Tennessee","271","340","373","477","286","190","232","222","166","113","87","40","65","96","174","106","267","306","298","312","339","245","447","526","444","433","458","529","505","434","180","201","177","226","128","166","123","193","311","230","165","216","96","86","56","156","47","087","47087","2010"
"Jefferson County, Tennessee","1544","1406","1562","1575","1710","1546","1083","990","911","1174","303","438","344","254","974","562","1320","1470","1451","1331","1705","1885","1678","1699","1862","1907","1724","1776","1748","1660","731","734","714","1087","599","658","842","882","939","926","734","700","232","470","211","549","47","089","47089","2010"
"Johnson County, Tennessee","450","412","608","480","336","406","317","279","242","193","56","0","64","197","421","146","607","447","808","448","885","618","636","538","867","584","698","645","628","627","262","363","370","388","150","219","317","343","461","318","244","302","159","258","102","291","47","091","47091","2010"
"Knox County, Tennessee","13114","12576","13791","13401","12783","11671","8098","7514","6934","6962","3993","4098","3625","4106","10778","10255","14347","15025","13768","13801","13980","14533","14837","14933","15455","15984","14460","15430","12373","13647","4951","5279","6100","6750","3210","3955","4467","5385","5490","6569","4523","6682","2710","5047","1992","4366","47","093","47093","2010"
"Lake County, Tennessee","164","152","211","161","222","160","138","69","113","42","99","22","116","73","219","97","499","153","523","175","553","200","402","193","425","157","303","220","238","215","88","111","187","81","47","70","105","75","108","169","134","138","41","60","16","83","47","095","47095","2010"
"Lauderdale County, Tennessee","931","962","927","801","1049","1025","594","571","385","296","187","283","210","103","713","416","1209","964","1148","754","942","791","1282","945","1090","968","927","913","790","845","251","310","399","393","248","220","264","341","369","502","224","344","149","280","143","287","47","097","47097","2010"
"Lawrence County, Tennessee","1499","1350","1425","1482","1615","1306","941","916","543","581","276","221","264","290","565","592","1168","1261","1134","1141","1333","1358","1448","1521","1434","1459","1318","1420","1277","1037","530","672","668","841","485","446","519","475","682","980","499","795","363","484","181","524","47","099","47099","2010"
"Lewis County, Tennessee","419","407","382","483","512","332","266","233","147","151","84","100","96","65","134","136","303","320","381","332","333","303","395","449","446","432","430","468","410","410","111","193","282","242","125","130","122","203","240","200","181","244","78","181","31","81","47","101","47101","2010"
"Lincoln County, Tennessee","1004","1097","1011","1098","1212","953","705","648","433","382","298","271","177","131","457","501","847","829","875","975","1210","1095","942","1105","1320","1276","1212","1215","998","1163","401","411","569","609","361","393","287","405","744","866","452","591","281","351","184","540","47","103","47103","2010"
"Loudon County, Tennessee","1300","1170","1150","1401","1594","1322","920","841","551","568","232","191","390","210","526","675","1027","1034","1178","1083","1502","1406","1557","1671","1660","1756","1644","1687","1540","1953","690","680","1241","1177","630","670","1046","867","1205","1462","872","1048","385","704","217","469","47","105","47105","2010"
"McMinn County, Tennessee","1543","1499","1796","1629","1697","1715","1134","1067","653","707","221","367","354","251","713","703","1424","1475","1444","1544","1753","1768","1747","1981","1945","1969","1872","1984","1574","1835","714","792","1000","858","538","719","721","834","944","966","762","740","309","725","334","755","47","107","47107","2010"
"McNairy County, Tennessee","787","768","935","742","879","811","571","601","351","296","167","93","171","114","268","422","686","710","702","719","844","848","813","904","917","937","892","916","781","831","332","388","637","594","314","372","409","404","453","495","435","516","163","356","145","271","47","109","47109","2010"
"Macon County, Tennessee","810","714","503","833","1089","705","461","536","392","248","99","73","190","65","372","481","644","660","632","647","818","683","713","896","751","762","724","747","672","754","283","340","421","292","180","117","318","443","269","360","218","267","160","297","83","212","47","111","47111","2010"
"Madison County, Tennessee","3303","3280","3153","3084","3555","3259","2282","2044","1619","1850","744","1005","914","659","1825","1982","2946","3486","2907","3000","2972","3228","3022","3497","3322","3802","3383","3789","3058","3223","893","1183","1369","1420","721","837","1006","1338","1288","1430","1012","1148","586","1295","484","1175","47","113","47113","2010"
"Marion County, Tennessee","843","738","815","882","1017","794","564","538","410","333","215","140","132","179","410","446","789","788","875","814","970","947","895","971","1004","1114","1095","1152","1017","1078","460","477","468","501","308","291","417","296","512","767","312","433","219","366","102","229","47","115","47115","2010"
"Marshall County, Tennessee","1002","974","961","914","1233","1091","694","657","339","369","201","159","45","247","533","425","844","823","1032","1003","788","1083","1226","1156","1195","1135","1088","1171","922","1018","339","374","544","534","265","238","333","307","444","545","218","414","185","343","203","288","47","117","47117","2010"
"Maury County, Tennessee","2954","2715","2451","2394","2846","2772","1623","1568","1074","938","572","706","347","388","1338","1225","2559","2877","2653","2624","2547","2402","2421","2935","2967","3220","3100","3321","2778","2839","861","923","1015","1145","567","610","808","1020","1121","1345","892","1195","361","692","316","1004","47","119","47119","2010"
"Meigs County, Tennessee","272","355","297","252","480","476","213","201","140","130","29","23","60","91","208","183","280","347","344","328","442","478","379","318","437","426","434","433","513","397","247","199","154","302","127","71","231","256","179","196","177","108","41","126","69","132","47","121","47121","2010"
"Monroe County, Tennessee","1382","1299","1492","1431","1548","1315","947","867","565","581","184","209","311","300","699","584","1250","1217","1234","1305","1597","1573","1415","1514","1561","1494","1504","1639","1674","1545","635","661","729","967","612","514","562","601","882","1076","420","798","301","426","262","333","47","123","47123","2010"
"Montgomery County, Tennessee","7268","7021","5501","6472","6928","5505","3715","3458","2429","2453","1267","1421","1815","1577","4563","4426","7458","7481","6094","6297","5951","6151","5399","5632","5288","5765","4505","5021","3986","3746","1106","1222","1314","2251","905","938","1059","1278","1514","2048","989","1198","824","919","403","1042","47","125","47125","2010"
"Moore County, Tennessee","121","179","172","213","266","222","218","49","77","163","112","46","42","40","28","23","125","71","149","210","146","204","335","185","228","227","220","252","135","140","110","122","187","183","98","70","104","76","115","149","82","107","49","121","51","44","47","127","47127","2010"
"Morgan County, Tennessee","581","621","664","634","799","609","443","391","239","210","84","101","165","67","543","319","952","535","877","518","990","701","944","709","943","714","885","766","804","751","232","290","361","310","180","208","278","327","424","371","255","282","129","202","66","190","47","129","47129","2010"
"Obion County, Tennessee","809","958","929","1212","1318","862","691","589","339","343","201","288","234","41","425","463","899","996","902","972","1214","1111","942","1047","1115","1129","1164","1256","1036","1072","411","665","616","477","399","440","415","504","510","643","381","439","324","435","138","551","47","131","47131","2010"
"Overton County, Tennessee","666","640","771","675","676","767","474","404","289","244","96","105","139","114","305","298","582","595","611","689","575","758","952","767","761","749","769","780","808","755","267","375","370","390","207","308","251","328","571","494","282","445","163","208","97","207","47","133","47133","2010"
"Perry County, Tennessee","214","224","253","189","307","242","142","156","115","70","61","38","47","51","114","98","193","179","203","239","311","192","199","286","262","261","320","311","277","338","109","50","191","184","140","97","109","116","147","184","159","140","72","115","3","70","47","135","47135","2010"
"Pickett County, Tennessee","205","204","117","118","218","123","81","45","96","52","19","27","53","10","42","73","265","97","149","149","159","67","203","241","159","110","164","140","226","271","86","53","86","70","46","34","40","62","97","91","98","169","45","104","29","79","47","137","47137","2010"
"Polk County, Tennessee","492","422","397","339","677","723","329","319","249","152","75","95","153","125","178","163","434","450","485","465","512","660","696","475","631","634","588","600","532","531","289","211","377","513","199","192","281","244","348","399","292","208","104","161","23","268","47","139","47139","2010"
"Putnam County, Tennessee","2172","2202","1873","1767","2305","2311","1321","1363","1642","1509","1374","1292","796","530","2113","1558","2361","2151","2120","2061","2253","2246","2050","2162","2175","2425","2147","2317","1765","2393","794","842","1176","1036","666","838","805","897","1133","1230","831","1192","480","827","357","712","47","141","47141","2010"
"Rhea County, Tennessee","1034","928","963","903","1209","1034","643","630","453","522","246","217","276","105","427","707","906","959","839","871","722","1023","1254","1033","1147","1160","1095","1070","1111","859","418","576","463","689","392","370","301","523","598","610","420","439","233","421","107","309","47","143","47143","2010"
"Roane County, Tennessee","1527","1237","1637","1683","1882","1420","1115","929","622","630","172","271","147","223","910","727","1280","1328","1422","1446","1631","1874","1846","1628","2129","2184","2190","2214","2185","2132","670","711","1215","1302","817","772","860","909","871","1137","796","1081","558","845","326","665","47","145","47145","2010"
"Robertson County, Tennessee","2430","2214","2441","2040","2337","2568","1487","1341","848","725","231","442","336","263","1282","1003","2047","2145","2097","2108","2449","2290","2227","2469","2562","2626","2249","2439","2048","2184","616","667","863","851","564","452","745","789","826","1059","557","855","380","433","232","530","47","147","47147","2010"
"Rutherford County, Tennessee","9469","9157","9076","8680","9638","9251","5559","5138","4241","4131","2956","2809","2170","2259","5873","5713","10738","10600","9430","9580","8953","9743","9907","9565","8885","9046","7517","7945","5997","5904","1986","2339","2888","3378","1563","1564","1615","2077","2330","2624","1607","2114","825","1552","700","1425","47","149","47149","2010"
"Scott County, Tennessee","778","775","698","745","874","780","517","483","286","273","119","84","108","131","392","378","757","720","715","717","825","948","709","630","783","795","768","786","567","630","408","288","356","452","213","171","247","232","325","512","231","259","103","243","119","241","47","151","47151","2010"
"Sequatchie County, Tennessee","486","425","472","307","489","600","295","270","90","273","85","120","61","29","278","88","399","425","397","406","482","590","475","359","506","532","499","529","423","410","243","233","219","276","239","328","225","146","160","189","232","262","30","99","45","88","47","153","47153","2010"
"Sevier County, Tennessee","2739","2434","2704","2575","2824","2595","2010","1619","1150","1011","514","223","404","496","1690","1755","2525","2449","2320","2520","2831","3282","3426","3247","3322","3478","3066","3449","3033","3502","1165","1248","1337","1544","1059","948","1316","1356","1508","1817","1021","1441","539","896","443","676","47","155","47155","2010"
"Shelby County, Tennessee","33963","32869","34202","32620","35876","34948","22318","22058","13399","13282","7339","6458","6568","5789","18380","20680","32673","35186","29817","32192","31331","33286","30180","33788","31435","35815","30550","35037","25943","30146","9267","9424","10707","12489","5672","7132","6345","8915","9520","12474","7161","10161","4712","8701","2973","8915","47","157","47157","2010"
"Smith County, Tennessee","548","616","728","560","622","745","447","401","248","214","138","105","57","88","295","317","564","618","498","608","714","670","659","712","795","748","682","728","592","704","376","225","204","263","167","233","216","229","327","274","213","246","105","242","77","217","47","159","47159","2010"
"Stewart County, Tennessee","342","390","500","337","426","543","307","320","163","129","103","38","71","134","139","131","290","299","383","346","353","307","545","585","533","469","486","556","484","439","170","175","257","273","127","178","161","242","311","216","166","221","70","159","111","148","47","161","47161","2010"
"Sullivan County, Tennessee","4031","4035","4513","4385","4897","4667","3142","2986","1842","1734","927","993","634","653","2357","2404","4017","4013","4269","4417","5528","5630","5215","5339","5667","6089","5779","6152","5460","5796","2086","2561","2866","2879","1676","1854","2253","2492","3157","3859","2306","3004","1412","2471","1005","2363","47","163","47163","2010"
"Sumner County, Tennessee","5233","5071","5515","5378","5908","5596","3580","3345","1929","1809","621","885","1274","809","2309","2416","4485","4715","4652","5020","5816","5634","5823","6445","6079","6415","5512","5699","4874","5338","1883","1860","2336","2450","1119","1348","1687","1922","2277","2756","1512","1880","966","1570","429","1412","47","165","47165","2010"
"Tipton County, Tennessee","2004","1887","2165","2268","2526","2273","1649","1575","851","804","358","412","362","406","1161","864","1691","1817","1753","1793","1836","2104","2579","2481","2344","2526","2070","2125","1870","1759","459","715","842","961","401","513","584","546","869","1012","494","488","316","467","138","571","47","167","47167","2010"
"Trousdale County, Tennessee","185","238","287","195","279","335","267","127","266","108","39","42","64","0","0","145","247","239","207","235","207","304","278","247","297","268","247","379","277","287","58","50","159","162","78","82","66","137","193","84","87","144","21","75","9","50","47","169","47169","2010"
"Unicoi County, Tennessee","516","394","393","470","719","616","306","289","204","201","115","46","84","52","254","313","476","443","486","563","575","561","634","704","720","659","713","678","691","617","259","318","332","389","287","180","203","313","429","498","307","525","181","238","96","210","47","171","47171","2010"
"Union County, Tennessee","644","609","757","623","531","569","479","376","275","239","152","194","112","168","253","176","588","530","560","575","648","590","654","780","779","777","676","739","616","552","213","131","422","575","136","301","263","259","384","305","156","135","144","228","30","185","47","173","47173","2010"
"Van Buren County, Tennessee","156","139","221","150","124","165","118","120","91","118","0","51","39","39","83","60","99","43","193","153","221","135","134","224","312","214","118","221","226","292","94","58","130","83","99","58","50","133","133","90","70","79","55","65","4","43","47","175","47175","2010"
"Warren County, Tennessee","1268","1363","1623","1443","1157","1194","862","727","443","470","223","273","285","169","646","678","1171","1256","1356","1229","1531","1142","1420","1464","1360","1411","1301","1542","1143","1125","558","601","607","686","373","488","428","479","675","834","485","734","293","389","220","414","47","177","47177","2010"
"Washington County, Tennessee","3280","3339","3435","3052","3636","3704","2195","1928","1780","2052","869","990","1124","1177","2706","2664","3859","4059","3785","3706","4033","4069","4196","3988","4359","4670","4229","4238","4117","4051","1419","1565","1874","1939","1290","1212","1754","1473","1501","2488","1370","1914","1008","1469","659","1543","47","179","47179","2010"
"Wayne County, Tennessee","449","375","392","453","560","422","432","355","229","163","157","35","172","110","289","242","770","397","796","397","749","444","755","614","693","581","664","531","548","523","310","226","292","312","206","193","228","264","270","319","254","291","65","179","107","203","47","181","47181","2010"
"Weakley County, Tennessee","1058","926","984","958","1065","880","573","547","892","1084","493","515","437","287","1069","1067","953","861","939","818","1044","863","1024","1180","1067","1215","1176","1224","1089","1168","343","309","571","715","294","279","311","397","702","753","466","434","171","494","253","609","47","183","47183","2010"
"White County, Tennessee","757","776","899","764","765","766","565","523","379","280","159","155","143","115","373","451","698","685","666","684","812","909","870","829","942","918","888","959","793","905","366","408","532","446","248","385","370","291","500","635","435","396","254","418","76","272","47","185","47185","2010"
"Williamson County, Tennessee","6207","5974","7597","7228","7743","7338","4495","4405","2069","1658","895","762","820","399","1709","2163","3604","4120","4624","5429","6732","7405","7199","7804","7477","8249","6887","7216","5345","5478","2292","1959","2431","2578","1349","1278","1377","1521","1632","2106","1287","1804","705","1095","563","1252","47","187","47187","2010"
"Wilson County, Tennessee","3646","3440","4459","3859","3755","3881","2435","2328","1394","1181","509","618","670","646","1553","1410","2836","3123","3313","3539","4242","4597","4198","4174","4560","4844","4094","4286","3453","3766","1381","1279","1760","1709","939","950","1186","1262","1674","1788","896","1240","518","812","391","969","47","189","47189","2010"
