"Name","Male_LT_5","Female_LT_5","Male_5_T_9","Female_5_T_9","Male_10_T_14","Female_10_T_14","Male_15_T_17","Female_15_T_17","Male_18_T_19","Female_18_T_19","Male_20","Female_20","Male_21","Female_21","Male_22_T_24","Female_22_T_24","Male_25_T_29","Female_25_T_29","Male_30_T_34","Female_30_T_34","Male_35_T_39","Female_35_T_39","Male_40_T_44","Female_40_T_44","Male_45_T_49","Female_45_T_49","Male_50_T_54","Female_50_T_54","Male_55_T_59","Female_55_T_59","Male_60_T_61","Female_60_T_61","Male_62_T_64","Female_62_T_64","Male_65_T_66","Female_65_T_66","Male_67_T_69","Female_67_T_69","Male_70_T_74","Female_70_T_74","Male_75_T_79","Female_75_T_79","Male_80_T_84","Female_80_T_84","Male_GE_85","Female_GE_85","STATEFP","COUNTYFP","STATE_FIPS","Year"
"White County, Tennessee","861","767","813","834","925","758","477","509","269","272","175","72","115","94","392","538","833","852","761","742","516","951","960","764","813","895","925","931","738","863","245","293","756","893","398","282","411","570","678","814","519","437","233","515","197","431","47","185","47185","2020"
"Anderson County, Tennessee","2244","1937","2387","1997","2240","2464","1480","1430","829","661","323","329","303","448","1446","1241","2525","2396","2234","2300","2050","2160","2351","2143","2329","2646","2499","2707","2473","2977","1489","1015","1449","1818","693","1053","1397","1774","1973","1879","1216","1272","812","1426","612","1086","47","001","47001","2020"
"Benton County, Tennessee","415","383","417","372","588","481","264","281","260","58","162","185","93","72","140","198","398","390","388","375","352","371","487","478","510","514","566","651","567","630","212","194","352","477","228","305","453","287","427","552","336","322","192","304","151","295","47","005","47005","2020"
"Bledsoe County, Tennessee","312","262","327","212","375","342","232","204","124","123","36","105","195","23","217","121","1335","367","591","281","489","379","851","347","646","389","670","466","769","537","192","209","240","277","194","151","313","345","339","306","285","250","154","62","72","245","47","007","47007","2020"
"Bradley County, Tennessee","3173","2951","3171","3045","3438","3311","2247","2033","1576","1813","1092","866","604","913","1821","1693","3501","3662","3089","3077","3246","3455","3288","3341","3745","3453","3557","3706","3441","3866","1397","1523","1754","1828","1191","1449","1292","2075","2281","2422","1373","1786","978","1210","735","1456","47","011","47011","2020"
"Campbell County, Tennessee","1144","1119","1126","1028","1202","1068","725","755","379","365","146","193","82","137","896","729","1274","1263","1060","1096","959","1366","1331","954","1422","1451","1415","1405","1477","1542","500","447","675","919","522","638","705","799","936","1043","711","916","586","650","275","387","47","013","47013","2020"
"Carroll County, Tennessee","773","775","839","735","1037","850","547","432","409","407","117","222","287","181","443","469","959","755","690","751","740","679","683","817","990","902","934","1031","1112","956","370","318","427","659","400","202","496","554","613","959","387","435","306","500","217","476","47","017","47017","2020"
"Carter County, Tennessee","1247","1250","1398","1231","1613","1700","1010","901","519","473","284","360","284","287","823","855","1816","1726","1808","1789","1541","1400","1594","1704","1894","2106","2167","2013","2301","2041","591","857","1148","1451","843","690","1089","1418","1426","1540","1242","1146","395","940","570","971","47","019","47019","2020"
"Chester County, Tennessee","499","465","445","515","543","643","353","341","360","493","200","197","158","196","317","252","563","529","465","451","638","402","344","613","511","503","539","643","387","513","275","168","355","400","144","162","235","275","479","426","266","303","142","199","69","284","47","023","47023","2020"
"Claiborne County, Tennessee","850","807","669","780","975","811","552","522","379","431","115","185","299","370","654","587","1151","1179","942","841","1098","761","726","990","1029","1074","1054","1133","1150","1231","494","518","512","704","544","550","560","690","689","779","462","565","294","402","266","453","47","025","47025","2020"
"Cocke County, Tennessee","934","954","1079","815","1116","1095","734","576","328","318","156","88","132","118","599","675","1007","1165","836","997","722","947","1203","1140","1128","1226","1339","1259","1208","1500","509","523","843","920","751","522","625","605","934","1254","532","787","502","381","268","447","47","029","47029","2020"
"Coffee County, Tennessee","1848","1641","2114","1982","1756","1897","1179","994","638","568","344","519","207","243","1053","811","1842","1787","1643","1726","1664","1771","1710","1691","1728","1770","1882","1890","1891","2148","769","438","1059","1187","683","383","865","1288","960","1282","818","1199","404","717","464","571","47","031","47031","2020"
"Cumberland County, Tennessee","1440","1351","1433","1541","1764","1246","858","850","468","405","326","415","251","289","879","594","1639","1528","1362","1443","1386","1351","1296","1483","1585","1666","1721","1804","2235","2264","600","977","1307","1756","800","922","1551","2140","2700","2610","1632","1815","1280","1035","821","1197","47","035","47035","2020"
"Davidson County, Tennessee","23406","22655","18746","19785","20115","18457","10491","10192","8979","9139","3501","4695","4413","4491","15729","17027","34983","38662","32687","33597","24789","26534","22489","20848","20137","20558","19471","20208","19337","23728","7481","8387","9983","10092","6039","7637","7654","9245","9618","11540","6232","7974","3446","5819","2801","6743","47","037","47037","2020"
"DeKalb County, Tennessee","584","584","760","587","565","515","398","386","198","157","139","136","114","49","294","294","585","607","649","588","739","689","541","525","704","640","695","682","605","634","472","372","380","460","266","282","331","480","496","386","345","274","108","293","179","337","47","041","47041","2020"
"Dickson County, Tennessee","1733","1471","1662","1793","1850","1573","1196","1001","594","429","502","387","204","204","702","874","1750","1922","1773","1745","2077","2180","1255","1231","1752","1815","1889","1811","1571","1929","801","774","1120","1206","615","745","768","887","1056","1139","667","762","460","524","249","641","47","043","47043","2020"
"Dyer County, Tennessee","1184","1054","1210","1118","1381","1326","747","819","476","382","299","99","218","353","635","687","1114","1185","1093","1160","814","1192","1338","1026","1147","1316","1216","1231","1330","1399","499","620","511","525","354","377","598","870","792","879","570","758","220","369","286","424","47","045","47045","2020"
"Fayette County, Tennessee","995","967","985","980","1288","1101","803","623","414","369","291","107","127","221","610","652","1103","1146","1169","1155","1132","1471","1125","850","1244","1307","1406","1523","1560","1890","664","674","1099","909","587","700","786","920","1279","1133","621","740","491","709","280","406","47","047","47047","2020"
"Fentress County, Tennessee","545","537","566","576","505","424","357","332","216","165","112","72","213","181","174","218","532","485","471","447","632","600","386","368","718","610","622","666","779","621","190","227","372","543","281","366","474","423","428","504","233","344","190","243","220","237","47","049","47049","2020"
