State,Trade_Type,Domestic_Mode,Unit,Year,Units_Within,Units_In,Units_Out
Arkansas,Import,Multiple modes & mail,thousand tons,2012,0,262.121495,0
Arkansas,Import,Other and unknown,thousand tons,2012,54.4446,91.329,0
Arkansas,Import,Pipeline,thousand tons,2012,0,42.0676,0
Arkansas,Import,Rail,thousand tons,2012,0,616.945144,0
Arkansas,Import,Truck,thousand tons,2012,0.2575,785.858112,0
Arkansas,Import,Water,thousand tons,2012,0,275.045226,0
California,Domestic Only,Air (include truck-air),thousand tons,2012,8.9699,164.350306,215.476105
California,Domestic Only,Multiple modes & mail,thousand tons,2012,5258.75214,17061.43339,8557.209252
California,Domestic Only,Pipeline,thousand tons,2012,87095.7229,43648.7782,4976.2661
California,Domestic Only,Rail,thousand tons,2012,11199.2511,37722.1133,10962.3837
California,Domestic Only,Truck,thousand tons,2012,742073.5711,58042.42995,65096.63653
California,Domestic Only,Water,thousand tons,2012,10805.4177,17638.4785,190.7937
California,Export,Air (include truck-air),thousand tons,2012,108.841438,120.705273,153.160249
California,Export,Multiple modes & mail,thousand tons,2012,730.586052,12286.10677,477.837979
California,Export,Other and unknown,thousand tons,2012,23.6417,45.739236,72.8025
California,Export,Pipeline,thousand tons,2012,1612.841192,3689.714635,0.0923
California,Export,Rail,thousand tons,2012,1104.181784,5594.755308,1235.057879
California,Export,Truck,thousand tons,2012,40026.93227,12022.48135,6103.226296
California,Export,Water,thousand tons,2012,2431.586719,64.261014,79.949188
California,Import,Air (include truck-air),thousand tons,2012,89.588861,217.668564,144.147371
California,Import,Multiple modes & mail,thousand tons,2012,1950.665711,4014.477626,18364.13927
California,Import,No domestic mode,thousand tons,2012,37053.544,0,0
California,Import,Other and unknown,thousand tons,2012,554.6695,52.7339,62.7962
California,Import,Pipeline,thousand tons,2012,5539.253301,167.01193,717.930672
California,Import,Rail,thousand tons,2012,490.35967,7332.59527,1518.137466
California,Import,Truck,thousand tons,2012,41300.33984,4843.366198,2603.648572
California,Import,Water,thousand tons,2012,8067.948209,26.506008,12.503736
Colorado,Domestic Only,Air (include truck-air),thousand tons,2012,0,27.898902,37.8157
Colorado,Domestic Only,Multiple modes & mail,thousand tons,2012,3173.0057,2891.06258,2796.538878
Colorado,Domestic Only,Pipeline,thousand tons,2012,29504.322,35590.1643,60167.6862
Colorado,Domestic Only,Rail,thousand tons,2012,15114.862,26545.8805,15712.5339
Colorado,Domestic Only,Truck,thousand tons,2012,146119.1473,19313.51076,26801.17424
Colorado,Export,Air (include truck-air),thousand tons,2012,0.447243,2.38,26.582991
Colorado,Export,Multiple modes & mail,thousand tons,2012,0,0,261.469893
Colorado,Export,Other and unknown,thousand tons,2012,0.042,0,1.701077
Colorado,Export,Pipeline,thousand tons,2012,0,0,23.115765
Colorado,Export,Rail,thousand tons,2012,0,0,734.856537
Colorado,Export,Truck,thousand tons,2012,5.953155,0,799.434717
Colorado,Import,Air (include truck-air),thousand tons,2012,0.819022,24.983171,3.4372
Colorado,Import,Multiple modes & mail,thousand tons,2012,0.0001,599.248138,0
Colorado,Import,Other and unknown,thousand tons,2012,8.2388,3.8695,0.7953
Colorado,Import,Pipeline,thousand tons,2012,0,932.0683,0
Colorado,Import,Rail,thousand tons,2012,0,857.68319,0
Colorado,Import,Truck,thousand tons,2012,10.651878,499.966267,0.0025
Connecticut,Domestic Only,Air (include truck-air),thousand tons,2012,0,14.653702,15.318104
Connecticut,Domestic Only,Multiple modes & mail,thousand tons,2012,597.9903,2533.239801,1128.692734
Connecticut,Domestic Only,Pipeline,thousand tons,2012,72.7907,11505.5568,7225.5952
Connecticut,Domestic Only,Rail,thousand tons,2012,604.5947,810.6698,2560.156215
Connecticut,Domestic Only,Truck,thousand tons,2012,67899.90332,23676.39363,34836.04149
Connecticut,Domestic Only,Water,thousand tons,2012,27.792,604.7738,121.951
Connecticut,Export,Air (include truck-air),thousand tons,2012,0.6461,0.0917,51.177899
Connecticut,Export,Multiple modes & mail,thousand tons,2012,0,0,89.031619
Connecticut,Export,Other and unknown,thousand tons,2012,0.2234,0.0017,2.2575
Connecticut,Export,Pipeline,thousand tons,2012,0,0,38.93581
Connecticut,Export,Rail,thousand tons,2012,0,0,949.65665
Connecticut,Export,Truck,thousand tons,2012,0.3712,0,832.356214
Connecticut,Export,Water,thousand tons,2012,676.8546,0,249.544718
Connecticut,Import,Air (include truck-air),thousand tons,2012,0.4653,41.494482,0.3755
Connecticut,Import,Multiple modes & mail,thousand tons,2012,0.2419,228.075578,2.0069
Connecticut,Import,Other and unknown,thousand tons,2012,0.1867,385.6603,0.1084
Connecticut,Import,Pipeline,thousand tons,2012,2.3581,1808.3012,0
Connecticut,Import,Rail,thousand tons,2012,0,531.394986,39.7135
Connecticut,Import,Truck,thousand tons,2012,3300.9591,1997.291899,112.3286
Connecticut,Import,Water,thousand tons,2012,49.481141,902.697448,193.416853
Delaware,Domestic Only,Air (include truck-air),thousand tons,2012,0,97.084601,4.1988
Delaware,Domestic Only,Multiple modes & mail,thousand tons,2012,347.1239,432.781598,326.0961
Delaware,Domestic Only,Pipeline,thousand tons,2012,1.2668,1578.6152,75.4809
Delaware,Domestic Only,Rail,thousand tons,2012,0,1444.1583,501.7896
Delaware,Domestic Only,Truck,thousand tons,2012,27708.7273,15941.4921,8225.566726
Delaware,Domestic Only,Water,thousand tons,2012,0,450.7572,0
Delaware,Export,Air (include truck-air),thousand tons,2012,0.000817,2.747847,11.529124
Delaware,Export,Multiple modes & mail,thousand tons,2012,78.864025,30.963725,41.439615
Delaware,Export,Other and unknown,thousand tons,2012,4.8892,0.0031,5.1059
Delaware,Export,Rail,thousand tons,2012,79.1853,121.1506,67.5959
Delaware,Export,Truck,thousand tons,2012,392.735992,143.755535,475.68068
Delaware,Export,Water,thousand tons,2012,662.549589,95.244786,84.155087
Delaware,Import,Air (include truck-air),thousand tons,2012,0,6.816568,0.0011
Delaware,Import,Multiple modes & mail,thousand tons,2012,0.1471,76.756993,38.160699
Delaware,Import,No domestic mode,thousand tons,2012,5843.1847,0,0
Delaware,Import,Other and unknown,thousand tons,2012,0.3481,0.8498,4.3199
Delaware,Import,Pipeline,thousand tons,2012,0,115.922,0
Delaware,Import,Rail,thousand tons,2012,164.6321,266.014502,240.6163
Delaware,Import,Truck,thousand tons,2012,3541.3119,445.288944,244.264598
Delaware,Import,Water,thousand tons,2012,1419.0254,505.912001,478.367404
Florida,Domestic Only,Air (include truck-air),thousand tons,2012,2.73621,66.558705,61.527002
Florida,Domestic Only,Multiple modes & mail,thousand tons,2012,2921.296868,7911.685556,4634.328046
Florida,Domestic Only,Pipeline,thousand tons,2012,1865.4304,24116.2402,0
Florida,Domestic Only,Rail,thousand tons,2012,14807.8762,26739.8993,6012.1845
Florida,Domestic Only,Truck,thousand tons,2012,464254.435,44698.54359,34588.3771
Florida,Domestic Only,Water,thousand tons,2012,145.662,14315.631,648.678
Florida,Export,Air (include truck-air),thousand tons,2012,3.947392,273.860203,50.425425
Florida,Export,Multiple modes & mail,thousand tons,2012,272.488095,878.576929,300.083497
Florida,Export,Other and unknown,thousand tons,2012,28.5684,7.5669,5.7035
Florida,Export,Pipeline,thousand tons,2012,16.6836,0,0
Florida,Export,Rail,thousand tons,2012,160.1194,364.751632,1276.020158
Florida,Export,Truck,thousand tons,2012,13733.93321,2605.055476,2989.745308
Florida,Export,Water,thousand tons,2012,1316.42201,108.176012,324.483134
Florida,Import,Air (include truck-air),thousand tons,2012,11.463322,56.672475,149.399747
Florida,Import,Multiple modes & mail,thousand tons,2012,237.212072,2038.765181,1466.702898
Florida,Import,Other and unknown,thousand tons,2012,264.5397,14.807745,25.3293
Florida,Import,Pipeline,thousand tons,2012,521.4753,78.4641,0
Florida,Import,Rail,thousand tons,2012,218.8872,3096.540441,827.074642
Florida,Import,Truck,thousand tons,2012,21594.33546,5185.247533,1322.863108
Florida,Import,Water,thousand tons,2012,3644.759713,3050.937011,447.841894
Georgia,Domestic Only,Air (include truck-air),thousand tons,2012,0.2287,38.343102,52.6051
