"Ownership","Year","Month","Value"
"Private","2014","october","6764"
"Private","2014","september","6708"
"Private","2014","august","6615"
"Private","2014","july","6125"
"Private","2014","june","6193"
"Private","2014","may","6484"
"Private","2014","april","6387"
"Private","2014","march","6510"
"Private","2014","february","6327"
"Private","2014","january","6231"
"Private","2013","december","6406"
"Private","2013","november","6479"
"Private","2013","october","6361"
"Private","2013","september","6453"
"Private","2013","august","6423"
"Private","2013","july","6071"
"Private","2013","june","6266"
"Private","2013","may","6471"
"Private","2013","april","6413"
"Private","2013","march","6492"
"Private","2013","february","6422"
"Private","2013","january","6379"
"Private","2012","december","6552"
"Private","2012","november","6558"
"Private","2012","october","6585"
"Private","2012","september","6520"
"Private","2012","august","6477"
"Private","2012","july","6093"
"Private","2012","june","6275"
"Private","2012","may","6542"
"Private","2012","april","6461"
"Private","2012","march","6363"
"Private","2012","february","6353"
"Private","2012","january","6218"
"Private","2011","december","6296"
"Private","2011","november","6331"
"Private","2011","october","6245"
"Private","2011","september","6232"
"Private","2011","august","6148"
"Private","2011","july","5843"
"Private","2011","june","5918"
"Private","2011","may","6125"
"Private","2011","april","6010"
"Private","2011","march","5764"
"Private","2011","february","5668"
"Private","2011","january","5595"
