State,Commodity,Field,Value,Unit,Year
Arkansas,Coal-n.e.c.,tmiles_out,19244.7608,million ton-miles,2012
Arkansas,Coal-n.e.c.,tmiles_in,13482.82626,million ton-miles,2012
Arkansas,Other ag prods.,tmiles_within,984.59836,million ton-miles,2012
Arkansas,Other ag prods.,tmiles_out,3418.605001,million ton-miles,2012
Arkansas,Other ag prods.,tmiles_in,9506.0577,million ton-miles,2012
Arkansas,Gravel,tmiles_within,701.1983,million ton-miles,2012
Arkansas,Gravel,tmiles_out,3063.0237,million ton-miles,2012
Arkansas,Gravel,tmiles_in,5487.5253,million ton-miles,2012
Arkansas,Waste/scrap,tmiles_within,417.8319,million ton-miles,2012
Arkansas,Waste/scrap,tmiles_out,2940.971348,million ton-miles,2012
Arkansas,Waste/scrap,tmiles_in,2615.22703,million ton-miles,2012
Arkansas,Cereal grains,tmiles_within,348.3654,million ton-miles,2012
Arkansas,Cereal grains,tmiles_out,2603.3903,million ton-miles,2012
Arkansas,Cereal grains,tmiles_in,2463.908493,million ton-miles,2012
Arkansas,Machinery,tmiles_within,339.15972,million ton-miles,2012
Arkansas,Machinery,tmiles_out,1594.2996,million ton-miles,2012
Arkansas,Machinery,tmiles_in,2185.99887,million ton-miles,2012
Arkansas,Base metals,tmiles_within,307.92264,million ton-miles,2012
Arkansas,Base metals,tmiles_out,1428.915656,million ton-miles,2012
Arkansas,Base metals,tmiles_in,2143.897424,million ton-miles,2012
Arkansas,Logs,tmiles_within,262.092682,million ton-miles,2012
Arkansas,Logs,tmiles_out,1424.640379,million ton-miles,2012
Arkansas,Logs,tmiles_in,1705.900915,million ton-miles,2012
Arkansas,Wood prods.,tmiles_within,237.3684,million ton-miles,2012
Arkansas,Wood prods.,tmiles_out,1325.1959,million ton-miles,2012
Arkansas,Wood prods.,tmiles_in,1167.908327,million ton-miles,2012
Arkansas,Other foodstuffs,tmiles_within,226.7101,million ton-miles,2012
Arkansas,Other foodstuffs,tmiles_out,1213.1238,million ton-miles,2012
Arkansas,Other foodstuffs,tmiles_in,1069.914195,million ton-miles,2012
California,Other foodstuffs,tmiles_within,10852.04671,million ton-miles,2012
California,Other foodstuffs,tmiles_out,37308.99685,million ton-miles,2012
California,Other foodstuffs,tmiles_in,74657.32786,million ton-miles,2012
California,Nonmetal min. prods.,tmiles_within,10530.66766,million ton-miles,2012
California,Nonmetal min. prods.,tmiles_out,13865.43486,million ton-miles,2012
California,Nonmetal min. prods.,tmiles_in,31946.31151,million ton-miles,2012
California,Other ag prods.,tmiles_within,10380.00056,million ton-miles,2012
California,Other ag prods.,tmiles_out,12105.05591,million ton-miles,2012
California,Other ag prods.,tmiles_in,30372.78219,million ton-miles,2012
California,Gasoline,tmiles_within,8301.586334,million ton-miles,2012
California,Gasoline,tmiles_out,12009.53928,million ton-miles,2012
California,Gasoline,tmiles_in,27416.68742,million ton-miles,2012
California,Coal-n.e.c.,tmiles_within,6291.218195,million ton-miles,2012
California,Coal-n.e.c.,tmiles_out,10219.54008,million ton-miles,2012
California,Coal-n.e.c.,tmiles_in,14985.80116,million ton-miles,2012
California,Gravel,tmiles_within,6100.772532,million ton-miles,2012
